,address,lat,lon
100,"Vodovodni stolp III,OŠ S.Jenka,Ul.XXXI.divizije7a",46.1199444,14.8153333
101,"Vodovodni stolp II,OŠ S.Jenka,Ul.XXXI.divizije 7a",46.1199444,14.8153333
102,"Vodovodni stolp I,OŠ S.Jenka,Ul. XXXI.divizije 7a",46.1199444,14.8153333
106,"Britof, Gasilski dom, Britof 316",46.2607116,14.389947
107,"Huje II,OŠ Jakob Aljaž, Ul.Tončka Dežmana 1,Kranj",46.2360971,14.3657524
109,"Planina II,OŠ Stane Žagar, C. 1. maja 10 a, Kranj",46.235257,14.3594096
111,"Zlato polje I,OŠ F.Prešeren, Kidričeva c.49,Kranj",46.2506015,14.3534329
112,"Zlato Polje II,OŠ F.Prešeren,Kidričeva c.49,Kranj",46.1199444,14.8153333
115,"Stražišče I,Šmartinski dom,Škofjeloška c.18,Kranj",46.1199444,14.8153333
116,"Stražišče II,Šmartinski dom,Škofjeloška c.18,Kr.",46.1199444,14.8153333
120,"Mavčiče KS, Mavčiče 69, Mavčiče",46.1880034,14.4039533
128,"Volišče Adergas, Adergas 12",46.2708038,14.4640052
150,"Bašelj, Brunarica TD Bašelj",46.3226835,14.3999446
153,"Tupaliče, Hotel Oskar Zaplata, Tupaliče 32",46.2936595,14.4303037
160,"Šenčur II, OŠ Šenčur, Pipanova c. 43, Šenčur",46.2486038,14.4190403
163,"Voklo, Športno kulturni dom, Voklo 28",46.2158035,14.4195488
168,"Bistrica I, OŠ Bistrica, Begunjska c. 2, Tržič",46.3566133,14.2927988
169,"Bistrica II, OŠ Bistrica, Begunjska c. 2, Tržič",46.3566133,14.2927988
173,"Križe, OŠ Križe, C. Kokrškega odreda 16, Križe",46.3405991,14.2949379
181,"Tržič I,Galerija Atrij Občine Tržič,Trg svobode18",46.1199444,14.8153333
184,"Gasilski dom Virmaše, Virmaše 14, Škofja Loka",46.1768588,14.3245874
185,"Kulturni dom Sv. Duh, Sv. Duh 10, Škofja Loka",46.1813656,14.3238855
187,"Prostori Društva upokojencev,Partizanska c.1,Š.L.",46.1199444,14.8153333
189,"Osnovna šola Reteče, Reteče 43, Škofja Loka",46.1584009,14.3689787
193,"Gasilski dom Gosteče, Gosteče 10, Škofja Loka",46.1529806,14.3442929
194,"OŠ Ivana Groharja, Podlubnik 1, Škofja Loka",46.1699388,14.2997414
195,"Kapela Puštalskega gradu, Puštal 21, Škofja Loka",46.1623398,14.3108907
196,"Puštalski grad, Puštal 21, Škofja Loka",46.1623398,14.3108907
198,"Krajevna skupnost Podlubnik,Podlubnik 139, Šk. L.",39.8939256,32.8667038
201,"Šola Gabrk, Gabrk 1, Škofja Loka",46.1370438,14.248647
202,"Prostori Pri Kajbitu, Zminec 5, Škofja Loka",46.154112,14.2906082
204,"Osnovna šola Bukovščica, Bukovščica 4, Selca",46.2230111,14.2617462
205,"Osnovna šola Bukovica, Bukovica 20, Selca",46.1987738,14.2452356
206,"RUŽV TODRAŽ - nova stavba, Todraž 22, Gorenja vas",46.0827087,14.161245
207,"Sokolski dom GORENJA VAS-mala dvorana,Poljan.c.87",46.1199444,14.8153333
208,"Gasilski dom HOTAVLJE, Hotavlje 112, Gorenja vas",46.115471,14.1167197
209,"Osnovna šola LESKOVICA, Leskovica 1, Gorenja vas",46.1490874,14.0786732
210,"Osnovna šola JAVORJE,Javorje 6,Poljane nad Šk. L.",46.1199444,14.8153333
211,"Kulturni dom LUČINE, Lučine 11a, Gorenja vas",46.0615794,14.1959253
212,"Gasilski dom TREBIJA, Trebija 4, Gorenja vas",46.0972862,14.1016359
213,"Stavba ob župnišču v STARI OSELICI,St.Oselica 33",46.1199444,14.8153333
214,"KD Poljane, Poljane nad Škofjo Loko 77, Poljane",46.1218562,14.1865268
216,"Šola MALENSKI VRH, Malenski Vrh 14,Poljane",46.1616656,14.1651718
217,"Kulturna dvorana SOVODENJ, Sovodenj 23, Sovodenj",46.0852532,14.0378846
