address,lat,lon
"Preserska cesta 1 - Zg. Jarše, Radomlje",46.1625992,14.5973525
"Nasipi 6  a, Trbovlje",46.1404782,15.0372924
"Latkova vas 84, Prebold",46.253616,15.0970854
"Lesarska cesta 2, Nazarje",46.3193253,14.9494655
"Medvedova ulica 15c, Kamnik",46.2288869,14.6099373
"Gosposvetska cesta 12, Ljubljana",46.0558252,14.5027861
"Hardek 44b, Ormož",46.4099081,16.1599988
"Gorenjska cesta 11, Mengeš",46.1749282,14.566701
