Unnamed: 0,enota,okraj,id,naslov
631,VE 1000 - KRANJ,VO 1006 - KRANJ 3,28,"Luže, Gasilski dom, Luže 27"
632,VE 1000 - KRANJ,VO 1006 - KRANJ 3,29,"Olševek, Gasilsko društvo Olševek, Olševek 18    "
633,VE 1000 - KRANJ,VO 1006 - KRANJ 3,30,"Prebačevo, Gasilski dom, Prebačevo 63"
634,VE 1000 - KRANJ,VO 1006 - KRANJ 3,31,"Srednja vas, Gasilski dom, Srednja vas pri Š. 68"
637,VE 1000 - KRANJ,VO 1006 - KRANJ 3,34,"Visoko, Dom krajanov, Visoko 67"
640,VE 1000 - KRANJ,VO 1006 - KRANJ 3,37,"Trboje, Dom krajanov, Trboje 39"
641,VE 1000 - KRANJ,VO 1006 - KRANJ 3,38,"Sp. Jezersko, Gostilna Kanonir, Sp. Jezersko 5"
642,VE 1000 - KRANJ,VO 1006 - KRANJ 3,39,"Zg. Jezersko, Korotan, Zgornje Jezersko 57"
643,VE 1000 - KRANJ,VO 1006 - KRANJ 3,40,"Hotemaže, Vaški gasilski dom, Hotemaže 80"
746,VE 1000 - KRANJ,VO 1007 - TRŽIČ,8,"Lom pod Storž., Dom krajanov, Lom pod Storžičem 56"
748,VE 1000 - KRANJ,VO 1007 - TRŽIČ,10,"Pristava, Fundacija V. Drakslerja, Pristavška 16"
753,VE 1000 - KRANJ,VO 1007 - TRŽIČ,15,"Tržič II, Društvo upokojencev Tržič,Trg svobode18"
849,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,1,"Krajevna skupnost Godešič, Godešič 100, Šk. Loka"
852,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,4,"OŠ Škofja Loka-Mesto, Šolska ulica 1, Šk. Loka"
854,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,6,"Zdravstveni dom Šk. Loka, Stara cesta 10, Šk.Loka"
856,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,8,"OŠ Cvetko Golar I., Frankovo naselje 51, Šk. Loka"
857,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,9,"OŠ Cvetko Golar II., Frankovo naselje 51,Šk.Loka"
858,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,10,"OŠ Cvetko Golar III., Frankovo naselje 51,Šk.Loka"
863,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,15,"Trgovina kmečki stroji, Sv. Barbara 23, Šk. Loka"
865,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,18,"Tržnica Škofja Loka, Partizanska cesta 1, Šk.Loka"
866,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,20,"Zadružni dom Log nad Škofjo Loko, Log nad Šk.L.31"
869,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,23,"Krajevna skupnost Lenart, Sv. Lenart 21, Selca"
976,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,10,"Demšar Slavko, Dolenje Brdo 7, Poljane nad Šk.L."
986,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,20,"Kulturni dom ŽELEZNIKI, Trnje 39, Železniki"
1099,VE 1000 - KRANJ,VO 1010 - KAMNIK,5,"KS Pšajnovica, Mali Rakitovec 15, Blagovica"
1227,VE 1000 - KRANJ,VO 1011 - IDRIJA,16,"Zgradba Makuc Stanka, v stavbi št. 2347-89"
1239,VE 1000 - KRANJ,VO 1011 - IDRIJA,36,"DU Idrija, Enota Marof, Vojkova ul. 35"
1532,VE 2000 - POSTOJNA,VO 2002 - PIRAN,11,"OŠ Sv. Peter, Sv. Peter 13, 6333 Sečovlje"
1533,VE 2000 - POSTOJNA,VO 2002 - PIRAN,12,"Dom Zmaga, Nova vas nad Dragonjo 50, 6333 Sečovlje"
1633,VE 2000 - POSTOJNA,VO 2003 - IZOLA,4,"Kulturni dom, Ul.okt. revolucije 1"
2013,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,1,"Avber, bivša OŠ, Avber 41"
2014,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,2,"Dane pri Sežani, Dom na Padulu, Dane 17 A"
2015,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,3,"Dutovlje,  Bunčetova domačija, Dutovlje 65"
2016,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,4,"Kreplje, Vaški dom, Kreplje bš"
2017,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,5,"Skopo, vaška dvorana, Skopo 49"
2018,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,6,"Kopriva, dvorana vaške skupnosti, Kopriva 14"
2019,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,7,"Krajna vas, hiša Gec Cvetke, Krajna vas 40"
2020,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,8,"Kazlje, dom KS, Kazlje 40"
2022,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,10,"Pliskovica, balinarski klub, Pliskovica bš"
2023,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,11,"Veliki Dol, dvorana stare OŠ, Veliki Dol 53"
2024,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,13,"Povir, ZDD, Povir 24"
2025,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,14,"Sedež Občine Sežana, Sežana, Partizanska c.4"
2026,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,15,"Otroški vrtec, Sežana, Ul. J. Pahorja 1 "
2027,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,16,"VDC Koper - Enota Sežana, Sežana, Ul. J.Pahorja 3"
2028,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,17,"OŠ Sežana, Sežana, Kosovelova ul. 6"
2029,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,18,"Stara OŠ, Sežana, Bazoviška c. 9"
2030,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,19,"ZGRS Sežana, Sežana, Bazoviška c. 13"
2031,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,20,"Dol pri Vogljah, ZDD, Dol pri Vogljah bš"
2032,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,21,"Štjak, bivša OŠ, Štjak 40"
2033,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,22,"Štorje, ZDD, Štorje 26"
2034,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,23,"Tomaj, sedež KS - balinišče, Tomaj bš"
2035,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,24,"Križ, Vaški dom, Križ 2"
2036,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,25,"Tabor, OŠ, Tabor 9"
2038,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,27,"Gabrovica pri Komnu 47, prostori vaške skupnosti"
2039,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,28,"Volčji Grad, vaška hiša, Volčji Grad št. 24"
2040,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,29,"Tomačevica, vaški dom, Tomačevica bš"
2041,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,30,"Sveto, stara OŠ, Sveto 68"
2042,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,31,"Škrbina, stara OŠ, Škrbina bš"
2043,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,32,"Ivanji Grad, vaški dom, Ivanji Grad bš"
2044,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,33,"Brje pri Komnu, vaški dom, Brje pri Komnu bš"
2045,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,34,"Gorjansko, ZDD, Gorjansko 84 b"
2046,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,35,"Brestovica pri Komnu 55, prostori vaške skupnosti"
2047,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,36,"Štanjel, ZDD, Štanjel 59 A"
2048,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,37,"Kodreti, Vaška skupnost Gornja Branica,Kodreti 10"
2049,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,38,"Kobjeglava, VS Tupelče Kobjeglava, Kobjeglava 75"
2050,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,39,"Hruševica, vaški dom, Hruševica bš"
2051,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,40,"Divača  OŠ, Ul. dr. B. Magajne 4, Divača"
2052,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,41,"Dolnje Ležeče, vaški dom, Dolnje Ležeče bš"
2053,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,42,"Naklo, vaški dom,  Naklo bš"
2054,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,43,"Dane pri Divači, vaški dom, Dane pri Divači bš"
2055,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,44,"Famlje, v dvorani Rudnik Vreme, Famlje 2 a"
2056,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,45,"Gornje Ležeče, v hiši Jožeta Čeperja, G.Ležeče 16"
2057,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,46,"Barka, stara OŠ, Barka 33"
2058,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,47,"Vareje, vaški dom, Vareje bš"
2059,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,48,"Senožeče, VD R. Cvetka, Senožeče bš"
2060,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,49,"Dolenja vas, v ZDD, Dolenja vas 11"
2061,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,50,"Hrpelje, vaški dom Hrpelje, Na  Gorici 2a"
2062,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,51,"Tublje pri Hrpeljah, Gostilna Križman, Tublje  24"
2063,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,52,"Krvavi Potok, vaški dom, Krvavi Potok 16 h"
2065,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,54,"Vrhpolje, vaški dom, Vrhpolje 9 b"
2066,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,55,"Artviže, vaški dom, Artviže 6a"
2067,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,56,"Gradišče pri Materiji, prostori KS, Gradišče 42 a"
2068,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,57,"Bač pri Materiji, GD, Bač pri Materiji 28b"
2069,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,58,"Brezovica, vaški dom, Brezovica 9"
2070,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,59,"Ocizla, vaška hiša, Ocizla bš"
2071,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,60,"Obrov, prostori balinišča, Obrov 62 d"
2072,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,61,"Prešnica, OŠ, Prešnica 2"
2073,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,62,"Rodik, vaški dom, Rodik 6"
2074,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,63,"Slivje, prostori KS, Slivje 1"
2075,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,64,"Tatre, vaški dom, Tatre 2"
2076,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,68,"Klanec pri Kozini, vaški dom, Klanec pri Kozini 32"
2077,VE 2000 - POSTOJNA,VO 2006 - SEŽANA,69,"Javorje, vaški dom, Javorje 21 a"
2174,VE 2000 - POSTOJNA,VO 2007 - ILIRSKA BISTRICA,2,"Prostori Društva Sožitje, Levstikova 5,  Il. Bist"
2199,VE 2000 - POSTOJNA,VO 2007 - ILIRSKA BISTRICA,27,"Račice, Na plesišču"
2332,VE 2000 - POSTOJNA,VO 2008 - POSTOJNA,16,"Srednja gozda., lesar. in zdrav. šola Postojna"
2334,VE 2000 - POSTOJNA,VO 2008 - POSTOJNA,19,"Mala dvorana KD Postojna, Gregorčičev drev. 2b, Po"
2617,VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,5,"Mestna občina NG-sejna dvorana, Trg E. Kardelja 1"
2622,VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,10,"Mestna občina NG-Sejna dvorana, Trg E. Kardelja 1"
2633,VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,21,"VDC - Želva, Ajševica 42, R. Dolina"
2634,VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,22,"Univerza v Novi Gorici, Vipavska c. 13, R. Dolina"
2638,VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,26,"Vrtec Julke Pavletič, Ulica L.Slokarja 8"
2916,VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,37,"Medgen. center Gaber, C. Notr. odr. 45b, Stari trg"
3151,VE 3000 - LJUBLJANA CENTER,VO 3003 - LJUBLJANA VIČ-RUDNIK 1,8,"ZDD Notranje Gorice, Podpeška c. 380, Notranje G."
3152,VE 3000 - LJUBLJANA CENTER,VO 3003 - LJUBLJANA VIČ-RUDNIK 1,9,"ZDD Notranje Gorice, Podpeška c. 380, Notranje G."
3517,VE 3000 - LJUBLJANA CENTER,VO 3006 - LJUBLJANA VIČ-RUDNIK 4,20,"PGD Dvor, Dvor pri Polh. Grad. 23, Polhov Gradec"
3518,VE 3000 - LJUBLJANA CENTER,VO 3006 - LJUBLJANA VIČ-RUDNIK 4,21,"PGD Zalog, Setnik 5 b, Polhov Gradec"
3520,VE 3000 - LJUBLJANA CENTER,VO 3006 - LJUBLJANA VIČ-RUDNIK 4,23,"Tehnološki park LJ, Tehnološki park 19 (stavba B)"
3523,VE 3000 - LJUBLJANA CENTER,VO 3006 - LJUBLJANA VIČ-RUDNIK 4,26,"Tehnološki park LJ, Tehnološki park 19 (stavba B)"
4106,VE 3000 - LJUBLJANA CENTER,VO 3011 - LJUBLJANA ŠIŠKA 4,30,"OŠ Šmartno, C. v Gameljne 7, Lj. Šmartno"
4107,VE 3000 - LJUBLJANA CENTER,VO 3011 - LJUBLJANA ŠIŠKA 4,31,"OŠ Šmartno, C. v Gameljne 7, Lj. Šmartno"
4108,VE 3000 - LJUBLJANA CENTER,VO 3011 - LJUBLJANA ŠIŠKA 4,32,"OŠ Šmartno, C. v Gameljne 7, Lj. Šmartno"
4110,VE 3000 - LJUBLJANA CENTER,VO 3011 - LJUBLJANA ŠIŠKA 4,34,"GD Stanežiče, Stanežiče 64, Lj. Šentvid"
4111,VE 3000 - LJUBLJANA CENTER,VO 3011 - LJUBLJANA ŠIŠKA 4,35,"GD Medno, Medno 79, Lj. Šentvid"
4207,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4001 - KOČEVJE,1,"Polom, Polom bš - VD"
