,Volilna_Enota,Volilni_Okraj,Volilni_Okraj_Ime,Št. volilnih upr.,Udelezba-N,Udelezba-%,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,SD-N,SD-%,SD-n,RESNICA-N,RESNICA-%,RESNICA-n,MI_SOCIALISTI-N,MI_SOCIALISTI-%,MI_SOCIALISTI-n,GLAS_UPOKOJENCEV-n,GLAS_UPOKOJENCEV-%,GLAS_UPOKOJENCEV-n.1,SDS-N,SDS-%,SDS-n,LEVICA-N,LEVICA-%,LEVICA-n,ZAUPANJE- št. glasov,ZAUPANJE- odstotek,ZAUPANJE- št. mandatov,PREROD-N,PREROD-%,PREROD- št. mandatov,PIRATI-N,PIRATI-%,PIRATI-n,NSI-N,NSI-%,NSI-n,SVOBODA-N,SVOBODA-%,SVOBODA-n,ZELENI+SG- št. glasov,ZELENI+SG- odstotek,ZELENI+SG- št. mandatov,SLOGA- št. glasov,SLOGA- odstotek,SLOGA- št. mandatov,REŠITEV- št. glasov,REŠITEV- odstotek,REŠITEV- št. mandatov,DEMOKRATI-N,DEMOKRATI-%,DEMOKRATI-n,SNS- št. glasov,SNS- odstotek,SNS- št. mandatov,ALTERNATIVA- št. glasov,ALTERNATIVA- odstotek,ALTERNATIVA- št. mandatov
84,7.0,11.0,Maribor 7,13288,7956,0.5987,7956,7874,82,1.0,510,0.06477,,491,0.062357,,60,0.00762,,52,0.006604,,1824,0.231648,,530,0.06731,,26,0.003302,,214,0.027178,,206,0.026162,,326,0.041402,,2879,0.365634,,25,0.003175,,,,,,,,460,0.05842,,243,0.030861,,28,0.003556,
85,8.0,,,209919,137991,0.6574,137978,136803,1175,0.9999,8679,0.063442,1.0,9027,0.065985,1.0,388,0.002836,0.0,530,0.003874,0.0,44735,0.327003,4.0,4283,0.031308,0.0,366,0.002675,0.0,2645,0.019334,0.0,2125,0.015533,0.0,11789,0.086175,1.0,38059,0.278203,3.0,946,0.006915,0.0,,,,,,,9819,0.071775,1.0,3078,0.0225,0.0,334,0.002441,0.0
86,8.0,1.0,Lendava,21175,12056,0.5694,12053,11934,119,0.9998,501,0.041981,,607,0.050863,,37,0.0031,,47,0.003938,,3777,0.316491,,376,0.031507,,38,0.003184,,179,0.014999,,203,0.01701,,1182,0.099045,,3886,0.325624,,28,0.002346,,,,,,,,885,0.074158,,169,0.014161,,19,0.001592,
87,8.0,2.0,Ormož,14064,9569,0.6804,9569,9492,77,1.0,353,0.037189,,476,0.050147,,14,0.001475,,31,0.003266,,3685,0.388222,,188,0.019806,,17,0.001791,,183,0.019279,,118,0.012432,,676,0.071218,,2386,0.25137,,35,0.003687,,,,,,,,905,0.095343,,392,0.041298,,33,0.003477,
88,8.0,3.0,Ljutomer,15077,9788,0.6492,9788,9713,75,1.0,487,0.050139,,646,0.066509,,40,0.004118,,51,0.005251,,2960,0.304746,,331,0.034078,,58,0.005971,,189,0.019458,,135,0.013899,,693,0.071348,,3025,0.311438,,86,0.008854,,,,,,,,763,0.078555,,220,0.02265,,29,0.002986,
89,8.0,4.0,Murska Sobota 1,24297,15291,0.6293,15290,15152,138,0.9999,2069,0.13655,,921,0.060784,,30,0.00198,,66,0.004356,,3988,0.2632,,420,0.027719,,59,0.003894,,315,0.020789,,193,0.012738,,1023,0.067516,,4695,0.30986,,48,0.003168,,,,,,,,948,0.062566,,326,0.021515,,51,0.003366,
90,8.0,5.0,Murska Sobota 2,24750,16288,0.6581,16287,16164,123,0.9999,1592,0.09849,,860,0.053205,,56,0.003464,,55,0.003403,,4345,0.268807,,670,0.04145,,37,0.002289,,281,0.017384,,285,0.017632,,1150,0.071146,,5456,0.33754,,37,0.002289,,,,,,,,1029,0.06366,,266,0.016456,,45,0.002784,
91,8.0,6.0,Gornja Radgona,17770,11712,0.6591,11712,11611,101,1.0,724,0.062355,,1042,0.089742,,42,0.003617,,57,0.004909,,3390,0.291965,,440,0.037895,,34,0.002928,,219,0.018861,,164,0.014125,,870,0.074929,,3331,0.286883,,176,0.015158,,,,,,,,828,0.071312,,263,0.022651,,31,0.00267,
92,8.0,7.0,Lenart,16699,11456,0.686,11454,11354,100,0.9998,437,0.038489,,890,0.078386,,19,0.001673,,26,0.00229,,4278,0.376784,,321,0.028272,,24,0.002114,,197,0.017351,,190,0.016734,,1360,0.119782,,2530,0.222829,,45,0.003963,,,,,,,,784,0.069051,,233,0.020521,,20,0.001761,
93,8.0,8.0,Pesnica,18126,11910,0.6571,11910,11833,77,1.0,577,0.048762,,944,0.079777,,39,0.003296,,56,0.004733,,4260,0.36001,,353,0.029832,,29,0.002451,,190,0.016057,,222,0.018761,,752,0.063551,,3396,0.286994,,28,0.002366,,,,,,,,682,0.057635,,276,0.023325,,29,0.002451,
