,Volilna_Enota,Volilni_Okraj,ID_Volisca,Volisce,Št. volilnih upr.,Udelezba-N,Udelezba-%,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,SD-N,SD-%,RESNICA-N,RESNICA-%,MI_SOCIALISTI_N,MI_SOCIALISTI-%,GLAS_UPOKOJENCEV-n,GLAS_UPOKOJENCEV-%,SDS-N,SDS-%,LEVICA-N,LEVICA-%,ZAUPANJE- št. glasov,ZAUPANJE- odstotek,PREROD-N,PREROD-%,PIRATI-N,PIRATI-%,NSI-N,NSI-%,SVOBODA-N,SVOBODA-%,ZELENI+SG- št. glasov,ZELENI+SG- odstotek,SLOGA- št. glasov,SLOGA- odstotek,REŠITEV- št. glasov,REŠITEV- odstotek,DEMOKRATI-N,DEMOKRATI-%,SNS- št. glasov,SNS- odstotek,ALTERNATIVA- št. glasov,ALTERNATIVA- odstotek
150,1,2,19,"Turistično društvo Bohinj,Ribčev Laz 48, B.jezero",162,115,0.7099,115,114,1,1.0,5,0.04386,6,0.052632,0,0.0,0,0.0,11,0.096491,16,0.140351,0,0.0,12,0.105263,7,0.061404,14,0.122807,37,0.324561,0,0.0,,,,,4,0.035088,2,0.017544,0,0.0
151,1,2,20,"Gasilski dom Kamnje, Kamnje 26 a, Boh.Bistrica",495,354,0.7152,354,349,5,1.0,14,0.040115,15,0.04298,2,0.005731,1,0.002865,111,0.318052,16,0.045845,0,0.0,28,0.080229,3,0.008596,47,0.13467,69,0.197708,2,0.005731,,,,,32,0.091691,8,0.022923,1,0.002865
152,1,2,21,"Gasilski dom Nemški rovt,Nemški rovt18,B.Bistrica",95,77,0.8105,77,76,1,1.0,5,0.065789,1,0.013158,1,0.013158,0,0.0,19,0.25,1,0.013158,0,0.0,8,0.105263,4,0.052632,14,0.184211,12,0.157895,1,0.013158,,,,,5,0.065789,5,0.065789,0,0.0
153,1,2,22,"Šola na Koprivniku, Koprivnik 4, Boh. Bistrica",179,110,0.6145,110,108,2,1.0,1,0.009259,5,0.046296,2,0.018519,0,0.0,36,0.333333,5,0.046296,0,0.0,6,0.055556,1,0.009259,10,0.092593,31,0.287037,0,0.0,,,,,10,0.092593,1,0.009259,0,0.0
154,1,2,23,"Gasilski dom Gorjuše, Gorjuše 36 a, Boh.Bistrica",131,89,0.6794,89,89,0,1.0,10,0.11236,2,0.022472,1,0.011236,0,0.0,25,0.280899,5,0.05618,1,0.011236,9,0.101124,2,0.022472,8,0.089888,17,0.191011,0,0.0,,,,,5,0.05618,4,0.044944,0,0.0
155,1,2,24,"Avla podružnične šole, Srednja vas 69,Sr.vas v B. ",376,256,0.6809,256,252,4,1.0,10,0.039683,10,0.039683,2,0.007937,0,0.0,98,0.388889,11,0.043651,1,0.003968,27,0.107143,2,0.007937,32,0.126984,34,0.134921,0,0.0,,,,,16,0.063492,9,0.035714,0,0.0
156,1,2,25,"Gasilski dom Bohinj. Češnjica, Bohin. Češnjica 79",450,332,0.7378,332,330,2,1.0,16,0.048485,27,0.081818,1,0.00303,1,0.00303,115,0.348485,6,0.018182,2,0.006061,35,0.106061,11,0.033333,41,0.124242,39,0.118182,0,0.0,,,,,23,0.069697,10,0.030303,3,0.009091
157,1,2,26,"Pri Zdenki Platiša,Podjelje 15 a,Sr.vas v Bohinju",63,45,0.7143,45,44,1,1.0,0,0.0,8,0.181818,0,0.0,1,0.022727,13,0.295455,0,0.0,0,0.0,7,0.159091,3,0.068182,3,0.068182,8,0.181818,0,0.0,,,,,1,0.022727,0,0.0,0,0.0
158,1,2,27,"Center TNP Bohinj, Stara Fužina 37, B.jez.",536,357,0.666,357,357,0,1.0,13,0.036415,33,0.092437,2,0.005602,2,0.005602,106,0.296919,18,0.05042,0,0.0,39,0.109244,10,0.028011,42,0.117647,55,0.154062,1,0.002801,,,,,20,0.056022,15,0.042017,1,0.002801
159,1,2,28,"Pri Milanu Talerju,Studor v Bohinju 5a,Sr.vas v B",100,73,0.73,73,73,0,1.0,2,0.027397,5,0.068493,0,0.0,1,0.013699,29,0.39726,4,0.054795,0,0.0,3,0.041096,0,0.0,18,0.246575,4,0.054795,0,0.0,,,,,6,0.082192,1,0.013699,0,0.0
160,1,2,33,"MGC Vezenine Bled, Ulica Jule Vovk Molnar 2, Bled",784,508,0.648,508,502,6,1.0,37,0.073705,25,0.049801,1,0.001992,3,0.005976,99,0.197211,39,0.077689,3,0.005976,17,0.033865,13,0.025896,38,0.075697,169,0.336653,2,0.003984,,,,,39,0.077689,13,0.025896,4,0.007968
161,1,2,901,Predčasno glasovanje - Bled,0,513,0.0,513,508,5,1.0,34,0.066929,23,0.045276,6,0.011811,2,0.003937,99,0.194882,58,0.114173,3,0.005906,15,0.029528,14,0.027559,27,0.05315,189,0.372047,3,0.005906,,,,,24,0.047244,6,0.011811,5,0.009843
162,1,2,902,Predčasno glasovanje - Bohinj,0,338,0.0,338,335,3,1.0,27,0.080597,19,0.056716,6,0.01791,2,0.00597,44,0.131343,38,0.113433,1,0.002985,26,0.077612,4,0.01194,16,0.047761,127,0.379104,1,0.002985,,,,,19,0.056716,4,0.01194,1,0.002985
163,1,2,9701000,OMNIA od: 1000 - za: 1002,0,0,0.0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,,0,,0,
164,1,2,9701001,OMNIA od: 1001 - za: 1002,0,2,0.0,2,2,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,,,,,0,0.0,0,0.0,0,0.0
165,1,2,9701003,OMNIA od: 1003 - za: 1002,0,0,0.0,0,0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
166,1,2,9701004,OMNIA od: 1004 - za: 1002,0,4,0.0,4,4,0,1.0,0,0.0,1,0.25,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
167,1,2,9701007,OMNIA od: 1007 - za: 1002,0,0,0.0,0,0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
168,1,2,9701008,OMNIA od: 1008 - za: 1002,0,2,0.0,2,2,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,,,,,0,0.0,0,0.0,0,0.0
169,1,2,9701010,OMNIA od: 1010 - za: 1002,0,0,0.0,0,0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
170,1,2,9701011,OMNIA od: 1011 - za: 1002,0,0,0.0,0,0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
171,1,2,9702001,OMNIA od: 2001 - za: 1002,0,1,0.0,1,1,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
172,1,2,9702002,OMNIA od: 2002 - za: 1002,0,1,0.0,1,1,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
173,1,2,9702003,OMNIA od: 2003 - za: 1002,0,3,0.0,3,3,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.666667,0,0.0,,,,,1,0.333333,0,0.0,0,0.0
174,1,2,9702004,OMNIA od: 2004 - za: 1002,0,5,0.0,5,5,0,1.0,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,,,,,1,0.2,0,0.0,0,0.0
175,1,2,9702006,OMNIA od: 2006 - za: 1002,0,0,0.0,0,0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
176,1,2,9702007,OMNIA od: 2007 - za: 1002,0,1,0.0,1,1,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
177,1,2,9702008,OMNIA od: 2008 - za: 1002,0,0,0.0,0,0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
