,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,GIBANJE SVOBODA,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,SLOVENSKA DEMOKRATSKA STRANKA - SDS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,VESNA - ZELENA STRANKA,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE - DeSUS in DOBRA DRŽAVA,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,SLOVENSKA LJUDSKA STRANKA - SLS,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,LEVICA,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,ZELENI SLOVENIJE,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,SOCIALNI DEMOKRATI - SD,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,DRŽAVLJANSKO GIBANJE RESNI.CA,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,"NIČ OD TEGA, STRANKA PRILAGOJENA VSAKEMU, UTEMELJITELJICA NIČODTEGAIZMA, KI ZDRUŽUJE...",Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142
890,VE 2000 - POSTOJNA,VO 2011 - AJDOVŠČINA,37,"OŠ D. Bajca Vipava, Vinarska c. 4, Vipava",524,257,0.4905,257,247,10,1.0,24,0.097166,19,8,1,1,0,1,3,1,0,4,84,0.340081,67,32,5,12,0,4,1,2,1,10,18,0.072874,14,13,0,0,0,1,0,0,0,0,2,0.008097,2,2,0,0,0,0,0,0,0,0,26,0.105263,24,22,0,0,0,0,0,0,1,1,43,0.174089,35,9,1,0,0,0,5,0,11,9,9,0.036437,6,3,0,1,0,0,1,0,0,1,8,0.032389,4,3,0,1,0,0,0,0,0,0,26,0.105263,22,15,2,0,2,0,0,0,0,3,4,0.016194,3,0,1,1,0,0,1,0,0,0,3,0.012146,2,2,0,0,0,0,0,0,0,0
891,VE 2000 - POSTOJNA,VO 2011 - AJDOVŠČINA,38,"OŠ v Vrhpolju, Vrhpolje 41",731,416,0.5691,416,400,16,1.0,23,0.0575,19,8,0,3,2,0,3,0,1,2,181,0.4525,129,63,14,9,2,10,4,0,1,26,20,0.05,15,14,1,0,0,0,0,0,0,0,7,0.0175,6,6,0,0,0,0,0,0,0,0,74,0.185,70,62,4,3,0,0,0,0,0,1,61,0.1525,47,20,1,1,0,0,3,2,15,5,6,0.015,6,2,0,0,0,0,1,0,0,3,4,0.01,3,0,0,0,0,0,0,0,0,3,14,0.035,11,8,0,0,2,0,0,0,0,1,9,0.0225,9,4,0,2,0,0,2,0,1,0,1,0.0025,1,0,1,0,0,0,0,0,0,0
892,VE 2000 - POSTOJNA,VO 2011 - AJDOVŠČINA,39,"Dvorana KS, Gradišče pri Vipavi 35b",195,120,0.6154,120,106,14,1.0,16,0.150943,8,6,0,1,0,0,0,1,0,0,36,0.339623,28,6,3,10,0,2,1,0,1,5,6,0.056604,5,5,0,0,0,0,0,0,0,0,3,0.028302,2,2,0,0,0,0,0,0,0,0,16,0.150943,13,10,0,3,0,0,0,0,0,0,12,0.113208,8,3,0,0,0,0,1,0,3,1,2,0.018868,2,2,0,0,0,0,0,0,0,0,1,0.009434,1,0,0,0,0,0,0,0,0,1,8,0.075472,7,6,0,0,0,0,0,0,0,1,4,0.037736,3,1,1,0,0,0,1,0,0,0,2,0.018868,2,0,0,0,0,0,0,0,2,0
893,VE 2000 - POSTOJNA,VO 2011 - AJDOVŠČINA,40,"Prostori KS Slap, Slap 58",325,175,0.5385,175,164,11,1.0,21,0.128049,14,10,0,0,1,0,2,0,0,1,63,0.384146,53,23,4,9,0,6,1,2,0,8,10,0.060976,7,6,1,0,0,0,0,0,0,0,6,0.036585,6,5,0,0,0,1,0,0,0,0,23,0.140244,21,18,1,0,2,0,0,0,0,0,22,0.134146,19,4,0,0,1,0,3,0,7,4,5,0.030488,5,0,0,3,0,0,0,0,0,2,1,0.006098,0,0,0,0,0,0,0,0,0,0,10,0.060976,10,8,0,0,0,0,0,0,0,2,2,0.012195,2,1,0,0,1,0,0,0,0,0,1,0.006098,1,1,0,0,0,0,0,0,0,0
894,VE 2000 - POSTOJNA,VO 2011 - AJDOVŠČINA,41,"KS (Stara šola), Lože 53",294,163,0.5544,163,151,12,1.0,12,0.07947,10,6,0,0,0,0,1,0,1,2,63,0.417219,45,25,3,5,0,4,0,0,0,8,7,0.046358,7,6,0,0,0,0,1,0,0,0,2,0.013245,2,2,0,0,0,0,0,0,0,0,27,0.178808,23,21,0,2,0,0,0,0,0,0,22,0.145695,21,3,0,0,0,0,0,2,12,4,6,0.039735,5,3,0,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,9,0.059603,5,5,0,0,0,0,0,0,0,0,2,0.013245,2,0,1,1,0,0,0,0,0,0,1,0.006623,1,1,0,0,0,0,0,0,0,0
895,VE 2000 - POSTOJNA,VO 2011 - AJDOVŠČINA,42,"KS (Stara šola), Erzelj 17",72,42,0.5833,42,40,2,1.0,11,0.275,5,4,0,0,1,0,0,0,0,0,11,0.275,7,4,0,0,0,0,1,0,1,1,2,0.05,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0.025,0,0,0,0,0,0,0,0,0,0,4,0.1,4,0,0,0,0,0,0,0,4,0,2,0.05,2,1,0,0,0,0,0,0,0,1,1,0.025,1,0,0,0,0,0,0,0,0,1,3,0.075,1,0,1,0,0,0,0,0,0,0,5,0.125,5,4,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
896,VE 2000 - POSTOJNA,VO 2011 - AJDOVŠČINA,43,"OŠ na Gočah, Goče 6",155,77,0.4968,77,74,3,1.0,13,0.175676,9,5,1,0,0,1,1,0,1,0,33,0.445946,24,11,6,1,1,3,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,4,0.054054,3,3,0,0,0,0,0,0,0,0,13,0.175676,13,1,0,0,0,0,0,0,7,5,3,0.040541,3,0,1,1,0,0,0,0,0,1,1,0.013514,1,1,0,0,0,0,0,0,0,0,3,0.040541,2,2,0,0,0,0,0,0,0,0,4,0.054054,3,0,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
897,VE 2000 - POSTOJNA,VO 2011 - AJDOVŠČINA,44,"KD Podraga, Podraga 7",268,145,0.541,145,137,8,1.0,22,0.160584,18,12,0,1,0,1,4,0,0,0,41,0.29927,32,24,1,2,0,1,0,0,0,4,18,0.131387,18,15,1,0,0,0,2,0,0,0,6,0.043796,5,4,0,0,0,0,0,0,0,1,17,0.124088,15,14,0,1,0,0,0,0,0,0,18,0.131387,14,2,0,0,0,1,0,1,8,2,1,0.007299,1,0,0,0,0,0,0,0,0,1,2,0.014599,1,1,0,0,0,0,0,0,0,0,10,0.072993,9,8,0,0,1,0,0,0,0,0,1,0.007299,1,0,1,0,0,0,0,0,0,0,1,0.007299,1,1,0,0,0,0,0,0,0,0
898,VE 2000 - POSTOJNA,VO 2011 - AJDOVŠČINA,45,"KD J. Premrla - Vojka, Podnanos 71",649,394,0.6071,394,373,21,1.0,24,0.064343,17,11,1,0,0,0,3,1,0,1,175,0.469169,132,70,12,15,0,11,3,1,4,16,12,0.032172,11,10,0,1,0,0,0,0,0,0,7,0.018767,4,2,1,0,0,0,1,0,0,0,46,0.123324,44,43,0,1,0,0,0,0,0,0,64,0.171582,60,16,1,0,0,1,6,1,27,8,13,0.034853,9,2,0,1,0,0,0,0,0,6,8,0.021448,5,2,0,0,0,0,0,0,0,3,18,0.048257,14,11,0,1,0,0,0,0,0,2,1,0.002681,1,1,0,0,0,0,0,0,0,0,5,0.013405,1,1,0,0,0,0,0,0,0,0
899,VE 2000 - POSTOJNA,VO 2011 - AJDOVŠČINA,46,"KS (stara šola), Lozice 34",210,123,0.5857,123,118,5,1.0,9,0.076271,8,4,0,0,0,2,1,0,0,1,61,0.516949,41,19,6,3,0,5,0,0,0,8,5,0.042373,3,2,0,1,0,0,0,0,0,0,2,0.016949,2,2,0,0,0,0,0,0,0,0,14,0.118644,14,13,0,1,0,0,0,0,0,0,10,0.084746,8,1,1,0,0,0,3,0,2,1,2,0.016949,1,1,0,0,0,0,0,0,0,0,2,0.016949,2,0,0,0,0,1,1,0,0,0,10,0.084746,7,6,0,0,1,0,0,0,0,0,2,0.016949,1,1,0,0,0,0,0,0,0,0,1,0.008475,0,0,0,0,0,0,0,0,0,0
