,Volilna enota,Volilni_Okraj,ID Volišča,Volišče,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,Glasovi ZA,Odstotek glasov ZA,Glasovi PROTI,Odstotek glasov PROTI
2696,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,2,"MČ Tezno, Panonska ul. 12",735,259,0.3524,259,259,0,1.0,138,0.532819,121,0.467181
2697,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,3,"MČ Tezno, Panonska ul. 12",877,335,0.382,333,332,1,1.0,180,0.542169,152,0.457831
2698,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,4,"KS Marjeta, Marjeta 57a",380,149,0.3921,149,149,0,1.0,64,0.42953,85,0.57047
2699,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,5,"GD Trniče, Trniče 30",373,183,0.4906,183,183,0,1.0,79,0.431694,104,0.568306
2700,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,6,"ŠD Loka Rošnja, Loka 23a",232,107,0.4612,107,106,1,1.0,34,0.320755,72,0.679245
2701,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,7,"KD Rošnja, Rošnja 40a",312,136,0.4359,136,135,1,1.0,64,0.474074,71,0.525926
2702,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,8,"GD Zlatoličje, Zlatoličje 10",627,249,0.3971,249,249,0,1.0,109,0.437751,140,0.562249
2703,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,9,"ZP Starše, Starše 78c",647,259,0.4003,259,259,0,1.0,132,0.509653,127,0.490347
2704,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,10,"KS Prepolje, Prepolje 62",445,165,0.3708,165,165,0,1.0,73,0.442424,92,0.557576
2705,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,11,"OŠ Slivnica, Mariborska c. 4",806,302,0.3747,302,299,3,1.0,170,0.568562,129,0.431438
2706,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,12,"OŠ Slivnica, Mariborska c. 4",1506,526,0.3493,526,526,0,1.0,307,0.58365,219,0.41635
2707,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,13,"AMD Orehova vas, Orehova c. 26",348,138,0.3966,138,138,0,1.0,58,0.42029,80,0.57971
2708,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,14,"KC Hotinja vas, Hotinjska c. 127",1099,422,0.384,422,421,1,1.0,229,0.543943,192,0.456057
2709,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,15,"Knjižnica Hoče, Sršakova ul. 2",988,436,0.4413,436,435,1,1.0,242,0.556322,193,0.443678
2710,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,16,"KD Hoče, Pohorska c. 15",963,403,0.4185,403,402,1,1.0,210,0.522388,192,0.477612
2711,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,17,"FKBV Pivola, Pivola 10",335,101,0.3015,101,101,0,1.0,54,0.534653,47,0.465347
2712,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,18,"VeGeC Rogoza, Rogoška c. 60",1217,478,0.3928,478,478,0,1.0,288,0.60251,190,0.39749
2713,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,19,"VO Bohova, Bohova 2a",201,96,0.4776,96,93,3,1.0,53,0.569892,40,0.430108
2714,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,20,"KD Hoče, Pohorska c. 15",289,132,0.4567,132,131,1,1.0,66,0.503817,65,0.496183
2715,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,21,"KS Dravski Dvor, Kidričeva c. 9",587,221,0.3765,221,221,0,1.0,128,0.579186,93,0.420814
2716,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,22,"OŠ Miklavž-Dobrovce, Šolska ul. 1",644,270,0.4193,268,265,3,1.0,127,0.479245,138,0.520755
2717,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,23,"KS Skoke, Uskoška ul. 58",860,334,0.3884,334,333,1,1.0,170,0.510511,163,0.489489
2718,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,24,"KD Miklavž, Cesta v Rogozo 11",1237,467,0.3775,467,467,0,1.0,242,0.518201,225,0.481799
2719,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,25,"KD Miklavž, Cesta v Rogozo 11",956,369,0.386,369,368,1,1.0,240,0.652174,128,0.347826
2720,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,26,"Bell Center, Ptujska c. 13",1079,374,0.3466,374,371,3,1.0,217,0.584906,154,0.415094
2721,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,27,"MČ Tezno, Panonska ul. 12",899,293,0.3259,293,292,1,1.0,168,0.575342,124,0.424658
2722,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,30,"DK Brunšvik, Brunšvik 49b",342,115,0.3363,115,113,2,1.0,58,0.513274,55,0.486726
2723,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,901,Predčasno glasovanje - KD Hoče,0,152,0.0,152,152,0,1.0,99,0.651316,53,0.348684
2724,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,902,Predčasno glasovanje - MČ Tezno,0,62,0.0,62,62,0,1.0,43,0.693548,19,0.306452
2725,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,997,Po pošti v Sloveniji OVK,0,17,0.0,17,17,0,1.0,10,0.588235,7,0.411765
2726,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,998,Po pošti v tujini OVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
