,Volilna enota,Volilni_Okraj,ID Volišča,Volišče,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,Glasovi ZA,Odstotek glasov ZA,Glasovi PROTI,Odstotek glasov PROTI
224,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,6,"Zdravstveni dom Šk. Loka, Stara cesta 10, Šk.Loka",880,453,0.5148,453,450,3,1.0,202,0.448889,248,0.551111
225,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,7,"Osnovna šola Reteče, Reteče 43, Škofja Loka",876,470,0.5365,470,469,1,1.0,209,0.445629,260,0.554371
226,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,8,"OŠ Cvetko Golar I., Frankovo naselje 51, Šk. Loka",1248,528,0.4231,528,528,0,1.0,201,0.380682,327,0.619318
227,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,9,"OŠ Cvetko Golar II., Frankovo naselje 51,Šk.Loka",1004,421,0.4193,421,415,6,1.0,152,0.366265,263,0.633735
228,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,10,"OŠ Cvetko Golar III., Frankovo naselje 51,Šk.Loka",516,248,0.4806,248,248,0,1.0,100,0.403226,148,0.596774
229,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,11,"Gasilski dom Gosteče, Gosteče 10, Škofja Loka",376,228,0.6064,228,228,0,1.0,61,0.267544,167,0.732456
230,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,12,"OŠ Ivana Groharja, Podlubnik 1, Škofja Loka",1243,580,0.4666,580,577,3,1.0,282,0.488735,295,0.511265
231,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,13,"Upravna enota Škofja Loka, Poljanska cesta 2, Šk.L",1114,472,0.4237,472,469,3,1.0,207,0.441365,262,0.558635
232,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,14,"Puštalski grad, Puštal 21, Škofja Loka",568,298,0.5246,298,296,2,1.0,139,0.469595,157,0.530405
233,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,15,"Trgovina kmečki stroji, Sv. Barbara 23, Šk. Loka",313,164,0.524,164,160,4,1.0,37,0.23125,123,0.76875
234,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,16,"Krajevna skupnost Podlubnik,Podlubnik 139, Šk. L.",1558,779,0.5,779,773,6,1.0,384,0.496766,389,0.503234
235,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,18,"Tržnica Škofja Loka, Partizanska cesta 1, Šk.Loka",1369,714,0.5215,714,711,3,1.0,254,0.357243,457,0.642757
236,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,20,"Zadružni dom Log nad Škofjo Loko, Log nad Šk.L.31",431,267,0.6195,267,267,0,1.0,44,0.164794,223,0.835206
237,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,21,"Šola Gabrk, Gabrk 1, Škofja Loka",242,141,0.5826,141,141,0,1.0,55,0.390071,86,0.609929
238,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,22,"Prostori Pri Kajbitu, Zminec 5, Škofja Loka",775,422,0.5445,422,421,1,1.0,132,0.313539,289,0.686461
239,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,23,"Krajevna skupnost Lenart, Sv. Lenart 21, Selca",301,174,0.5781,174,173,1,1.0,41,0.236994,132,0.763006
240,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,24,"Osnovna šola Bukovščica, Bukovščica 4, Selca",265,171,0.6453,171,170,1,1.0,37,0.217647,133,0.782353
241,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,25,"Osnovna šola Bukovica, Bukovica 20, Selca",590,335,0.5678,335,333,2,1.0,66,0.198198,267,0.801802
242,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,901,Predčasno glasovanje,0,495,0.0,494,491,3,1.0,303,0.617108,188,0.382892
243,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,970,OMNIA od: 1008,0,61,0.0,61,61,0,1.0,26,0.42623,35,0.57377
244,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,997,Po pošti v Sloveniji OVK,0,13,0.0,13,13,0,1.0,3,0.230769,10,0.769231
245,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,998,Po pošti v tujini OVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
246,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,999,Posebni volilni imenik,1101,0,0.0,0,0,0,,0,0.0,0,0.0
247,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,1,"RUŽV TODRAŽ - nova stavba, Todraž 22, Gorenja vas",255,139,0.5451,139,137,2,1.0,11,0.080292,126,0.919708
248,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,2,"Sokolski dom GORENJA VAS-mala dvorana,Poljan.c.87",1157,585,0.5056,585,582,3,1.0,185,0.317869,397,0.682131
249,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,3,"Gasilski dom HOTAVLJE, Hotavlje 112, Gorenja vas",631,372,0.5895,372,371,1,1.0,51,0.137466,320,0.862534
250,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,4,"Osnovna šola LESKOVICA, Leskovica 1, Gorenja vas",274,146,0.5328,146,145,1,1.0,26,0.17931,119,0.82069
251,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,5,"Osnovna šola JAVORJE,Javorje 6,Poljane nad Šk. L.",536,307,0.5728,307,307,0,1.0,29,0.094463,278,0.905537
252,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,6,"Kulturni dom LUČINE, Lučine 11a, Gorenja vas",437,251,0.5744,251,250,1,1.0,33,0.132,217,0.868
253,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,7,"Gasilski dom TREBIJA, Trebija 4, Gorenja vas",458,246,0.5371,246,246,0,1.0,78,0.317073,168,0.682927
254,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,8,"Stavba ob župnišču v STARI OSELICI,St.Oselica 33",97,53,0.5464,53,52,1,1.0,6,0.115385,46,0.884615
255,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,9,"KD Poljane, Poljane nad Škofjo Loko 77, Poljane",1409,841,0.5969,841,841,0,1.0,205,0.243757,636,0.756243
256,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,10,"Demšar Slavko, Dolenje Brdo 7, Poljane nad Šk.L.",138,86,0.6232,86,85,1,1.0,6,0.070588,79,0.929412
257,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,11,"Šola MALENSKI VRH, Malenski Vrh 14,Poljane",65,47,0.7231,47,47,0,1.0,14,0.297872,33,0.702128
258,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,12,"Kulturna dvorana SOVODENJ, Sovodenj 23, Sovodenj",458,234,0.5109,234,234,0,1.0,67,0.286325,167,0.713675
259,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,13,"Etnografski muzej DAVČA, Davča 25 a, Železniki",230,115,0.5,115,115,0,1.0,22,0.191304,93,0.808696
260,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,14,"Objekt na športnem igrišcu,Dolenja vas 127,Selca ",377,209,0.5544,209,209,0,1.0,62,0.296651,147,0.703349
261,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,15,"Osnovna šola DRAŽGOŠE, Dražgoše 35, Železniki",261,130,0.4981,130,130,0,1.0,55,0.423077,75,0.576923
262,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,16,"Gasilski dom RUDNO, Rudno 5, Železniki",181,119,0.6575,119,119,0,1.0,26,0.218487,93,0.781513
263,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,17,"Osnovna šola SELCA, Selca 95, Selca",745,459,0.6161,459,457,2,1.0,112,0.245077,345,0.754923
264,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,18,"Berce Mirko, Lajše 12, Selca",91,64,0.7033,64,64,0,1.0,6,0.09375,58,0.90625
265,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,19,"Krajevna skupnost SORICA,Spodnja Sorica 16,Sorica",264,181,0.6856,181,181,0,1.0,23,0.127072,158,0.872928
266,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,20,"Kulturni dom ŽELEZNIKI, Trnje 39, Železniki",718,333,0.4638,333,331,2,1.0,154,0.465257,177,0.534743
267,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,21,"Osnovna šola ŽELEZNIKI, Otoki 13, Železniki",1120,518,0.4625,518,515,3,1.0,201,0.390291,314,0.609709
268,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,22,"Restavracija LUŠINA, Češnjica 54, Železniki",686,382,0.5569,382,379,3,1.0,133,0.350923,246,0.649077
269,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,23,"Kulturni dom ZALI LOG, Zali Log 46 a, Železniki",282,149,0.5284,149,149,0,1.0,25,0.167785,124,0.832215
270,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,24,"Objekt pri šoli v PODLONKU,Podlonk 11,Železniki",135,80,0.5926,80,80,0,1.0,17,0.2125,63,0.7875
271,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,25,"Osnovna šola MARTINJ VRH,Martinj Vrh 21,Železniki",178,120,0.6742,120,119,1,1.0,6,0.05042,113,0.94958
272,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,26,"OŠ Žiri-večnamenski prostor, Jobstova c. 22, Žiri",624,323,0.5176,323,322,1,1.0,115,0.357143,207,0.642857
273,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,27,"Družbeni dom Partizan ŽIRI, Loška c. 17, Žiri",1069,571,0.5341,571,568,3,1.0,235,0.413732,333,0.586268
274,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,28,"Zadružni dom ŽIRI,avla dvorane,Trg svobode 6,Žiri",804,413,0.5137,413,411,2,1.0,154,0.374696,257,0.625304
275,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,29,"Trgovina na SELU, Selo 2, Žiri",393,210,0.5344,210,208,2,1.0,74,0.355769,134,0.644231
276,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,30,"Gasilski dom BREKOVICE, Brekovice 14, Žiri",112,71,0.6339,71,69,2,1.0,19,0.275362,50,0.724638
277,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,31,"Gasilski dom RAČEVA, Račeva 41, Žiri",252,131,0.5198,131,131,0,1.0,51,0.389313,80,0.610687
278,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,32,"Gasilski dom DOBRAČEVA, Loška c. 64, Žiri",735,384,0.5224,384,380,4,1.0,155,0.407895,225,0.592105
279,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,901,Predčasno glasovanje - ŽELEZNIKI,0,85,0.0,85,85,0,1.0,33,0.388235,52,0.611765
280,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,902,Predčasno glasovanje - GORENJA VAS-POLJANE,0,191,0.0,191,191,0,1.0,60,0.314136,131,0.685864
281,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,997,Po pošti v Sloveniji OVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
282,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,998,Po pošti v tujini OVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
283,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,999,Posebni volilni imenik,366,0,0.0,0,0,0,,0,0.0,0,0.0
284,VE 1000 - KRANJ,VO 1010 - KAMNIK,1,"Krajevni dom Motnik, Motnik 33, Motnik",245,117,0.4776,117,116,1,1.0,26,0.224138,90,0.775862
285,VE 1000 - KRANJ,VO 1010 - KAMNIK,2,"KD Špitalič, Špitalič 32A, Motnik",221,116,0.5249,116,116,0,1.0,24,0.206897,92,0.793103
286,VE 1000 - KRANJ,VO 1010 - KAMNIK,3,"KD Laze, Laze 4A, Laze v Tuhinju",1022,526,0.5147,526,521,5,1.0,137,0.262956,384,0.737044
287,VE 1000 - KRANJ,VO 1010 - KAMNIK,4,"KD Šmartno, Šmartno v Tuhinju 27, Laze v Tuhinju",613,314,0.5122,314,314,0,1.0,50,0.159236,264,0.840764
288,VE 1000 - KRANJ,VO 1010 - KAMNIK,5,"KS Pšajnovica, Mali Rakitovec 15, Blagovica",169,79,0.4675,79,78,1,1.0,26,0.333333,52,0.666667
289,VE 1000 - KRANJ,VO 1010 - KAMNIK,6,"GD Srednja vas, Srednja vas 23, Kamnik",554,287,0.5181,287,287,0,1.0,74,0.25784,213,0.74216
290,VE 1000 - KRANJ,VO 1010 - KAMNIK,7,"PŠ Sela pri Kamniku,OŠ Šmartno, Šmartno 27A, Laze",518,240,0.4633,240,238,2,1.0,57,0.239496,181,0.760504
291,VE 1000 - KRANJ,VO 1010 - KAMNIK,8,"OŠ F. Albrehta, PŠ Nevlje, Nevlje 18, Kamnik",1457,717,0.4921,717,715,2,1.0,304,0.425175,411,0.574825
292,VE 1000 - KRANJ,VO 1010 - KAMNIK,10,"OŠ F. Albrehta,PŠ Vranja Peč,Vranja Peč 3, Kamnik",270,143,0.5296,143,143,0,1.0,28,0.195804,115,0.804196
293,VE 1000 - KRANJ,VO 1010 - KAMNIK,11,"KS Godič, Godič 73A, Stahovica",681,350,0.514,350,349,1,1.0,140,0.401146,209,0.598854
294,VE 1000 - KRANJ,VO 1010 - KAMNIK,13,"OŠ Stranje, PŠ Gozd, Krivčevo 2, Stahovica",619,223,0.3603,223,223,0,1.0,78,0.349776,145,0.650224
295,VE 1000 - KRANJ,VO 1010 - KAMNIK,15,"OŠ Stranje, Zg. Stranje 22, Stahovica",1622,706,0.4353,706,705,1,1.0,268,0.380142,437,0.619858
296,VE 1000 - KRANJ,VO 1010 - KAMNIK,16,"ŠKD Mekinje, Cankarjeva c. 37, Kamnik",1346,559,0.4153,559,558,1,1.0,274,0.491039,284,0.508961
297,VE 1000 - KRANJ,VO 1010 - KAMNIK,17,"OŠ F. Albrehta, PŠ Tunjice, Tunjice 22, Kamnik",596,270,0.453,270,270,0,1.0,73,0.27037,197,0.72963
298,VE 1000 - KRANJ,VO 1010 - KAMNIK,18,"OŠ M. Vere, Ljubljanska c. 16A, Kamnik",1544,603,0.3905,603,601,2,1.0,322,0.535774,279,0.464226
299,VE 1000 - KRANJ,VO 1010 - KAMNIK,19,"OŠ M. Vere, Ljubljanska c. 16A, Kamnik",1638,617,0.3767,617,615,2,1.0,347,0.564228,268,0.435772
300,VE 1000 - KRANJ,VO 1010 - KAMNIK,20,"KD Šmarca, Trg padlih borcev 2, Kamnik",1123,585,0.5209,585,582,3,1.0,249,0.427835,333,0.572165
301,VE 1000 - KRANJ,VO 1010 - KAMNIK,21,"KD Volčji Potok, Volčji Potok 43H, Radomlje",405,202,0.4988,202,201,1,1.0,119,0.59204,82,0.40796
302,VE 1000 - KRANJ,VO 1010 - KAMNIK,22,"Občina Kamnik, Glavni trg 24, Kamnik",2200,720,0.3273,720,714,6,1.0,341,0.477591,373,0.522409
303,VE 1000 - KRANJ,VO 1010 - KAMNIK,23,"GSŠRM Kamnik, Novi trg 41A, Kamnik",919,446,0.4853,446,446,0,1.0,230,0.515695,216,0.484305
304,VE 1000 - KRANJ,VO 1010 - KAMNIK,24,"Vrtec A. Medveda,Sneguljčica,Kovinarska 11,Kamnik",2016,830,0.4117,830,828,2,1.0,479,0.578502,349,0.421498
305,VE 1000 - KRANJ,VO 1010 - KAMNIK,25,"KD Podgorje, Podgorje 55A, Kamnik",786,412,0.5242,412,411,1,1.0,175,0.425791,236,0.574209
306,VE 1000 - KRANJ,VO 1010 - KAMNIK,26,"OŠ F. Albrehta, Šolska ul. 1, Kamnik",1612,661,0.41,661,659,2,1.0,369,0.559939,290,0.440061
307,VE 1000 - KRANJ,VO 1010 - KAMNIK,27,"DK A. Breznika, Križ 17B, Komenda",448,253,0.5647,253,251,2,1.0,85,0.338645,166,0.661355
308,VE 1000 - KRANJ,VO 1010 - KAMNIK,28,"OŠ Komenda Moste, Moste, Moste 40, Komenda",1816,943,0.5193,943,942,1,1.0,347,0.368365,595,0.631635
309,VE 1000 - KRANJ,VO 1010 - KAMNIK,29,"OŠ Komenda Moste, Komenda, Glavarjeva 37, Komenda",2575,1284,0.4986,1284,1280,4,1.0,437,0.341406,843,0.658594
310,VE 1000 - KRANJ,VO 1010 - KAMNIK,901,Predčasno glasovanje,0,993,0.0,993,988,5,1.0,562,0.568826,426,0.431174
311,VE 1000 - KRANJ,VO 1010 - KAMNIK,970,OMNIA od: 1010,0,55,0.0,55,55,0,1.0,34,0.618182,21,0.381818
312,VE 1000 - KRANJ,VO 1010 - KAMNIK,997,Po pošti v Sloveniji OVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
313,VE 1000 - KRANJ,VO 1010 - KAMNIK,998,Po pošti v tujini OVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
314,VE 1000 - KRANJ,VO 1010 - KAMNIK,999,Posebni volilni imenik,1192,0,0.0,0,0,0,,0,0.0,0,0.0
315,VE 1000 - KRANJ,VO 1011 - IDRIJA,1,"Zavod za turizem Cerkno, Glavni trg 5, 5282 Cerkno",626,278,0.4441,278,277,1,1.0,143,0.516245,134,0.483755
316,VE 1000 - KRANJ,VO 1011 - IDRIJA,2,"OŠ Cerkno (stranski vhod), Bevkova ul. 26",676,272,0.4024,272,271,1,1.0,131,0.483395,140,0.516605
317,VE 1000 - KRANJ,VO 1011 - IDRIJA,5,"Mlekarna Planina, Planina pri Cerknem 4",173,73,0.422,73,73,0,1.0,24,0.328767,49,0.671233
318,VE 1000 - KRANJ,VO 1011 - IDRIJA,8,"DK Bukovo, Bukovo 29",139,84,0.6043,84,84,0,1.0,26,0.309524,58,0.690476
319,VE 1000 - KRANJ,VO 1011 - IDRIJA,9,"Stara mlekarna v Zakojci, Zakojca 2",35,18,0.5143,18,18,0,1.0,2,0.111111,16,0.888889
320,VE 1000 - KRANJ,VO 1011 - IDRIJA,10,"OŠ Novaki, Dolenji Novaki 26",367,165,0.4496,165,164,1,1.0,45,0.27439,119,0.72561
321,VE 1000 - KRANJ,VO 1011 - IDRIJA,11,"OŠ Orehek, Orehek 9a",124,57,0.4597,57,57,0,1.0,20,0.350877,37,0.649123
322,VE 1000 - KRANJ,VO 1011 - IDRIJA,12,"GD Otalež, Otalež 3",439,193,0.4396,193,192,1,1.0,80,0.416667,112,0.583333
323,VE 1000 - KRANJ,VO 1011 - IDRIJA,14,"DK Kladje, Podlanišče 2",182,89,0.489,89,88,1,1.0,14,0.159091,74,0.840909
324,VE 1000 - KRANJ,VO 1011 - IDRIJA,15,"Zgradba Rejc Viktorije, Jagršče 2",26,16,0.6154,16,16,0,1.0,7,0.4375,9,0.5625
