,VE,ENOTA,VO,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,SMC-N,SMC-%,Zsi-N,Zsi-%,ZELENI-N,ZELENI-%,DD-N,DD-%,SNS-N,SNS-%,POVEŽIMO SE-N,POVEŽIMO SE-%,LMŠ-N,LMŠ-%,NSI-N,NSI-%,SDS_SLS-N,SDS_SLS-%,DOM-N,DOM-%,SD-N,SD-%,LEVICA-N,LEVICA-%,DESUS-N,DESUS-%,SAB-N,SAB-%
17,2.0,Postojna,4.0,Koper 1,18540,4535,0.2446,4535,4408,127,1.0,86,0.0195,28,0.0064,165,0.0374,36,0.0082,147,0.0333,76,0.0172,584,0.1325,245,0.0556,528,0.1198,71,0.0161,1284,0.2913,530,0.1202,328,0.0744,300,0.0681
18,2.0,Postojna,5.0,Koper 2,24786,6026,0.2431,6026,5854,172,1.0,207,0.0354,51,0.0087,249,0.0425,53,0.0091,226,0.0386,83,0.0142,791,0.1351,468,0.0799,925,0.158,102,0.0174,1364,0.233,626,0.1069,389,0.0665,320,0.0547
19,2.0,Postojna,6.0,Sežana,21836,6586,0.3016,6586,6389,197,1.0,94,0.0147,48,0.0075,208,0.0326,52,0.0081,319,0.0499,80,0.0125,943,0.1476,527,0.0825,1077,0.1686,112,0.0175,1583,0.2478,487,0.0762,530,0.083,329,0.0515
20,2.0,Postojna,7.0,Ilirska Bistrica,12899,3400,0.2636,3400,3287,113,1.0,36,0.011,26,0.0079,56,0.017,19,0.0058,208,0.0633,40,0.0122,442,0.1345,464,0.1412,873,0.2656,63,0.0192,579,0.1761,157,0.0478,217,0.066,107,0.0326
21,2.0,Postojna,8.0,Postojna,18116,5245,0.2895,5245,5138,107,1.0,67,0.013,16,0.0031,119,0.0232,20,0.0039,181,0.0352,71,0.0138,725,0.1411,502,0.0977,1480,0.288,100,0.0195,903,0.1757,380,0.074,311,0.0605,263,0.0512
22,2.0,Postojna,9.0,Nova Gorica 1,25310,7933,0.3134,7933,7768,165,1.0,83,0.0107,56,0.0072,161,0.0207,43,0.0055,264,0.034,82,0.0106,761,0.098,956,0.1231,2182,0.2809,119,0.0153,2088,0.2688,379,0.0488,328,0.0422,266,0.0342
23,2.0,Postojna,10.0,Nova Gorica 2,24104,7918,0.3285,7917,7760,157,1.0,69,0.0089,49,0.0063,166,0.0214,61,0.0079,193,0.0249,65,0.0084,757,0.0976,628,0.0809,1586,0.2044,184,0.0237,2498,0.3219,619,0.0798,389,0.0501,496,0.0639
24,2.0,Postojna,11.0,Ajdovščina,20622,6965,0.3377,6965,6792,173,1.0,66,0.0097,39,0.0057,120,0.0177,34,0.005,180,0.0265,76,0.0112,672,0.0989,1492,0.2197,2127,0.3132,126,0.0186,1177,0.1733,305,0.0449,238,0.035,140,0.0206
25,3.0,Ljubljana Center,,,218916,73845,0.3373,73811,72612,1199,1.0,878,0.0121,300,0.0041,2151,0.0296,406,0.0056,1882,0.0259,1406,0.0194,11873,0.1635,8496,0.117,15628,0.2152,1451,0.02,13640,0.1878,6913,0.0952,4076,0.0561,3512,0.0484
26,3.0,Ljubljana Center,1.0,Logatec,24983,8146,0.3261,8145,7944,201,1.0,103,0.013,28,0.0035,151,0.019,31,0.0039,272,0.0342,102,0.0128,1235,0.1555,1619,0.2038,2134,0.2686,138,0.0174,1188,0.1495,387,0.0487,365,0.0459,191,0.024
27,3.0,Ljubljana Center,2.0,Vrhnika,19838,6760,0.3408,6760,6610,150,1.0,78,0.0118,39,0.0059,234,0.0354,30,0.0045,205,0.031,98,0.0148,1153,0.1744,803,0.1215,1629,0.2464,108,0.0163,1201,0.1817,412,0.0623,378,0.0572,242,0.0366
28,3.0,Ljubljana Center,3.0,Ljubljana Vič-Rudnik 1,24992,7851,0.3141,7851,7721,130,1.0,91,0.0118,33,0.0043,197,0.0255,59,0.0076,231,0.0299,110,0.0142,1457,0.1887,851,0.1102,2228,0.2886,153,0.0198,1157,0.1499,457,0.0592,437,0.0566,260,0.0337
29,3.0,Ljubljana Center,4.0,Ljubljana Vič-Rudnik 2,16884,5486,0.3249,5486,5418,68,1.0,73,0.0135,13,0.0024,141,0.026,27,0.005,142,0.0262,107,0.0197,805,0.1486,586,0.1082,1059,0.1955,114,0.021,1138,0.21,610,0.1126,310,0.0572,293,0.0541
30,3.0,Ljubljana Center,5.0,Ljubljana Vič-Rudnik 3,16567,6173,0.3726,6173,6094,79,1.0,85,0.0139,18,0.003,183,0.03,50,0.0082,123,0.0202,145,0.0238,983,0.1613,559,0.0917,1030,0.169,138,0.0226,1319,0.2164,664,0.109,430,0.0706,367,0.0602
31,3.0,Ljubljana Center,6.0,Ljubljana Vič-Rudnik 4,21415,7304,0.3411,7303,7211,92,1.0,91,0.0126,35,0.0049,235,0.0326,40,0.0055,189,0.0262,117,0.0162,1083,0.1502,926,0.1284,2035,0.2822,160,0.0222,1112,0.1542,544,0.0754,338,0.0469,306,0.0424
32,3.0,Ljubljana Center,7.0,Ljubljana Center,22270,7337,0.3295,7335,7267,68,1.0,93,0.0128,21,0.0029,255,0.0351,33,0.0045,129,0.0178,210,0.0289,902,0.1241,647,0.089,1068,0.147,143,0.0197,1588,0.2185,1273,0.1752,353,0.0486,552,0.076
