,VE,ENOTA,VO,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,SMC-N,SMC-%,Zsi-N,Zsi-%,ZELENI-N,ZELENI-%,DD-N,DD-%,SNS-N,SNS-%,POVEŽIMO SE-N,POVEŽIMO SE-%,LMŠ-N,LMŠ-%,NSI-N,NSI-%,SDS_SLS-N,SDS_SLS-%,DOM-N,DOM-%,SD-N,SD-%,LEVICA-N,LEVICA-%,DESUS-N,DESUS-%,SAB-N,SAB-%
87,8.0,Ptuj,2.0,Ormož,14571,3672,0.252,3672,3582,90,1.0,123,0.0343,37,0.0103,48,0.0134,13,0.0036,307,0.0857,23,0.0064,429,0.1198,526,0.1468,1093,0.3051,22,0.0061,504,0.1407,87,0.0243,311,0.0868,59,0.0165
88,8.0,Ptuj,3.0,Ljutomer,15481,3666,0.2368,3665,3572,93,1.0,70,0.0196,41,0.0115,72,0.0202,15,0.0042,208,0.0582,23,0.0064,508,0.1422,380,0.1064,972,0.2721,23,0.0064,795,0.2226,132,0.037,259,0.0725,74,0.0207
89,8.0,Ptuj,4.0,Murska Sobota 1,25041,7015,0.2801,7015,6891,124,1.0,102,0.0148,44,0.0064,85,0.0123,21,0.003,439,0.0637,40,0.0058,680,0.0987,975,0.1415,1732,0.2513,44,0.0064,2105,0.3055,213,0.0309,246,0.0357,165,0.0239
90,8.0,Ptuj,5.0,Murska Sobota 2,25287,7245,0.2865,7245,7075,170,1.0,96,0.0136,37,0.0052,82,0.0116,28,0.004,276,0.039,52,0.0073,743,0.105,1071,0.1514,1555,0.2198,45,0.0064,2322,0.3282,314,0.0444,323,0.0457,131,0.0185
91,8.0,Ptuj,6.0,Gornja Radgona,18025,4252,0.2359,4252,4170,82,1.0,43,0.0103,52,0.0125,74,0.0177,45,0.0108,187,0.0448,41,0.0098,542,0.13,590,0.1415,1158,0.2777,40,0.0096,850,0.2038,155,0.0372,293,0.0703,100,0.024
92,8.0,Ptuj,7.0,Lenart,16204,3517,0.217,3517,3416,101,1.0,69,0.0202,51,0.0149,67,0.0196,13,0.0038,156,0.0457,32,0.0094,407,0.1191,505,0.1478,1269,0.3715,47,0.0138,458,0.1341,117,0.0343,163,0.0477,62,0.0181
93,8.0,Ptuj,8.0,Pesnica,16584,3602,0.2172,3601,3536,65,1.0,72,0.0204,35,0.0099,43,0.0122,11,0.0031,160,0.0452,39,0.011,529,0.1496,360,0.1018,1272,0.3597,41,0.0116,490,0.1386,139,0.0393,227,0.0642,118,0.0334
94,8.0,Ptuj,9.0,Ptuj 1,21453,5309,0.2475,5309,5181,128,1.0,69,0.0133,62,0.012,98,0.0189,21,0.0041,368,0.071,38,0.0073,472,0.0911,501,0.0967,2347,0.453,37,0.0071,659,0.1272,183,0.0353,188,0.0363,138,0.0266
95,8.0,Ptuj,10.0,Ptuj 2,17277,4430,0.2564,4430,4337,93,1.0,59,0.0136,35,0.0081,109,0.0251,11,0.0025,192,0.0443,38,0.0088,531,0.1224,357,0.0823,1288,0.297,53,0.0122,922,0.2126,322,0.0742,258,0.0595,162,0.0374
96,8.0,Ptuj,11.0,Ptuj 3,19888,4450,0.2238,4450,4336,114,1.0,78,0.018,38,0.0088,50,0.0115,17,0.0039,308,0.071,25,0.0058,437,0.1008,441,0.1017,1885,0.4347,42,0.0097,554,0.1278,143,0.033,217,0.05,101,0.0233
