,VE,ENOTA,VO,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,Mandati,DESUS-N,DESUS-%,DOM-N,DOM-%,RESNICA-N,RESNICA-%,SVOBODA-N,SVOBODA-%,ZSI-N,ZSI-%,LEVICA-N,LEVICA-%,LBP-N,LBP-%,LMŠ-N,LMŠ-%,NAŠA_DEŽELA-N,NAŠA_DEŽELA-%,SNP_DD-N,SNP_DD-%,NESTRANKARSKA-N,NESTRANKARSKA-%,NSI-N,NSI-%,PIRATI-N,PIRATI-%,POVEŽIMO-N,POVEŽIMO-%,SDS-N,SDS-%,SNS-N,SNS-%,SD-N,SD-%,SAB-N,SAB-%,VESNA-N,VESNA-%,ZLS-N,ZLS-%,ZOS-N,ZOS-%
63,6.0,Novo mesto,2.0,Novo mesto 1,24415,17832,0.7304,17831,17632,199,1.0,2,193,0.0109,43,0.0024,563,0.0319,4367,0.2477,,,438,0.0248,59,0.0033,673,0.0382,318,0.018,294,0.0167,476,0.027,1694,0.0961,210,0.0119,581,0.033,5794,0.3286,397,0.0225,936,0.0531,316,0.0179,194,0.011,86,0.0049,,
64,6.0,Novo mesto,3.0,Novo mesto 2,25700,18672,0.7265,18670,18496,174,1.0,1,285,0.0154,34,0.0018,452,0.0244,6804,0.3679,,,759,0.041,40,0.0022,659,0.0356,182,0.0098,393,0.0212,489,0.0264,1718,0.0929,282,0.0152,383,0.0207,3785,0.2046,254,0.0137,1117,0.0604,514,0.0278,243,0.0131,103,0.0056,,
65,6.0,Novo mesto,4.0,Trebnje,16877,12284,0.7279,12283,12128,155,1.0,1,108,0.0089,41,0.0034,469,0.0387,3241,0.2672,,,309,0.0255,33,0.0027,560,0.0462,267,0.022,177,0.0146,186,0.0153,1055,0.087,118,0.0097,750,0.0618,3608,0.2975,192,0.0158,610,0.0503,221,0.0182,120,0.0099,63,0.0052,,
66,6.0,Novo mesto,5.0,Brežice,21220,13663,0.6439,13663,13528,135,1.0,1,106,0.0078,10,0.0007,304,0.0225,5280,0.3903,,,705,0.0521,58,0.0043,500,0.037,205,0.0152,249,0.0184,180,0.0133,504,0.0373,159,0.0118,441,0.0326,3378,0.2497,235,0.0174,725,0.0536,271,0.02,106,0.0078,112,0.0083,,
67,6.0,Novo mesto,6.0,Krško,23408,15964,0.682,15963,15804,159,1.0,1,93,0.0059,22,0.0014,378,0.0239,5828,0.3688,,,484,0.0306,30,0.0019,469,0.0297,225,0.0142,259,0.0164,271,0.0171,919,0.0581,161,0.0102,750,0.0475,4024,0.2546,685,0.0433,686,0.0434,255,0.0161,133,0.0084,132,0.0084,,
68,6.0,Novo mesto,7.0,Sevnica,17115,11965,0.6991,11965,11831,134,1.0,1,137,0.0116,27,0.0023,418,0.0353,3767,0.3184,,,289,0.0244,30,0.0025,384,0.0325,239,0.0202,165,0.0139,180,0.0152,516,0.0436,148,0.0125,683,0.0577,3770,0.3187,226,0.0191,435,0.0368,249,0.021,86,0.0073,82,0.0069,,
69,6.0,Novo mesto,8.0,Laško,14854,10522,0.7084,10521,10403,118,1.0,1,60,0.0058,16,0.0015,316,0.0304,2732,0.2626,,,309,0.0297,53,0.0051,260,0.025,190,0.0183,145,0.0139,141,0.0136,859,0.0826,171,0.0164,282,0.0271,2443,0.2348,146,0.014,1876,0.1803,210,0.0202,127,0.0122,67,0.0064,,
70,6.0,Novo mesto,9.0,Litija,17194,12888,0.7496,12888,12748,140,1.0,1,111,0.0087,17,0.0013,352,0.0276,4520,0.3546,,,462,0.0362,38,0.003,473,0.0371,150,0.0118,166,0.013,212,0.0166,671,0.0526,198,0.0155,899,0.0705,3232,0.2535,142,0.0111,537,0.0421,276,0.0217,198,0.0155,94,0.0074,,
71,6.0,Novo mesto,10.0,Hrastnik-Trbovlje,21223,14831,0.6988,14831,14685,146,1.0,1,91,0.0062,10,0.0007,413,0.0281,6646,0.4526,,,698,0.0475,22,0.0015,547,0.0372,164,0.0112,280,0.0191,102,0.0069,501,0.0341,176,0.012,239,0.0163,2161,0.1472,135,0.0092,1525,0.1038,455,0.031,385,0.0262,135,0.0092,,
72,6.0,Novo mesto,11.0,Zagorje,13694,10272,0.7501,10272,10193,79,1.0,1,49,0.0048,8,0.0008,271,0.0266,4177,0.4098,,,376,0.0369,29,0.0028,770,0.0755,250,0.0245,132,0.013,73,0.0072,480,0.0471,129,0.0127,395,0.0388,1580,0.155,98,0.0096,673,0.066,280,0.0275,375,0.0368,48,0.0047,,
73,7.0,Maribor,,,208281,141498,0.6794,141461,140100,1361,1.0,11,945,0.0067,226,0.0016,4708,0.0336,47996,0.3426,168.0,0.0012,5571,0.0398,457,0.0033,3949,0.0282,2612,0.0186,1865,0.0133,2176,0.0155,7104,0.0507,2280,0.0163,7371,0.0526,35157,0.2509,2699,0.0193,8577,0.0612,3232,0.0231,1719,0.0123,1288,0.0092,,
74,7.0,Maribor,1.0,Šmarje pri Jelšah,27716,17969,0.6483,17965,17717,248,1.0,1,132,0.0075,25,0.0014,537,0.0303,4509,0.2545,22.0,0.0012,449,0.0253,52,0.0029,397,0.0224,548,0.0309,262,0.0148,196,0.0111,1757,0.0992,235,0.0133,2192,0.1237,4649,0.2624,299,0.0169,884,0.0499,292,0.0165,142,0.008,138,0.0078,,
75,7.0,Maribor,2.0,Slovenska Bistrica,25292,17856,0.706,17854,17683,171,1.0,1,143,0.0081,19,0.0011,612,0.0346,4913,0.2778,20.0,0.0011,445,0.0252,63,0.0036,404,0.0228,435,0.0246,212,0.012,285,0.0161,792,0.0448,250,0.0141,1218,0.0689,5871,0.332,452,0.0256,949,0.0537,301,0.017,157,0.0089,142,0.008,,
76,7.0,Maribor,3.0,Slovenske Konjice,19050,13951,0.7323,13948,13805,143,1.0,1,66,0.0048,29,0.0021,284,0.0206,3663,0.2653,12.0,0.0009,320,0.0232,36,0.0026,316,0.0229,344,0.0249,129,0.0093,178,0.0129,752,0.0545,163,0.0118,714,0.0517,4926,0.3568,652,0.0472,856,0.062,169,0.0122,121,0.0088,75,0.0054,,
77,7.0,Maribor,4.0,Ruše,12684,8733,0.6885,8733,8664,69,1.0,1,108,0.0125,11,0.0013,337,0.0389,3180,0.367,6.0,0.0007,435,0.0502,38,0.0044,333,0.0384,131,0.0151,94,0.0108,113,0.013,391,0.0451,151,0.0174,184,0.0212,1961,0.2263,118,0.0136,635,0.0733,198,0.0229,172,0.0199,68,0.0078,,
78,7.0,Maribor,5.0,Maribor 1,23511,16717,0.711,16709,16578,131,1.0,0,82,0.0049,25,0.0015,599,0.0361,6226,0.3756,20.0,0.0012,674,0.0407,41,0.0025,494,0.0298,254,0.0153,190,0.0115,245,0.0148,764,0.0461,283,0.0171,864,0.0521,3692,0.2227,279,0.0168,1072,0.0647,359,0.0217,214,0.0129,201,0.0121,,
79,7.0,Maribor,6.0,Maribor 2,21181,15008,0.7086,15007,14894,113,1.0,1,97,0.0065,16,0.0011,563,0.0378,5644,0.3789,21.0,0.0014,552,0.0371,43,0.0029,447,0.03,238,0.016,213,0.0143,295,0.0198,711,0.0477,232,0.0156,331,0.0222,3637,0.2442,256,0.0172,938,0.063,344,0.0231,167,0.0112,149,0.01,,
80,7.0,Maribor,7.0,Maribor 3,17439,11757,0.6742,11757,11638,119,1.0,1,55,0.0047,23,0.002,448,0.0385,3844,0.3303,15.0,0.0013,433,0.0372,70,0.006,274,0.0235,233,0.02,150,0.0129,156,0.0134,448,0.0385,194,0.0167,1018,0.0875,2925,0.2513,164,0.0141,602,0.0517,289,0.0248,159,0.0137,138,0.0119,,
81,7.0,Maribor,8.0,Maribor 4,14209,8900,0.6264,8899,8832,67,1.0,2,60,0.0068,13,0.0015,237,0.0268,3617,0.4095,5.0,0.0006,627,0.071,24,0.0027,310,0.0351,80,0.0091,115,0.013,210,0.0238,337,0.0382,177,0.02,185,0.0209,1554,0.176,98,0.0111,610,0.0691,325,0.0368,193,0.0219,55,0.0062,,
82,7.0,Maribor,9.0,Maribor 5,16737,10532,0.6293,10524,10403,121,1.0,1,74,0.0071,30,0.0029,413,0.0397,4255,0.409,9.0,0.0009,546,0.0525,30,0.0029,333,0.032,123,0.0118,170,0.0163,181,0.0174,399,0.0384,189,0.0182,212,0.0204,2060,0.198,128,0.0123,675,0.0649,306,0.0294,147,0.0141,123,0.0118,,
83,7.0,Maribor,10.0,Maribor 6,16215,11348,0.6998,11342,11253,89,1.0,1,62,0.0055,13,0.0012,327,0.0291,4629,0.4114,21.0,0.0019,605,0.0538,30,0.0027,377,0.0335,120,0.0107,194,0.0172,197,0.0175,456,0.0405,225,0.02,278,0.0247,2164,0.1923,128,0.0114,796,0.0707,382,0.0339,135,0.012,114,0.0101,,
84,7.0,Maribor,11.0,Maribor 7,14247,8727,0.6126,8723,8633,90,1.0,1,66,0.0076,22,0.0025,351,0.0407,3516,0.4073,17.0,0.002,485,0.0562,30,0.0035,264,0.0306,106,0.0123,136,0.0158,120,0.0139,297,0.0344,181,0.021,175,0.0203,1718,0.199,125,0.0145,560,0.0649,267,0.0309,112,0.013,85,0.0098,,
85,8.0,Ptuj,,,211042,137452,0.6513,137445,136074,1371,1.0,11,1349,0.0099,142,0.001,4499,0.0331,40990,0.3012,,,4168,0.0306,216,0.0016,3675,0.027,3655,0.0269,1705,0.0125,1971,0.0145,8750,0.0643,1638,0.012,6303,0.0463,39475,0.2901,3083,0.0227,10031,0.0737,2274,0.0167,915,0.0067,1012,0.0074,223.0,0.0016
86,8.0,Ptuj,1.0,Lendava,21398,12241,0.5721,12241,12107,134,1.0,2,124,0.0102,19,0.0016,352,0.0291,3810,0.3147,,,342,0.0282,9,0.0007,332,0.0274,187,0.0154,171,0.0141,149,0.0123,1361,0.1124,149,0.0123,297,0.0245,3778,0.3121,173,0.0143,537,0.0444,164,0.0135,85,0.007,50,0.0041,18.0,0.0015
87,8.0,Ptuj,2.0,Ormož,14290,9589,0.671,9589,9479,110,1.0,0,68,0.0072,5,0.0005,211,0.0223,2186,0.2306,,,199,0.021,15,0.0016,428,0.0452,656,0.0692,147,0.0155,118,0.0124,651,0.0687,80,0.0084,673,0.071,2893,0.3052,426,0.0449,456,0.0481,77,0.0081,44,0.0046,137,0.0145,9.0,0.0009
88,8.0,Ptuj,3.0,Ljutomer,15208,9889,0.6502,9886,9766,120,1.0,1,189,0.0194,9,0.0009,286,0.0293,3397,0.3478,,,298,0.0305,20,0.002,299,0.0306,269,0.0275,109,0.0112,172,0.0176,471,0.0482,120,0.0123,345,0.0353,2647,0.271,177,0.0181,637,0.0652,169,0.0173,61,0.0062,81,0.0083,10.0,0.001
89,8.0,Ptuj,4.0,Murska Sobota 1,24689,15354,0.6219,15354,15203,151,1.0,1,233,0.0153,16,0.0011,556,0.0366,4445,0.2924,,,464,0.0305,23,0.0015,481,0.0316,269,0.0177,130,0.0086,137,0.009,678,0.0446,144,0.0095,680,0.0447,3932,0.2586,344,0.0226,2165,0.1424,322,0.0212,86,0.0057,75,0.0049,23.0,0.0015
90,8.0,Ptuj,5.0,Murska Sobota 2,25086,16862,0.6722,16859,16694,165,1.0,1,123,0.0074,13,0.0008,415,0.0249,5329,0.3192,,,642,0.0385,29,0.0017,498,0.0298,198,0.0119,194,0.0116,239,0.0143,872,0.0522,235,0.0141,955,0.0572,3954,0.2369,302,0.0181,2175,0.1303,323,0.0193,105,0.0063,79,0.0047,14.0,0.0008
91,8.0,Ptuj,6.0,Gornja Radgona,17863,11850,0.6634,11850,11732,118,1.0,1,165,0.0141,19,0.0016,445,0.0379,3893,0.3318,,,418,0.0356,18,0.0015,290,0.0247,320,0.0273,218,0.0186,189,0.0161,798,0.068,187,0.0159,489,0.0417,2814,0.2399,292,0.0249,782,0.0667,213,0.0182,80,0.0068,73,0.0062,29.0,0.0025
92,8.0,Ptuj,7.0,Lenart,16338,10825,0.6626,10824,10721,103,1.0,1,91,0.0085,8,0.0007,400,0.0373,3003,0.2801,,,289,0.027,22,0.0021,229,0.0214,315,0.0294,112,0.0104,196,0.0183,811,0.0756,133,0.0124,447,0.0417,3630,0.3386,204,0.019,527,0.0492,132,0.0123,93,0.0087,59,0.0055,20.0,0.0019
93,8.0,Ptuj,8.0,Pesnica,17937,11661,0.6501,11661,11565,96,1.0,1,86,0.0074,18,0.0016,554,0.0479,3924,0.3393,,,327,0.0283,20,0.0017,279,0.0241,218,0.0188,132,0.0114,137,0.0118,585,0.0506,148,0.0128,243,0.021,3527,0.305,217,0.0188,629,0.0544,253,0.0219,113,0.0098,131,0.0113,24.0,0.0021
94,8.0,Ptuj,9.0,Ptuj 1,21444,14858,0.6929,14858,14702,156,1.0,1,88,0.006,10,0.0007,569,0.0387,3762,0.2559,,,358,0.0244,27,0.0018,256,0.0174,468,0.0318,200,0.0136,223,0.0152,935,0.0636,157,0.0107,1137,0.0773,4918,0.3345,415,0.0282,747,0.0508,220,0.015,90,0.0061,100,0.0068,22.0,0.0015
95,8.0,Ptuj,10.0,Ptuj 2,17082,11555,0.6764,11555,11482,73,1.0,1,62,0.0054,12,0.001,323,0.0281,3976,0.3463,,,516,0.0449,18,0.0016,284,0.0247,239,0.0208,126,0.011,252,0.0219,689,0.06,158,0.0138,325,0.0283,3050,0.2656,225,0.0196,797,0.0694,225,0.0196,85,0.0074,101,0.0088,19.0,0.0017
96,8.0,Ptuj,11.0,Ptuj 3,19707,12768,0.6479,12768,12623,145,1.0,1,120,0.0095,13,0.001,388,0.0307,3265,0.2587,,,315,0.025,15,0.0012,299,0.0237,516,0.0409,166,0.0132,159,0.0126,899,0.0712,127,0.0101,712,0.0564,4332,0.3432,308,0.0244,579,0.0459,176,0.0139,73,0.0058,126,0.01,35.0,0.0028
