,VE,ENOTA,VO,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,Mandati,DESUS-N,DESUS-%,DOM-N,DOM-%,RESNICA-N,RESNICA-%,SVOBODA-N,SVOBODA-%,ZSI-N,ZSI-%,LEVICA-N,LEVICA-%,LBP-N,LBP-%,LMŠ-N,LMŠ-%,NAŠA_DEŽELA-N,NAŠA_DEŽELA-%,SNP_DD-N,SNP_DD-%,NESTRANKARSKA-N,NESTRANKARSKA-%,NSI-N,NSI-%,PIRATI-N,PIRATI-%,POVEŽIMO-N,POVEŽIMO-%,SDS-N,SDS-%,SNS-N,SNS-%,SD-N,SD-%,SAB-N,SAB-%,VESNA-N,VESNA-%,ZLS-N,ZLS-%,ZOS-N,ZOS-%
12,1.0,Kranj,11.0,Idrija,13497,9937,0.7362,9935,9781,154,1.0,0,45,0.0046,7,0.0007,272,0.0278,3041,0.3109,,,354,0.0362,39,0.004,446,0.0456,128,0.0131,114,0.0117,160,0.0164,848,0.0867,165,0.0169,512,0.0523,2270,0.2321,142,0.0145,864,0.0883,178,0.0182,134,0.0137,53,0.0054,9.0,0.0009
13,2.0,Postojna,,,209311,145599,0.6956,145586,144035,1551,1.0,11,1035,0.0072,245,0.0017,2999,0.0208,56448,0.3919,,,6873,0.0477,2089,0.0145,4245,0.0295,2142,0.0149,2926,0.0203,2617,0.0182,9425,0.0654,2374,0.0165,3804,0.0264,27880,0.1936,1255,0.0087,10684,0.0742,4221,0.0293,1733,0.012,876,0.0061,164.0,0.0011
14,2.0,Postojna,1.0,Tolmin,16066,11451,0.7127,11449,11348,101,1.0,1,68,0.006,15,0.0013,174,0.0153,3730,0.3287,,,363,0.032,18,0.0016,246,0.0217,167,0.0147,95,0.0084,195,0.0172,1157,0.102,152,0.0134,718,0.0633,2838,0.2501,118,0.0104,895,0.0789,167,0.0147,165,0.0145,54,0.0048,13.0,0.0011
15,2.0,Postojna,2.0,Piran,14707,9351,0.6358,9350,9246,104,1.0,1,68,0.0074,19,0.0021,263,0.0284,3691,0.3992,,,527,0.057,121,0.0131,313,0.0339,81,0.0088,178,0.0193,263,0.0284,315,0.0341,152,0.0164,140,0.0151,1510,0.1633,62,0.0067,1097,0.1186,285,0.0308,87,0.0094,60,0.0065,14.0,0.0015
16,2.0,Postojna,3.0,Izola,12644,8556,0.6767,8556,8451,105,1.0,1,83,0.0098,22,0.0026,234,0.0277,3682,0.4357,,,484,0.0573,136,0.0161,242,0.0286,75,0.0089,200,0.0237,195,0.0231,273,0.0323,154,0.0182,193,0.0228,1234,0.146,52,0.0062,710,0.084,321,0.038,86,0.0102,64,0.0076,11.0,0.0013
17,2.0,Postojna,4.0,Koper 1,18485,11976,0.6479,11976,11824,152,1.0,2,86,0.0073,10,0.0008,316,0.0267,5213,0.4409,,,861,0.0728,644,0.0545,386,0.0326,70,0.0059,341,0.0288,229,0.0194,324,0.0274,260,0.022,184,0.0156,1329,0.1124,80,0.0068,864,0.0731,422,0.0357,100,0.0085,92,0.0078,13.0,0.0011
18,2.0,Postojna,5.0,Koper 2,24985,17380,0.6956,17378,17233,145,1.0,1,94,0.0055,28,0.0016,512,0.0297,7466,0.4332,,,834,0.0484,782,0.0454,611,0.0355,179,0.0104,432,0.0251,341,0.0198,646,0.0375,285,0.0165,279,0.0162,2502,0.1452,105,0.0061,1169,0.0678,647,0.0375,167,0.0097,125,0.0073,29.0,0.0017
19,2.0,Postojna,6.0,Sežana,21966,15219,0.6928,15218,15025,193,1.0,1,119,0.0079,22,0.0015,338,0.0225,6178,0.4112,,,891,0.0593,100,0.0067,430,0.0286,375,0.025,287,0.0191,308,0.0205,669,0.0445,275,0.0183,419,0.0279,2271,0.1511,169,0.0112,1029,0.0685,853,0.0568,177,0.0118,94,0.0063,21.0,0.0014
20,2.0,Postojna,7.0,Ilirska Bistrica,12706,7871,0.6195,7868,7740,128,1.0,0,66,0.0085,9,0.0012,149,0.0193,2443,0.3156,,,319,0.0412,30,0.0039,315,0.0407,144,0.0186,110,0.0142,59,0.0076,1095,0.1415,102,0.0132,284,0.0367,1799,0.2324,121,0.0156,354,0.0457,186,0.024,91,0.0118,55,0.0071,9.0,0.0012
21,2.0,Postojna,8.0,Postojna,18119,12510,0.6904,12509,12379,130,1.0,1,119,0.0096,25,0.002,235,0.019,4266,0.3446,,,618,0.0499,97,0.0078,747,0.0603,253,0.0204,179,0.0145,206,0.0166,661,0.0534,208,0.0168,378,0.0305,2925,0.2363,133,0.0107,738,0.0596,392,0.0317,131,0.0106,56,0.0045,12.0,0.001
22,2.0,Postojna,9.0,Nova Gorica 1,25098,18330,0.7303,18329,18164,165,1.0,1,131,0.0072,33,0.0018,287,0.0158,7484,0.412,,,586,0.0323,54,0.003,352,0.0194,374,0.0206,253,0.0139,290,0.016,1250,0.0688,268,0.0148,473,0.026,4214,0.232,161,0.0089,1117,0.0615,315,0.0173,369,0.0203,131,0.0072,22.0,0.0012
23,2.0,Postojna,10.0,Nova Gorica 2,23879,17405,0.7289,17405,17258,147,1.0,0,95,0.0055,38,0.0022,264,0.0153,7936,0.4598,,,835,0.0484,54,0.0031,292,0.0169,202,0.0117,647,0.0375,287,0.0166,760,0.044,237,0.0137,373,0.0216,3095,0.1793,131,0.0076,1321,0.0765,416,0.0241,187,0.0108,76,0.0044,12.0,0.0007
24,2.0,Postojna,11.0,Ajdovščina,20656,15550,0.7528,15548,15367,181,1.0,2,106,0.0069,24,0.0016,227,0.0148,4359,0.2837,,,555,0.0361,53,0.0034,311,0.0202,222,0.0144,204,0.0133,244,0.0159,2275,0.148,281,0.0183,363,0.0236,4163,0.2709,123,0.008,1390,0.0905,217,0.0141,173,0.0113,69,0.0045,8.0,0.0005
25,3.0,Ljubljana Center,,,219487,165179,0.7526,165151,164059,1092,1.0,11,520,0.0032,337,0.0021,3536,0.0216,62485,0.3809,,,11305,0.0689,517,0.0032,6440,0.0393,1276,0.0078,3132,0.0191,3018,0.0184,11261,0.0686,3340,0.0204,4405,0.0269,31987,0.195,1436,0.0088,10146,0.0618,5370,0.0327,2661,0.0162,887,0.0054,,
26,3.0,Ljubljana Center,1.0,Logatec,25039,18799,0.7508,18794,18635,159,1.0,2,55,0.003,26,0.0014,367,0.0197,6128,0.3288,,,702,0.0377,95,0.0051,657,0.0353,274,0.0147,240,0.0129,414,0.0222,1937,0.1039,320,0.0172,774,0.0415,4580,0.2458,201,0.0108,1140,0.0612,429,0.023,212,0.0114,84,0.0045,,
27,3.0,Ljubljana Center,2.0,Vrhnika,20084,15549,0.7742,15546,15423,123,1.0,0,46,0.003,23,0.0015,353,0.0229,5873,0.3808,,,711,0.0461,67,0.0043,665,0.0431,129,0.0084,281,0.0182,349,0.0226,1089,0.0706,311,0.0202,403,0.0261,3341,0.2166,148,0.0096,816,0.0529,439,0.0285,262,0.017,117,0.0076,,
28,3.0,Ljubljana Center,3.0,Ljubljana Vič-Rudnik 1,25494,19890,0.7802,19889,19738,151,1.0,1,60,0.003,51,0.0026,561,0.0284,7054,0.3574,,,751,0.038,63,0.0032,690,0.035,138,0.007,509,0.0258,353,0.0179,1513,0.0767,391,0.0198,736,0.0373,4639,0.235,244,0.0124,997,0.0505,565,0.0286,287,0.0145,136,0.0069,,
29,3.0,Ljubljana Center,4.0,Ljubljana Vič-Rudnik 2,16849,12570,0.746,12570,12492,78,1.0,1,38,0.003,33,0.0026,226,0.0181,5199,0.4162,,,932,0.0746,37,0.003,508,0.0407,55,0.0044,227,0.0182,229,0.0183,762,0.061,270,0.0216,286,0.0229,2142,0.1715,104,0.0083,759,0.0608,442,0.0354,193,0.0154,50,0.004,,
