Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 7000 - MARIBOR,VO 7001 - ŠMARJE PRI JELŠAH,45,"Fajs Damjan, Senovica 39, 3240 Šm./Jelšah",46.22722,15.51917
VE 7000 - MARIBOR,VO 7001 - ŠMARJE PRI JELŠAH,46,"Lorger Sabina, Vrh 16, 3240 Šm./Jelšah",46.22722,15.51917
VE 7000 - MARIBOR,VO 7001 - ŠMARJE PRI JELŠAH,47,"Orač Martin bivša trg., Ješovec 7, 3240 Šm./Jelšah",,
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,1,"Slomškov dom Slov. Bistrica, Trg Alfonza Šarha 2",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,2,"Dom vaščanov Devina, Devina 36a",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,3,"Klopce - Bar ""Grega"", Klopce 19",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,4,"Tirgot, KS Impol, Levstikova ul. 2",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,5,"Jelen Franc, Visole 116",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,6,"Repnik Franc, Nova Gora nad Slovensko Bistrico 75",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,7,"Stopar Janez, Kovača vas 135",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,8,"GD Zgornja Bistrica, Kajuhova ul. 87",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,9,"Srednja šola, Ul. Dr. Jožeta Pučnika 21",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,11,"OŠ Pohorski odred Slovenska Bistrica, Kopališka 1",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,12,"OŠ Pohorski odred Slovenska Bistrica, Kopališka 1",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,14,"Avtohiša Jurič Slovenska Bistrica,  Lackova ul. 3",46.3847431,15.5669726
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,15,"Center za starejše, Leskovarjeva ul. 16",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,16,"Vaški dom Sp. Nova vas, Spodnja Nova vas 35a",,
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,17,"DK Cigonca, Cigonca 12a",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,19,"Furman Vida, Preloge 10a",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,20,"KS Vrhole-Preloge, Vrhole pri Slov. Konjicah 29",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,21,"OŠ Zgornja Ložnica, Zgornja Ložnica 43",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,22,"Košir Janez, Gladomes 77",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,23,"DK in GD, Veliko Tinje 33",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,24,"Avguštin Zdenka, Tinjska Gora 10",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,25,"Tič Peter, Planina pod Šumikom 19",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,26,"KS Šmartno na Pohorju, Šmartno na Pohorju 19",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,27,"Pečovnik Janko, Spodnje Prebukovje 11",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,28,"Furman Vilibald, Ošelj 1",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,38,"Večnamenska dvorana KS, Leskovec 65",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,39,"Društvo delovnih invalidov, Črešnjevec 94",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,40,"Ilić Marko, Vrhloga 29",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,41,"Polajžer Matej, Pretrež 15b",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,42,"GD Laporje, Laporje 30",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,43,"Potisk Ivan, Kočno ob Ložnici 17",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,44,"Čebular Branko, Hošnica 52",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,45,"Prostori društva za šport Žabljek, Žabljek b.š.",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,46,"Košič Anton, Križni Vrh 96",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,47,"Občina Poljčane, Bistriška c. 65",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,48,"Dom Dr. Jožeta Potrča Poljčane, Potrčeva ul. 1",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,49,"DK Poljčane, Bistriška c. 91",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,50,"OŠ Sp. Poljčane, Dravinjska c. 26",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,51,"KUD Andreja Stefancioza, Studenice 52",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,52,"OŠ Anice Černejeve Makole, Makole 24",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,54,"Koren Branko, Ložnica 28",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,57,"Vrabič Gabrijel, Varoš 34",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,58,"Mihael Vantur, Pečke 28a, 2321 Makole",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,59,"Berglez Jožef, Mostečno 4",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,60,"ŠD Stopno, Stopno b.š.",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,61,"Skledar Štefka, Štatenberg 66a",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,62,"Športna dvorana Milenij, Ul. Poh. bataljona 19",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,63,"Občina Oplotnica - KTC, Goriška c. 4",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,64,"Trgovina Jurič Leopold, Čadram 48",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,65,"Dečar Marjan, Koritno 7",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,66,"Milena Kokol, Božje 15, 2317 Oplotnica",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,67,"Pišotek Janez, Ugovec 5a",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,68,"Rakovnik Anton, Malahorna 7",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,71,"Večnamenska dvorana Prihova, Prihova b.š.",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,73,"KS Kebelj, Kebelj 26a",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,74,"Smogavc Marija, Kot na Pohorju 30",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,75,"Fridrih Mihael, Kot na Pohorju 9",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,76,"Ribič Janez, Modrič 24",46.39278,15.57444
VE 7000 - MARIBOR,VO 7002 - SLOVENSKA BISTRICA,77,"Podgrajšek Jože, Zlakova 12",46.39278,15.57444
VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,1,"Dom krajanov Bezina, Strtenik 12a, Slov. Konjice",46.33667,15.42583
VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,2,"Dom krajanov v Gaju, Vešenik 7c, Slov. Konjice",,
VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,3,"ZZ Vertačnik,Dobrava pri Konjicah 3b,Slov.Konjice",46.33667,15.42583
VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,4,"Pisarna KS Konjiška vas, K. vas 6a, Slov. Konjice",,
VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,5,"Dom krajanov Polene, Slov. Konjice",46.33667,15.42583
VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,6,"PROSTORI TD STOLPNIK NA ŠPORTNEM IGRIŠČU, SOJEK",46.33667,15.42583
VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,7,"OŠ Špitalič, Slov. Konjice",46.33667,15.42583
VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,8,"GOSTIŠČE ULIPI, ZEČE 35, SLOV. KONJICE",46.3595305,15.3958475
VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,9,"Dom krajanov Draža vas, D. vas 38a, Loče",,
VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,10,"Dom krajanov Žiče, Žiče 20, Loče",46.33667,15.42583
VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,11,"Dom krajanov Jernej, Sv. Jernej 19, Loče",46.33667,15.42583
VE 7000 - MARIBOR,VO 7003 - SLOVENSKE KONJICE,12,"Čonč Neža, Ličenca 30, Loče",46.33667,15.42583
