Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,32,"OŠ Bizeljsko, Bizeljska c. 78, 8259 Bizeljsko",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,33,"GD Orešje, Orešje na Biz. 59, 8259 Bizeljsko",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,34,"GD Stara vas, Stara vas 68a, 8259 Bizeljsko",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,35,"GD Cerklje, Cerklje ob K. 56, 8263 Cerklje ob K.",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,36,"OŠ Cerklje, Cerklje ob K. 3, 8263 Cerklje ob K.",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,37,"Nek. OŠ Bušeča v., Bušeča v.38,8263 Cerklje ob K.",,
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,38,"GD D.Pirošica, D.Pirošica 4a, 8263 Cerklje ob K.",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,39,"KS Čatež, Čateška ul. 3, 8250 Brežice",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,40,"GD Cerina, Cerina 14a, 8250 Brežice",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,41,"GD Krška vas, Krška vas 100, 8262 Krška vas",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,42,"GD Skopice, G. Skopice 1, 8262 Krška vas",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,43,"DK V. Malence, V. Malence 18a, 8262 Krška vas",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,44,"Nek. OŠ Mrzlava vas, Mrzlava v. 21a,8262 Krška v.",,
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,45,"KS V. Dolina, V. Dolina 9, 8261 Jesenice na Dol.",45.8527531,15.6641022
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,46,"Prosvetni dom, V. Dolina 34, 8261 Jesenice na Dol.",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,47,"KS Jesenice, Jesenice 11a, 8261 Jesenice na Dol.",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,48,"GD Obrežje, Obrežje 32, 8261 Jesenice na Dol.",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6005 - BREŽICE,49,"KS Križe, Križe 21, 8282 Koprivnica",45.90333,15.59111
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,1,"OŠ Koprivnica, Koprivnica 2",46.0353589,15.5384922
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,3,"GD Veliki Kamen, Veliki Kamen 13a",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,4,"Dom XIV. divizije Senovo I, Trg XIV. divizije 1",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,5,"Dom XIV. divizije Senovo II, Trg XIV. divizije 1",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,6,"GD Senovo, Titova c. 95",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,7,"GD Mali Kamen, Mali Kamen 66a",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,8,"Vaška soba strojnica Reštanj, Reštanj bš",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,9,"GD Stranje, Stranje 13",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,10,"LD Brezje pri Dovškem I, Brezje pri Dovškem 33a",,
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,11,"LD Brezje pri Dovškem II, Brezje pri Dovškem 33a",,
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,12,"OŠ A.Bohoriča, Šolska cesta 29",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,15,"LK Dolenji Leskovec, Dolenji Leskovec 51a",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,16,"Ribiška družina Brestanica II, Raztez 1a",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,17,"Ribiška družina Brestanica I, Raztez 1a",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,18,"VD Dolenja vas, Dolenja vas pri Krškem 53",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,19,"KS Rožno - Presladol, Rožno 62",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,20,"DK Zdole, Zdole 20",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,21,"Dular Bogdan, Kostanjek 20",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,22,"GD Gora, Gora 31",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,24,"GD Krško, Bohoričeva ul. 14",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,25,"Zavod za mladino in šport, C. krških žrtev 105",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,26,"DSO Krško, Kovinarska ul. 13",45.95915,15.49167
VE 6000 - NOVO MESTO,VO 6006 - KRŠKO,27,"Radej Vida, Sremič 37",45.95915,15.49167
