Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,29,"Kladje pri K.-Žan Bunderšek,Kladje pri Krmelju 10",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,30,"KD Šentjanž, Šentjanž 22",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,31,"GD Veliki Cirnik, Veliki Cirnik 1 A",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,32,"LD Tržišče, Tržišče 23",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,33,"Pijavice - Henrik Hočevar, Pijavice 3",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,34,"Vinski dvor Malkovec, Malkovec 11",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,35,"GD Telče, Telče 12 B",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,36,"GD Zabukovje nad Sevnico, Zabukovje nad S. 16 D",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,37,"GD Trnovec, Trnovec 3 A",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,38,"Podgorje - Janez Podlesnik, Podgorje ob S. 17 B",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,39,"OŠ Bučka, Bučka 27",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,40,"GD Zagrad, Zagrad 36",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,41,"GD Dolenje Dole, Dolenje Dole 24b",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,42,"Dvorana Metelkovega doma Škocjan, Škocjan 35",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,43,"Novi GD Grmovlje, Grmovlje 50",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,44,"GD Dobrava pri Škocjanu, Dobrava pri Škocjanu 59",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6007 - SEVNICA,45,"GD Tomažja vas, Tomažja vas 35",46.00778,15.31556
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,1,"Center starejših, Savinjsko nabrežje 6",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,2,"Kulturni center, Trg svobode 6 ",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,3,"OŠ Debro, Poženelova ul. 26",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,4,"ZASTOR d.o.o., Sp. Rečica 80D",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,5,"Sindikalni dom, Huda Jama 1",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,6,"Veterinarska postaja, Marija Gradec 36a",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,7,"Zvonka Dečman, Lahomšek 4",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,8,"Na Slogah, Tevče 2 ",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,9,"Gasilski dom, Vrh nad Laškim 9a ",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,10,"OŠ Šentrupert, Šentrupert 89",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,11,"Strelski dom, Mala Breza 37c ",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,12,"Kulturni dom, Trobni dol 38a",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,13,"OŠ A. Aškerc, Aškerčeva c. 1",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,14,"Šola Lažiše, Laziše 27 ",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,15,"Karel Veber, Brodnice 12 ",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,16,"Matevž Deželak, Lože 1 ",46.15463,15.23555
VE 6000 - NOVO MESTO,VO 6008 - LAŠKO,17,"OŠ Jurklošter, Jurklošter 23",46.0941821,15.3438836
