Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 8000 - PTUJ,VO 8008 - PESNICA,14,"Kulturni dom Sladki Vrh, Sladki Vrh 3",46.60694,15.67667
VE 8000 - PTUJ,VO 8008 - PESNICA,15,"Lovski dom, Vranji Vrh 7",46.60694,15.67667
VE 8000 - PTUJ,VO 8008 - PESNICA,17,"Kulturno prosvetni dom Šentilj, Maistrova ul. 7",46.60694,15.67667
VE 8000 - PTUJ,VO 8008 - PESNICA,18,"Kranvogel, Kaniža 24",46.60694,15.67667
VE 8000 - PTUJ,VO 8008 - PESNICA,19,"Kulturno prosvetni dom Šentilj, Maistrova ul.7",46.60694,15.67667
VE 8000 - PTUJ,VO 8008 - PESNICA,20,"Osnovna šola Zg. Velka, Zg. Velka 41",46.60694,15.67667
VE 8000 - PTUJ,VO 8008 - PESNICA,21,"Farasin Branka, Trate 14",46.60694,15.67667
VE 8000 - PTUJ,VO 8008 - PESNICA,22,"Rajšp Franc, Sp. Velka 61",46.60694,15.67667
VE 8000 - PTUJ,VO 8008 - PESNICA,25,"VS Zg. Kungota, Plintovec 1",46.60694,15.67667
VE 8000 - PTUJ,VO 8008 - PESNICA,26,"Mulec, Ročica 40",46.60694,15.67667
VE 8000 - PTUJ,VO 8008 - PESNICA,27,"KS Pernica, Pernica 8",46.60694,15.67667
VE 8000 - PTUJ,VO 8009 - PTUJ 1,1,"VD Vitomarci, Vitomarci 48a",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,2,"Kocuvan Marica, Rjavci 21",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,4,"Fras Stanko, Novinci 54 ",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,8,"Korent Roman, Črmlja 12",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,9,"Maguša Janez, Sovjak 1a",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,10,"GD Biš, Biš 20a",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,11,"Trinkaus Tatjana, Bišečki Vrh 41",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,12,"Vaški dom Ločič, Ločič 21a",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,13,"VD Trnovska vas, Trnovska vas 38",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,14,"Brumen Elizabeta, Trnovski Vrh 14",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,15,"GD Destrnik, Destrnik 9",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,16,"Nipič Janez, Dolič 17b",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,17,"Lacko Franc, Drstelja 21",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,18,"Caf Janez, Gomila 11",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,19,"Čuček Konrad, Gomilci 11a",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,20,"Kokol Franc, Janežovci 12b",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,21,"OŠ Destrnik, Janežovski Vrh 45 ",46.42005,15.87018
VE 8000 - PTUJ,VO 8009 - PTUJ 1,22,"Koren Elizabeta, Jiršovci 55a",46.42005,15.87018
