Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,4,"OŠ Trnovo, Karunova ul. 14a, Ljubljana",46.00779,14.46968
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,5,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,6,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,8,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,9,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,10,"OŠ Livada, Ul. Dušana Kraigherja 2, Ljubljana",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,11,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,12,"OŠ Livada, Ul. Dušana Kraigherja 2, Ljubljana",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,13,"Podružnična šola Lavrica, Kamnikarjeva ul. 6",46.00779,14.46968
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,14,"GD Orle, Orle 39, Škofljica",46.03333,14.41667
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,15,"Podružnična šola Lavrica, Kamnikarjeva ul. 6",46.00779,14.46968
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,16,"OŠ Livada, Ul. Dušana Kraigherja 2, Ljubljana",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,17,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,18,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,1,"DSO, Enota Kolezija, Kopališka ul. 10, Ljubljana",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,2,"OŠ Kolezija, C. v Mestni log 46, Ljubljana",46.00779,14.46968
