Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,10,"OŠ Vita Kraigherja, Trg 9. maja 1",46.0692677,14.5061306
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,11,"Prostori MOL, Dunajska c. 101",46.08333,14.53333
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,12,"OŠ Vita Kraigherja, Trg 9. maja 1",46.0692677,14.5061306
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,13,"Prostori MOL, Dunajska c. 101",46.08333,14.53333
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,14,"OŠ Vita Kraigherja, Trg 9. maja 1",46.0692677,14.5061306
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,15,"OŠ Mirana Jarca, Ipavčeva ul. 1",46.0688745,14.5138535
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,16,"OŠ Savsko naselje, Matjaževa ul. 4",46.0638269,14.5205153
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,17,"OŠ Savsko naselje, Matjaževa ul. 4",46.0638269,14.5205153
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,18,"OŠ Savsko naselje, Matjaževa ul. 4",46.0638269,14.5205153
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,19,"OŠ Milana Šuštaršiča, Štembalova ul. 2a",46.08333,14.53333
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,20,"OŠ Milana Šuštaršiča, Štembalova ul. 2a",46.08333,14.53333
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,21,"Prostori MOL, Vojkova c. 73",46.08333,14.53333
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,22,"Objekt - okrepčevalnica, Šifrerjeva 3",46.08333,14.53333
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,23,"Objekt - okrepčevalnica, Šifrerjeva 3",46.08333,14.53333
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,24,"Knjižnica Bežigrad, Einspielerjeva ulica 1",46.0650953,14.5082421
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,1,"OSNOVNA ŠOLA DOB I, Šolska ulica 7, Dob",46.13774,14.59371
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,2,"OSNOVNA ŠOLA DOB II, Šolska ulica 7, Dob",46.13774,14.59371
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,3,"Dom krajanov v Žejah, Žeje 10",46.13774,14.59371
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,4,"Osnovna šola Krtina, Krtina 41",46.13774,14.59371
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,5,"Gasilski dom Homec, Bolkova ul.46, Homec",46.13774,14.59371
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,6,"Osnovna šola Ihan, Šolska ul.5, Ihan",46.13774,14.59371
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,7,"Samostan Mala Loka, Mala Loka 8",46.13774,14.59371
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,8,"Slamnikarski muzej, Kajuhova cesta 5, Domžale",46.13774,14.59371
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,9,"RD BISTRICA DOMŽALE, Krakovska 18a, Domžale",46.13774,14.59371
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,10,"NOVI GASILSKI DOM ŠTUDA, Študljanska 103, Domžale ",46.13774,14.59371
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,11,"Kulturni dom Radomlje I, Prešernova cesta 43",46.13774,14.59371
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,12,"Kulturni dom Radomlje II, Prešernova cesta 43",46.13774,14.59371
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,13,"GD Rova, Žiška c.10, Rova",46.13774,14.59371
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,14,"Delavski dom Vir, Šaranovičeva c.19,Vir",46.13774,14.59371
