,Volilna enota,Volilni_Okraj,ID Volišča,Volišče,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,dr. Anže Logar- št. glasov,dr. Anže Logar- odstotek,Nataša Pirc Musar- št. glasov,Nataša Pirc Musar- odstotek
2958,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,25,"Vaški dom Planica, Planica 17c",107,58,0.5421,58,58,0,1.0,37,0.637931,21,0.362069
2959,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,26,"OŠ Rače, Grajski trg 1",1524,710,0.4659,710,706,4,1.0,362,0.512748,344,0.487252
2960,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,27,"OŠ Rače, Grajski trg 1",865,382,0.4416,382,379,3,1.0,150,0.395778,229,0.604222
2961,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,28,"GD Podova, Podova 26",428,231,0.5397,231,229,2,1.0,106,0.462882,123,0.537118
2962,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,29,"GD Gorica, Sp. Gorica 55a",328,178,0.5427,178,178,0,1.0,107,0.601124,71,0.398876
2963,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,31,"OŠ R. Robiča, Limbuška c. 62",875,457,0.5223,457,454,3,1.0,182,0.400881,272,0.599119
2964,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,32,"KD Zg. Polskava, Mladinska ul. 12",954,531,0.5566,531,529,2,1.0,209,0.395085,320,0.604915
2965,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,33,"Cveček Mateja, Gabernik 80",235,95,0.4043,95,93,2,1.0,40,0.430108,53,0.569892
2966,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,34,"LD Polskava, Bukovec 2",749,396,0.5287,396,393,3,1.0,147,0.374046,246,0.625954
2967,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,35,"Kalan Jožef, Ogljenšak 10",235,125,0.5319,125,125,0,1.0,64,0.512,61,0.488
2968,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,36,"Amon Rudolf, Sele pri Polskavi 35",150,70,0.4667,70,68,2,1.0,37,0.544118,31,0.455882
2969,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,37,"KS Sp. Polskava, Sp. Polskava 270",747,408,0.5462,408,403,5,1.0,221,0.548387,182,0.451613
2970,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,38,"MD Pokoše, Pokoše 25d",171,105,0.614,105,105,0,1.0,55,0.52381,50,0.47619
2971,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,39,"Društvo KKS Pragersko, Kolodvorska ul. 9",898,445,0.4955,445,441,4,1.0,195,0.442177,246,0.557823
2972,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,40,"Doberšek Franc, Šarhova ul. 14",530,282,0.5321,282,279,3,1.0,127,0.455197,152,0.544803
2973,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,901,Predčasno glasovanje,0,598,0.0,598,595,3,1.0,195,0.327731,400,0.672269
2974,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,997,Pošta doma OVK,0,60,0.0,60,60,0,1.0,18,0.3,42,0.7
2975,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,9977000,Pošta doma VKVE,0,0,0.0,0,0,0,,0,0.0,0,0.0
2976,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,99799,Pošta doma DVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
2977,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,998,Pošta tujina OVK,0,57,0.0,57,50,7,1.0,26,0.52,24,0.48
2978,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,9987000,Pošta tujina VKVE,0,0,0.0,0,0,0,,0,0.0,0,0.0
2979,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,99899,Pošta tujina DVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
2980,VE 7000 - MARIBOR,VO 7005 - MARIBOR 1,999,Posebni volilni imenik,1140,0,0.0,0,0,0,,0,0.0,0,0.0
2981,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,1,"OŠ M. Konšak, Prekmurska ul. 67",1086,578,0.5322,578,573,5,1.0,238,0.415358,335,0.584642
2982,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,2,"MČ Tezno, Panonska ul. 12",773,357,0.4618,357,348,9,1.0,151,0.433908,197,0.566092
2983,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,3,"MČ Tezno, Panonska ul. 12",887,475,0.5355,475,472,3,1.0,182,0.385593,290,0.614407
2984,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,4,"DCA Marjeta, Marjeta 3a",377,175,0.4642,175,171,4,1.0,101,0.590643,70,0.409357
2985,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,5,"GD Trniče, Trniče 30",377,228,0.6048,228,225,3,1.0,143,0.635556,82,0.364444
2986,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,6,"ŠD Loka Rošnja, Loka 23a",233,126,0.5408,126,125,1,1.0,66,0.528,59,0.472
2987,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,7,"KD Rošnja, Rošnja 40a",320,182,0.5688,182,177,5,1.0,108,0.610169,69,0.389831
2988,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,8,"GD Zlatoličje, Zlatoličje 10",612,312,0.5098,312,307,5,1.0,158,0.514658,149,0.485342
2989,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,9,"ZP Starše, Starše 78c",652,388,0.5951,388,382,6,1.0,213,0.557592,169,0.442408
2990,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,10,"KS Prepolje, Prepolje 62",449,237,0.5278,237,237,0,1.0,122,0.514768,115,0.485232
2991,VE 7000 - MARIBOR,VO 7006 - MARIBOR 2,11,"OŠ Slivnica, Mariborska c. 4",786,354,0.4504,354,353,1,1.0,119,0.33711,234,0.66289
