,Volilna enota,Volilni_Okraj,ID Volišča,Volišče,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,dr. Anže Logar- št. glasov,dr. Anže Logar- odstotek,Nataša Pirc Musar- št. glasov,Nataša Pirc Musar- odstotek
0,VE 1000 - KRANJ,VO 1001 - JESENICE,1,"Vrtec Rateče, Rateče 18, Rateče",542,328,0.6052,328,327,1,1.0,166,0.507645,161,0.492355
1,VE 1000 - KRANJ,VO 1001 - JESENICE,2,"KS Podkoren, Podkoren 15, Podkoren",343,188,0.5481,188,186,2,1.0,99,0.532258,87,0.467742
2,VE 1000 - KRANJ,VO 1001 - JESENICE,3,"Občina Kr.Gora, Kolodvorska ul.1b, Kr. Gora",651,314,0.4823,314,310,4,1.0,142,0.458065,168,0.541935
3,VE 1000 - KRANJ,VO 1001 - JESENICE,4,"OŠ Kr. Gora, Koroška ul. 12, Kr. Gora",627,294,0.4689,294,285,9,1.0,110,0.385965,175,0.614035
4,VE 1000 - KRANJ,VO 1001 - JESENICE,5,"GD Gozd Martuljek, Zg. Rute 85, Gozd Martuljek",588,281,0.4779,281,279,2,1.0,132,0.473118,147,0.526882
5,VE 1000 - KRANJ,VO 1001 - JESENICE,6,"KD Dovje, Dovje 109, Dovje",523,286,0.5468,286,280,6,1.0,132,0.471429,148,0.528571
6,VE 1000 - KRANJ,VO 1001 - JESENICE,7,"OŠ 16.december Mojstrana ,Ul. A. Rabiča 7",1026,554,0.54,554,551,3,1.0,234,0.424682,317,0.575318
7,VE 1000 - KRANJ,VO 1001 - JESENICE,8,"Hiša Pri Požrvu, Zg. Radovna 10, Zg .Radovna",51,31,0.6078,31,31,0,1.0,12,0.387097,19,0.612903
8,VE 1000 - KRANJ,VO 1001 - JESENICE,9,"PGD Hrušica, Hrušica13, Hrušica",231,109,0.4719,109,104,5,1.0,37,0.355769,67,0.644231
9,VE 1000 - KRANJ,VO 1001 - JESENICE,10,"KD Hrušica, Hrušica 55A, Hrušica ",1058,473,0.4471,473,466,7,1.0,185,0.396996,281,0.603004
10,VE 1000 - KRANJ,VO 1001 - JESENICE,11,"KS Pl. pod Golico,Pl. pod Golico 31,Pl.pod Golico",336,190,0.5655,190,187,3,1.0,104,0.55615,83,0.44385
11,VE 1000 - KRANJ,VO 1001 - JESENICE,12,"Hiša Klinar Štefan, Plavški Rovt 14, Plavški Rovt",74,38,0.5135,38,37,1,1.0,23,0.621622,14,0.378378
12,VE 1000 - KRANJ,VO 1001 - JESENICE,13,"DU dr.F.Bergelja,stavba C,Ul. S.Bokala 4,Jesenice",574,212,0.3693,212,206,6,1.0,53,0.257282,153,0.742718
13,VE 1000 - KRANJ,VO 1001 - JESENICE,14,"Zdravstveni dom, C. m.Tita 78, Jesenice",1073,417,0.3886,417,414,3,1.0,134,0.323671,280,0.676329
14,VE 1000 - KRANJ,VO 1001 - JESENICE,15,"OŠ T. Čufar, C. C. Tavčarja 21,  Jesenice",1196,419,0.3503,419,411,8,1.0,113,0.274939,298,0.725061
15,VE 1000 - KRANJ,VO 1001 - JESENICE,16,"JEKO d.o.o., C. m. Tita 51, Jesenice",1211,473,0.3906,473,462,11,1.0,156,0.337662,306,0.662338
16,VE 1000 - KRANJ,VO 1001 - JESENICE,17,"Vrtec A.Ocepek, C. C. Tavčarja 3A, Jesenice",1103,440,0.3989,440,433,7,1.0,105,0.242494,328,0.757506
17,VE 1000 - KRANJ,VO 1001 - JESENICE,18,"KS Sava, Pod gozdom 2, Jesenice",830,353,0.4253,353,353,0,1.0,123,0.348442,230,0.651558
18,VE 1000 - KRANJ,VO 1001 - JESENICE,19,"OŠ P. Voranca, C. T. Tomšiča 5, Jesenice",382,196,0.5131,196,190,6,1.0,77,0.405263,113,0.594737
19,VE 1000 - KRANJ,VO 1001 - JESENICE,20,"OŠ P. Voranca, C.T. Tomšiča 5, Jesenice",502,151,0.3008,151,151,0,1.0,33,0.218543,118,0.781457
20,VE 1000 - KRANJ,VO 1001 - JESENICE,21,"OŠ P. Stražišarja, Ul. V.Kejžarja 35, Jesenice",441,155,0.3515,155,153,2,1.0,38,0.248366,115,0.751634
21,VE 1000 - KRANJ,VO 1001 - JESENICE,22,"Srednja šola, Ul. b. Rupar 2, Jesenice",667,188,0.2819,188,186,2,1.0,41,0.22043,145,0.77957
22,VE 1000 - KRANJ,VO 1001 - JESENICE,23,"Zavod za šport,sejna soba,Ledarska ul.6A,Jesenice",383,125,0.3264,125,122,3,1.0,44,0.360656,78,0.639344
23,VE 1000 - KRANJ,VO 1001 - JESENICE,24,"KS Podmežakla, Mencingerjeva ul.1, Jesenice",739,269,0.364,269,268,1,1.0,69,0.257463,199,0.742537
24,VE 1000 - KRANJ,VO 1001 - JESENICE,25,"GD Javorniški Rovt, Javorniški Rovt 17, Jav. Rovt",238,137,0.5756,137,134,3,1.0,81,0.604478,53,0.395522
25,VE 1000 - KRANJ,VO 1001 - JESENICE,26,"OŠ Koroška Bela, C.talcev 2, Kor.Bela",732,273,0.373,273,269,4,1.0,100,0.371747,169,0.628253
26,VE 1000 - KRANJ,VO 1001 - JESENICE,27,"OŠ Koroška Bela, C.talcev 2, Kor. Bela",946,433,0.4577,433,427,6,1.0,177,0.41452,250,0.58548
27,VE 1000 - KRANJ,VO 1001 - JESENICE,28,"DD J. in A. Pibernik, C.B.Kidriča 37C,Sl.Javornik",626,238,0.3802,238,234,4,1.0,77,0.32906,157,0.67094
28,VE 1000 - KRANJ,VO 1001 - JESENICE,29,"DD J. in A. Pibernik, C.B.Kidriča 37C,Sl.Javornik",928,387,0.417,387,380,7,1.0,133,0.35,247,0.65
29,VE 1000 - KRANJ,VO 1001 - JESENICE,30,"OŠ Blejska Dobrava, Blejska Dobrava 44,Bl.Dobrava",988,543,0.5496,543,537,6,1.0,230,0.428305,307,0.571695
30,VE 1000 - KRANJ,VO 1001 - JESENICE,31,"Orodišče Kočna, bš, Kočna",213,120,0.5634,120,117,3,1.0,40,0.34188,77,0.65812
31,VE 1000 - KRANJ,VO 1001 - JESENICE,32,"TVD Partizan, Žirovnica 63, Žirovnica",540,286,0.5296,286,281,5,1.0,134,0.476868,147,0.523132
32,VE 1000 - KRANJ,VO 1001 - JESENICE,33,"Elektrarna Moste, Moste 41, Moste",561,299,0.533,299,292,7,1.0,136,0.465753,156,0.534247
33,VE 1000 - KRANJ,VO 1001 - JESENICE,34,"Čopova rojstna hiša, Žirovnica 14, Žirovnica",503,271,0.5388,271,269,2,1.0,110,0.408922,159,0.591078
34,VE 1000 - KRANJ,VO 1001 - JESENICE,35,"OŠ Žirovnica, Zabreznica 4, Zabreznica",684,397,0.5804,397,392,5,1.0,180,0.459184,212,0.540816
35,VE 1000 - KRANJ,VO 1001 - JESENICE,36,"Občina Žirovnica, Breznica 3, Breznica",674,383,0.5682,383,381,2,1.0,208,0.545932,173,0.454068
36,VE 1000 - KRANJ,VO 1001 - JESENICE,37,"GD Smokuč, Smokuč 46, Smokuč",726,453,0.624,453,449,4,1.0,193,0.429844,256,0.570156
37,VE 1000 - KRANJ,VO 1001 - JESENICE,901,Predčasno glasovanje,0,1103,0.0,1103,1091,12,1.0,380,0.348304,711,0.651696
38,VE 1000 - KRANJ,VO 1001 - JESENICE,970,OMNIA od: 1001,0,41,0.0,41,41,0,1.0,11,0.268293,30,0.731707
39,VE 1000 - KRANJ,VO 1001 - JESENICE,997,Pošta doma OVK,0,43,0.0,43,41,2,1.0,10,0.243902,31,0.756098
40,VE 1000 - KRANJ,VO 1001 - JESENICE,9971000,Pošta doma VKVE,0,0,0.0,0,0,0,,0,0.0,0,0.0
41,VE 1000 - KRANJ,VO 1001 - JESENICE,99799,Pošta doma DVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
42,VE 1000 - KRANJ,VO 1001 - JESENICE,998,Pošta tujina OVK,0,71,0.0,71,65,6,1.0,20,0.307692,45,0.692308
43,VE 1000 - KRANJ,VO 1001 - JESENICE,9981000,Pošta tujina VKVE,0,0,0.0,0,0,0,,0,0.0,0,0.0
44,VE 1000 - KRANJ,VO 1001 - JESENICE,99899,Pošta tujina DVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
45,VE 1000 - KRANJ,VO 1001 - JESENICE,999,Posebni volilni imenik,2704,0,0.0,0,0,0,,0,0.0,0,0.0
46,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,1,"Gasilski dom Mlino, Mlinska cesta 26, Bled",278,172,0.6187,172,170,2,1.0,95,0.558824,75,0.441176
47,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,2,"Gasilski dom Rečica, Rečiška cesta 4, Bled",728,375,0.5151,375,362,13,1.0,179,0.494475,183,0.505525
48,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,3,"Občina Bled, Cesta svobode 13, Bled",818,351,0.4291,351,342,9,1.0,175,0.511696,167,0.488304
49,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,4,"Osnovna šola Bled, Seliška cesta 3, Bled",735,396,0.5388,396,391,5,1.0,174,0.445013,217,0.554987
50,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,5,"INFOCENTER TRIGLAVSKA ROŽA BLED, Ljubljanska c.27",1402,790,0.5635,790,776,14,1.0,287,0.369845,489,0.630155
51,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,6,"Kulturni dom Bohinjska Bela, Bohinjska Bela  37",515,271,0.5262,271,267,4,1.0,145,0.543071,122,0.456929
52,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,7,"Gostilna Kunavc, Krnica 21, Zg. Gorje",420,244,0.581,244,238,6,1.0,149,0.62605,89,0.37395
53,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,8,"Osnovna šola Gorje, Zg. Gorje 44 a, Zg. Gorje",406,227,0.5591,227,226,1,1.0,125,0.553097,101,0.446903
54,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,9,"Osnovna šola Gorje, Zg. Gorje 44a, Zg. Gorje",377,205,0.5438,205,201,4,1.0,132,0.656716,69,0.343284
55,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,10,"Dom upokojencev Spodnje Gorje, Sp. Gorje 208",784,435,0.5548,435,429,6,1.0,197,0.459207,232,0.540793
56,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,11,"Gasilski dom Podhom, Podhom 15, Zg. Gorje",249,150,0.6024,150,147,3,1.0,74,0.503401,73,0.496599
57,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,12,"Zadružni dom Ribno, Izletniška ul.11, Bled",815,436,0.535,436,426,10,1.0,184,0.431925,242,0.568075
58,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,13,"Natura hotel LUKANC, Selo pri Bledu 8",173,97,0.5607,97,95,2,1.0,53,0.557895,42,0.442105
59,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,14,"Kulturni dom Zasip, Sebenje 6, Bled",833,530,0.6363,530,515,15,1.0,220,0.427184,295,0.572816
60,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,15,"Vrtec Bohinjska Bistrica, Mencingerjeva ulica 4",508,225,0.4429,225,224,1,1.0,92,0.410714,132,0.589286
61,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,16,"Dom Joža Ažmana, Triglavska c. 16, Boh. Bistrica",908,390,0.4295,390,386,4,1.0,147,0.380829,239,0.619171
62,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,17,"Gasilski dom Bitnje, Bitnje 13, Boh. Bistrica",90,60,0.6667,60,58,2,1.0,33,0.568966,25,0.431034
63,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,18,"Gasilski dom Nomenj, Nomenj 23, Boh. Bistrica",135,78,0.5778,78,77,1,1.0,46,0.597403,31,0.402597
64,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,19,"Turistično društvo Bohinj,Ribčev Laz 48, B.jezero",160,86,0.5375,86,84,2,1.0,25,0.297619,59,0.702381
65,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,20,"Gasilski dom Kamnje, Kamnje 26 a, Boh.Bistrica",504,282,0.5595,282,281,1,1.0,136,0.483986,145,0.516014
66,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,21,"Gasilski dom Nemški rovt,Nemški rovt18,B.Bistrica",93,69,0.7419,69,68,1,1.0,42,0.617647,26,0.382353
67,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,22,"Gasilski dom Koprivnik, Koprivnik 3 b, B.Bistrica",186,95,0.5108,95,92,3,1.0,38,0.413043,54,0.586957
68,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,23,"Gasilski dom Gorjuše, Gorjuše 36 a, Boh.Bistrica",120,73,0.6083,73,73,0,1.0,31,0.424658,42,0.575342
69,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,24,"Gasilski dom Srednja vas, Srednja vas 83",362,211,0.5829,211,208,3,1.0,126,0.605769,82,0.394231
70,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,25,"Gasilski dom Bohinj. Češnjica, Bohin. Češnjica 79",443,239,0.5395,239,238,1,1.0,145,0.609244,93,0.390756
71,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,26,"Pri Zdenki Platiša,Podjelje 15 a,Sr.vas v Bohinju",56,27,0.4821,27,26,1,1.0,9,0.346154,17,0.653846
72,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,27,"Kulturni dom Stara Fužina,Stara Fužina 53b,B.jez.",508,303,0.5965,303,296,7,1.0,139,0.469595,157,0.530405
73,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,28,"Pri Milanu Talerju,Studor v Bohinju 5a,Sr.vas v B",90,59,0.6556,59,58,1,1.0,40,0.689655,18,0.310345
74,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,901,Predčasno glasovanje,0,376,0.0,376,375,1,1.0,125,0.333333,250,0.666667
75,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,902,Predčasno glasovanje - Bled,0,487,0.0,487,481,6,1.0,162,0.336798,319,0.663202
76,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,997,Pošta doma OVK,0,36,0.0,36,36,0,1.0,16,0.444444,20,0.555556
77,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,9971000,Pošta doma VKVE,0,0,0.0,0,0,0,,0,0.0,0,0.0
78,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,99799,Pošta doma DVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
79,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,998,Pošta tujina OVK,0,43,0.0,43,38,5,1.0,22,0.578947,16,0.421053
80,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,9981000,Pošta tujina VKVE,0,0,0.0,0,0,0,,0,0.0,0,0.0
81,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,99899,Pošta tujina DVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
82,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,999,Posebni volilni imenik,719,0,0.0,0,0,0,,0,0.0,0,0.0
83,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,1,"Klub upokojencev Begunje,Begunje na Gorenjskem 23",912,452,0.4956,452,449,3,1.0,183,0.407572,266,0.592428
84,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,2,"POSLOVNI PROSTOR ""NO LIMITS"", Zapuže 2a",642,323,0.5031,323,317,6,1.0,155,0.488959,162,0.511041
85,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,3,"GASILSKO ORODIŠČE, pri hiši Konc, Dvorska vas 20a",145,80,0.5517,80,80,0,1.0,38,0.475,42,0.525
86,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,4,"Gasilski dom Slatna, Slatna 15",120,58,0.4833,58,58,0,1.0,27,0.465517,31,0.534483
87,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,5,"Dom krajanov Brezje, Brezje 80 c",751,424,0.5646,424,419,5,1.0,253,0.603819,166,0.396181
88,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,6,"Dom krajanov Kamna Gorica, Kamna Gorica 58",418,240,0.5742,240,237,3,1.0,121,0.510549,116,0.489451
89,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,7,"Avla Sindikalnega doma Kropa, Kropa 3",734,325,0.4428,325,317,8,1.0,131,0.413249,186,0.586751
90,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,8,"KULTURNI DOM LANCOVO, Lancovo 30",785,422,0.5376,422,412,10,1.0,198,0.480583,214,0.519417
91,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,9,"Gasilski dom Hlebce, Hlebce 9",222,108,0.4865,108,108,0,1.0,65,0.601852,43,0.398148
92,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,10,"Turistična kmetija PR GROM, Hraše 17 c",184,107,0.5815,107,106,1,1.0,62,0.584906,44,0.415094
93,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,11,"Stanovanjska hiša pri Čopu, Studenčice 4 a",94,48,0.5106,48,44,4,1.0,21,0.477273,23,0.522727
94,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,12,"Družbeni center Lesce, Alpska cesta 58, Lesce",1168,586,0.5017,586,576,10,1.0,232,0.402778,344,0.597222
95,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,13,"OŠ F.S. Finžgarja Lesce, Begunjska cesta 7, Lesce",1049,553,0.5272,553,550,3,1.0,251,0.456364,299,0.543636
96,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,14,"Dom ŠD Ljubno, Ljubno 114",391,239,0.6113,239,232,7,1.0,127,0.547414,105,0.452586
97,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,15,"Vrtec na Posavcu, Posavec 86",447,264,0.5906,264,258,6,1.0,117,0.453488,141,0.546512
98,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,16,"Kulturni dom Mošnje, Mošnje 41",377,244,0.6472,244,233,11,1.0,108,0.463519,125,0.536481
99,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,17,"GASILSKI DOM PODNART, Podnart 13",841,463,0.5505,463,454,9,1.0,208,0.45815,246,0.54185
100,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,18,"Športni park Rad.,soba PD, Ul.S. Žagarja 2b, Rad.",909,387,0.4257,387,382,5,1.0,133,0.348168,249,0.651832
101,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,19,"Srednja gost.in tur.šola Radovljica,Kranjska c.24",1090,471,0.4321,471,465,6,1.0,185,0.397849,280,0.602151
102,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,20,"Avla Občine Radovljica,Gorenjska c.19, Radovljica",984,339,0.3445,339,336,3,1.0,130,0.386905,206,0.613095
103,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,21,"Ekon.gimnazija in sr.šola Radovljica,Gorenjska 13",376,154,0.4096,154,153,1,1.0,71,0.464052,82,0.535948
104,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,22,"OŠ A. T. LINHARTA, Kranjska cesta 27, Radovljica",1281,640,0.4996,640,629,11,1.0,247,0.392687,382,0.607313
105,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,23,"Stanovanjska hiša Jensterle, Nova vas 45",157,76,0.4841,76,76,0,1.0,22,0.289474,54,0.710526
106,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,24,"Športni park Vrbnje, Vrbnje",390,265,0.6795,265,259,6,1.0,118,0.455598,141,0.544402
107,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,25,"Gasilski dom Srednja Dobrava, Srednja Dobrava 7",388,206,0.5309,206,202,4,1.0,115,0.569307,87,0.430693
108,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,26,"Prostor KS Otok, Zgornji Otok 6 a",149,85,0.5705,85,82,3,1.0,58,0.707317,24,0.292683
109,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,901,Predčasno glasovanje,0,1151,0.0,1151,1144,7,1.0,396,0.346154,748,0.653846
110,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,970,OMNIA od: 1003,0,112,0.0,112,111,1,1.0,51,0.459459,60,0.540541
111,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,997,Pošta doma OVK,0,15,0.0,15,15,0,1.0,8,0.533333,7,0.466667
112,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,9971000,Pošta doma VKVE,0,0,0.0,0,0,0,,0,0.0,0,0.0
113,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,99799,Pošta doma DVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
114,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,998,Pošta tujina OVK,0,22,0.0,22,22,0,1.0,7,0.318182,15,0.681818
115,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,9981000,Pošta tujina VKVE,0,0,0.0,0,0,0,,0,0.0,0,0.0
116,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,99899,Pošta tujina DVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
117,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,999,Posebni volilni imenik,909,0,0.0,0,0,0,,0,0.0,0,0.0
118,VE 1000 - KRANJ,VO 1004 - KRANJ 1,1,"Center, Avla MO Kranj, Slovenski trg 1, Kranj",1839,572,0.311,572,568,4,1.0,215,0.378521,353,0.621479
119,VE 1000 - KRANJ,VO 1004 - KRANJ 1,2,"Čirče, Dom KS, Smledniška c. 136, Kranj",1238,653,0.5275,653,650,3,1.0,332,0.510769,318,0.489231
120,VE 1000 - KRANJ,VO 1004 - KRANJ 1,3,"Klanec II, Dom krajanov, Jezerska c. 41, Kranj",815,290,0.3558,290,283,7,1.0,81,0.286219,202,0.713781
121,VE 1000 - KRANJ,VO 1004 - KRANJ 1,4,"Br. Smuk I,OŠ M. Čopa, Ul. T. Vidmarja 1,Kranj",1110,495,0.4459,495,491,4,1.0,141,0.287169,350,0.712831
122,VE 1000 - KRANJ,VO 1004 - KRANJ 1,5,"Br. Smuk II,OŠ M. Čopa, Ul. T. Vidmarja 1,Kranj",1179,524,0.4444,524,516,8,1.0,156,0.302326,360,0.697674
123,VE 1000 - KRANJ,VO 1004 - KRANJ 1,6,"Klanec I, Dom krajanov, Jezerska c. 41, Kranj",1015,528,0.5202,528,516,12,1.0,190,0.368217,326,0.631783
124,VE 1000 - KRANJ,VO 1004 - KRANJ 1,7,"Primskovo I, Dom krajanov, Jezerska c. 41, Kranj",986,545,0.5527,545,533,12,1.0,242,0.454034,291,0.545966
125,VE 1000 - KRANJ,VO 1004 - KRANJ 1,8,"Primskovo II, Dom krajanov, Jezerska c. 41, Kranj",979,414,0.4229,414,412,2,1.0,201,0.487864,211,0.512136
126,VE 1000 - KRANJ,VO 1004 - KRANJ 1,9,"Vodovodni stolp III,OŠ S.Jenko,Ul.XXXI.divizije7a",1399,593,0.4239,593,587,6,1.0,158,0.269165,429,0.730835
127,VE 1000 - KRANJ,VO 1004 - KRANJ 1,10,"Vodovodni stolp II,OŠ S.Jenko,Ul.XXXI.divizije 7a",1418,651,0.4591,651,641,10,1.0,198,0.308892,443,0.691108
128,VE 1000 - KRANJ,VO 1004 - KRANJ 1,11,"Vodovodni stolp I,OŠ S.Jenko,Ul. XXXI.divizije 7a",1304,657,0.5038,657,643,14,1.0,273,0.424572,370,0.575428
129,VE 1000 - KRANJ,VO 1004 - KRANJ 1,12,"Kokrica II, Kulturni dom Kokrica, C. na Brdo 30",1584,849,0.536,849,838,11,1.0,492,0.587112,346,0.412888
130,VE 1000 - KRANJ,VO 1004 - KRANJ 1,13,"Kokrica I, Kulturni dom Kokrica, C. na Brdo 30",1334,750,0.5622,750,740,10,1.0,334,0.451351,406,0.548649
131,VE 1000 - KRANJ,VO 1004 - KRANJ 1,14,"Predoslje, Kulturni dom, Predoslje 34, Kranj",925,549,0.5935,549,542,7,1.0,323,0.595941,219,0.404059
132,VE 1000 - KRANJ,VO 1004 - KRANJ 1,16,"Britof, Gasilski dom, Britof 316, Kranj",1808,1050,0.5808,1050,1039,11,1.0,470,0.452358,569,0.547642
133,VE 1000 - KRANJ,VO 1004 - KRANJ 1,901,Predčasno glasovanje,0,1597,0.0,1597,1592,5,1.0,533,0.334799,1059,0.665201
134,VE 1000 - KRANJ,VO 1004 - KRANJ 1,970,OMNIA od: 1004,0,156,0.0,156,154,2,1.0,66,0.428571,88,0.571429
135,VE 1000 - KRANJ,VO 1004 - KRANJ 1,997,Pošta doma OVK,0,40,0.0,40,40,0,1.0,18,0.45,22,0.55
136,VE 1000 - KRANJ,VO 1004 - KRANJ 1,9971000,Pošta doma VKVE,0,0,0.0,0,0,0,,0,0.0,0,0.0
137,VE 1000 - KRANJ,VO 1004 - KRANJ 1,99799,Pošta doma DVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
138,VE 1000 - KRANJ,VO 1004 - KRANJ 1,998,Pošta tujina OVK,0,54,0.0,53,49,4,1.0,30,0.612245,19,0.387755
139,VE 1000 - KRANJ,VO 1004 - KRANJ 1,9981000,Pošta tujina VKVE,0,0,0.0,0,0,0,,0,0.0,0,0.0
140,VE 1000 - KRANJ,VO 1004 - KRANJ 1,99899,Pošta tujina DVK,0,0,0.0,0,0,0,,0,0.0,0,0.0
141,VE 1000 - KRANJ,VO 1004 - KRANJ 1,999,Posebni volilni imenik,1458,0,0.0,0,0,0,,0,0.0,0,0.0
142,VE 1000 - KRANJ,VO 1005 - KRANJ 2,1,"Huje II,OŠ Jakob Aljaž, Ul.Tončka Dežmana 1,Kranj",1374,561,0.4083,561,558,3,1.0,153,0.274194,405,0.725806
143,VE 1000 - KRANJ,VO 1005 - KRANJ 2,2,"Huje I, OŠ Stane Žagar, C. 1.maja 10 a, Kranj",542,245,0.452,245,241,4,1.0,88,0.365145,153,0.634855
144,VE 1000 - KRANJ,VO 1005 - KRANJ 2,3,"Planina II,OŠ Stane Žagar, C. 1. maja 10 a, Kranj",1396,617,0.442,617,609,8,1.0,171,0.280788,438,0.719212
145,VE 1000 - KRANJ,VO 1005 - KRANJ 2,4,"Planina I, OŠ Stane Žagar, C. 1. maja 10 a, Kranj",1442,597,0.414,597,585,12,1.0,183,0.312821,402,0.687179
146,VE 1000 - KRANJ,VO 1005 - KRANJ 2,5,"Zlato polje I,OŠ F.Prešeren, Kidričeva c.49,Kranj",894,359,0.4016,359,352,7,1.0,107,0.303977,245,0.696023
147,VE 1000 - KRANJ,VO 1005 - KRANJ 2,6,"Zlato Polje II,OŠ F.Prešeren,Kidričeva c.49,Kranj",1250,522,0.4176,522,514,8,1.0,150,0.291829,364,0.708171
148,VE 1000 - KRANJ,VO 1005 - KRANJ 2,7,"Struževo, Dom KS, Struževo 14, Kranj",525,270,0.5143,270,266,4,1.0,121,0.454887,145,0.545113
149,VE 1000 - KRANJ,VO 1005 - KRANJ 2,8,"Gorenja Sava, SSC, Gorenjesavska c.35 a, Kranj",299,142,0.4749,142,139,3,1.0,61,0.438849,78,0.561151
150,VE 1000 - KRANJ,VO 1005 - KRANJ 2,9,"Stražišče I,Šmartinski dom,Škofjeloška c.18,Kranj",1686,769,0.4561,769,753,16,1.0,355,0.471448,398,0.528552
151,VE 1000 - KRANJ,VO 1005 - KRANJ 2,10,"Stražišče II,Šmartinski dom,Škofjeloška c.18,Kr.",1655,747,0.4514,747,738,9,1.0,353,0.47832,385,0.52168
