Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,8,"DK KS Gotna vas, Jedinščica 58, 8000 Novo mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,9,"OŠ Mali Slatnik, Mali Slatnik 7, 8000 Novo mesto",45.8091732,15.2052878
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,10,"GD Križe, Križe 27, 8000 Novo mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,11,"DK Regrča vas, Regrča vas 101, 8000 Novo  mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,12,"GD Straža, Novomeška c. 1, 8351 Straža",45.78,15.0728
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,13,"GD Dolenje Kamence,Dol. Kamence 3,8000 Novo mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,14,"KC J. Trdine, Novi trg 5, 8000 Novo mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,15,"Vrtec Ciciban I, Ragovska ul. 18, 8000 Novo mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,17,"OŠ Bršljin I, Kočevarjeva ul. 40, 8000 Novo mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,18,"Vrtec Ciciban II, Ragovska ul. 18,8000 Novo mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,19,"DC, Seidlova c. 28, 8000 Novo mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,20,"Gimnazija Novo mesto,Seidlova c.9,8000 Novo mesto",45.8075349,15.1639693
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,22,"DK KS Žabja vas, Šentjernejska c. 10, 8000 NM",,
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,23,"OŠ Grm, Trdinova ul. 7, 8000 Novo mesto",45.7990388,15.1720002
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,24,"OŠ Bršljin II, Kočevarjeva ul. 40,8000 Novo mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,25,"Vrtec Žabjak, Brezje 8, 8000 Novo mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,26,"MD Drganja sela, Drganja sela 3, 8351 Straža",45.78,15.0728
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,27,"GD Otočec, Šentpeter 1, 8222 Otočec",45.8675,15.2733
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,28,"Matjaževa domačija, Paha 3, 8222 Otočec ",45.8675,15.2733
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,29,"KD Straža, Pod Srobotnikom 4, 8351 Straža",45.78,15.0728
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,30,"Stara OŠ, Prečna  8, 8000 Novo mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,31,"MD Prapreče, Prapreče 22, 8351 Straža",45.78,15.0728
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,32,"OŠ Vavta vas, Vavta vas 1, 8351 Straža",45.7828918,15.0821532
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,33,"MD Rumanja vas, Rumanja vas bš, 8351 Straža",45.78,15.0728
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,34,"Inpro d.o.o. Novo mesto, Loke 4, 8351 Straža",45.78,15.0728
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,35,"OŠ Šmihel, Šmihel 2, 8000 Novo mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6003 - NOVO MESTO 2,36,"GD Ždinja vas, Ždinja vas 14, 8000 Novo mesto",45.8363,15.1899
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,1,"GD ČATEŽ, Čatež 19, 8212 VELIKA LOKA",45.9289,14.9678
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,2,"Glivar Darko, Korita 6, 8211 Dobrnič",45.875,14.98
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,3,"Smolič Pavle, Dobrava 22, 8211 Dobrnič",45.875,14.98
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,4,"KD Dobrnič, Dobrnič 9, 8211 Dobrnič",45.875,14.98
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,5,"OŠ Dol. Nemška vas I.,Dol.Nem.vas 21,8210 Trebnje",45.9042,15.0217
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,6,"OŠ Dol.Nemška vas II.,Dol.Nem.vas 21, 8210Trebnje",45.90417,15.02167
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,7,"Novi GD Lukovek, Lukovek 52, 8210 Trebnje",45.9042,15.0217
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,8,"KS Knežja vas (vaško središče), Dol. Selce 21",46.51667,15.83333
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,9,"GD Ševnica, Ševnica 22, 8233 Mirna",45.9553,15.0619
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,11,"OŠ Mirna I., Cesta na Fužine 1, 8233 Mirna",45.9553,15.0619
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,12,"Dom Partizan Mirna, Sokolska ulica 2, 8233 Mirna",45.9553,15.0619
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,13,"OŠ Mirna II., Cesta na Fužine 1, 8233 Mirna",45.9553,15.0619
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,14,"GD Selo pri Mirni, Sajenice 12, 8233 Mirna",45.9553,15.0619
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,16,"KUČIČ DANIJEL, Gor. Laknice 15a, 8230 MOKRONOG",45.9342,15.1408
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,17,"KD Mokronog, Pod gradom 2, 8230 Mokronog",45.9342,15.1408
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,18,"GD Mokronog, Florijanska c. 33, 8230 Mokronog",45.9342,15.1408
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,19,"GD Beli Grič, Beli Grič 19, 8230 Mokronog",45.9342,15.1408
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,20,"GD Račje selo, Račjo selo 20, 8210 Trebnje",45.9042,15.0217
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,21,"GD Sela Šumberk, Sela pri Šum. 32, 8360 Žužemberk",45.8339,14.9292
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,22,"GD Log, Log pri Žužemberku 6, 8360 Žužemberk",45.8339,14.9292
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,23,"Prost. PGD Vrhe(bivša šola),Gor.Vrh 1,8211Dobrnič",45.875,14.98
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,24,"KD Šentlovrenc, Šentlovrenc 15a, 8212 Velika Loka",45.9289,14.9678
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,25,"GD Dol. Jesenice, Dol.Jesenice 17,8232 Šentrupert",45.9778,15.0956
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,26,"INFOTOČKA DEŽELE KOZOLCEV, Šentrupert 5",45.97778,15.09556
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,27,"OŠ ŠENTRUPERT I., Šentrupert 57, 8232 Šentrupert",45.9778,15.0956
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,28,"OŠ ŠENTRUPERT II., Šentrupert 57, 8232 Šentrupert",45.9778,15.0956
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,29,"Gostilna Mišič,Štefan pri Trebnjem 10,8210Trebnje",45.90989,14.98648
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,30,"Večnamenski dom Trebelno,Trebelno 19,8231Trebelno",45.91667,15.15
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,31,"Žagar Štefan, Češnjice 35, 8231 Trebelno",45.9167,15.15
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,32,"GD Štatenberk, Ornuška vas 11, 8231 Trebelno",45.9167,15.15
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,33,"GD Velika Strmica,Velika Strmica 16,8231 Trebelno",45.9167,15.15
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,34,"KULT. DOM TREBNJE I., Baragov trg 6, 8210 Trebnje",45.9042,15.0217
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,35,"KULT. DOM TREBNJE II., Baragov trg 6, 8210 Trebnje",45.9042,15.0217
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,36,"DSO TREBNJE I., Stari trg 63, 8210 Trebnje",45.9042,15.0217
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,37,"DSO TREBNJE II., Stari trg 63, 8210 Trebnje",45.9042,15.0217
VE 6000 - NOVO MESTO,VO 6004 - TREBNJE,38,"GD Vrhtrebnje, Vrhtrebnje 24, 8210 Trebnje",45.9042,15.0217
