Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,4,"OŠ Trnovo, Karunova ul. 14a, Ljubljana",46.0414147,14.500657
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,5,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.0333347,14.5215517
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,6,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.0333347,14.5215517
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,8,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.0333347,14.5215517
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,9,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.0333347,14.5215517
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,10,"OŠ Livada, Ul. Dušana Kraigherja 2, Ljubljana",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,11,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.0333347,14.5215517
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,12,"OŠ Livada, Ul. Dušana Kraigherja 2, Ljubljana",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,13,"Podružnična šola Lavrica, Kamnikarjeva ul. 6",46.0006491,14.5565309
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,14,"GD Orle, Orle 39, Škofljica",45.98333,14.57667
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,15,"Podružnična šola Lavrica, Kamnikarjeva ul. 6",46.0006491,14.5565309
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,16,"OŠ Livada, Ul. Dušana Kraigherja 2, Ljubljana",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,17,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.0333347,14.5215517
VE 3000 - LJUBLJANA CENTER,VO 3004 - LJUBLJANA VIČ-RUDNIK 2,18,"OŠ Oskarja Kovačiča, Ob dolenjski železnici 48",46.0333347,14.5215517
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,1,"DSO, Enota Kolezija, Kopališka ul. 10, Ljubljana",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,2,"OŠ Kolezija, C. v Mestni log 46, Ljubljana",46.0383927,14.493519
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,3,"Dijaški dom Vič, Gerbičeva ul. 53, Ljubljana",46.0384168,14.4883165
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,4,"OŠ Vič, Tržaška c. 74, Ljubljana",46.0429745,14.4796375
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,5,"OŠ Vič, Tržaška c. 74, Ljubljana",46.0429745,14.4796375
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,6,"OŠ Kolezija, Splitska ul. 13, Ljubljana",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,7,"Gasilski dom Lj.-Trnovo, C. v Mestni log 31",46.01667,14.36667
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,8,"Biotehnični izobraž. center, C. v Mestni log 47",46.01667,14.36667
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,9,"JP VOKA SNAGA d.o.o., C. dveh cesarjev 111",,
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,10,"Prostori MOL, Tbilisijska ul. 22a, Ljubljana",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,11,"Prostori MOL, Tbilisijska ul. 22a, Ljubljana",46.05108,14.50513
VE 3000 - LJUBLJANA CENTER,VO 3005 - LJUBLJANA VIČ-RUDNIK 3,12,"OŠ Vič, Abramova ul. 26, Ljubljana",46.0429365,14.4716782
