Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,10,"Podružnična šola Lipoglav, Mali Lipoglav 8",45.9929114,14.6431865
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,11,"OŠ Zalog, Cerutova ul. 7",46.0625337,14.6153699
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,12,"OŠ Zalog, Cerutova ul. 7",46.0625337,14.6153699
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,14,"Center Zalog, Zaloška c. 267",,
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,15,"Center Zalog, Zaloška c. 267",,
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,16,"Vaški dom, Podgrajska c. 6e",,
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,17,"PGD Zgornji Kašelj, Kašeljska c. 95",46.0515459,14.6024769
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,18,"OŠ Kašelj, Kašeljska c. 119a",,
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,19,"OŠ Kašelj, Kašeljska c. 119a",,
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,20,"OŠ Zadobrova, Zadobrovška c. 35",46.0655695,14.5817428
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,21,"OŠ Sostro, C. II. grupe odredov 47",46.0355257,14.5993726
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,22,"OŠ Kašelj, Kašeljska c. 119a",,
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,23,"SH Podlipoglav, Podlipoglav 19",46.01667,14.63333
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,24,"OŠ Sostro, C. II. grupe odredov 47",46.0355257,14.5993726
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,25,"OŠ Sostro, C. II. grupe odredov 47",46.0355257,14.5993726
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,26,"ZD Zadvor, C. II. grupe odredov 43",,
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,27,"PGD Bizovik, Bizoviška c. 15a",,
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,28,"Prostori MOL (Polje), Zaloška c. 160",,
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,29,"OŠ Polje, Zaloška c. 189",,
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,30,"OŠ Polje, Zaloška c. 189",,
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,31,"PGD Slape - Polje, Slape 50",46.0506848,14.5786621
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,32,"Podružnična šola Hrušica, Pot do šole 1",46.0449483,14.5604656
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4005 - LJUBLJANA MOSTE-POLJE 1,33,"Prostori MOL (Polje), Zaloška c. 160",,
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4006 - LJUBLJANA MOSTE-POLJE 2,1,"OŠ Karla Destovnika Kajuha, Jakčeva ul. 42",46.0544168,14.5459949
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4006 - LJUBLJANA MOSTE-POLJE 2,2,"OŠ Karla Destovnika Kajuha, Jakčeva ul. 42",46.0544168,14.5459949
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4006 - LJUBLJANA MOSTE-POLJE 2,3,"OŠ Karla Destovnika Kajuha, Jakčeva ul. 42",46.0544168,14.5459949
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4006 - LJUBLJANA MOSTE-POLJE 2,4,"OŠ Karla Destovnika Kajuha, Jakčeva ul. 42",46.0544168,14.5459949
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4006 - LJUBLJANA MOSTE-POLJE 2,5,"OŠ Božidarja Jakca, Nusdorferjeva ul. 10",46.0488099,14.5468944
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4006 - LJUBLJANA MOSTE-POLJE 2,7,"OŠ Božidarja Jakca, Nusdorferjeva ul. 10",46.0488099,14.5468944
