Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,54,"Večnamenski objekt, Lokovec 205a",,
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,55,"Center kulturne dediščine, Lokovec 82",45.90167,13.87972
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,56,"Bivša OŠ, Lokve 30",45.60167,15.17389
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,57,"Sedež KS, Osek 46f",,
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,58,"Šola glasbe in umetnosti Ozlinka, Ozeljan 49b",,
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,59,"Vrtec Prvačina, Prvačina 48a",,
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,60,"Župnišče Ravnica, Ravnica 12",45.98167,13.69833
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,61,"OŠ Renče, Trg 31",45.8893042,13.6718628
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,62,"OŠ Renče, Trg 31",45.8893042,13.6718628
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,63,"Kulturni dom, Šempas 29",45.9280837,13.7471324
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,64,"Sedež KS, Trnovo 37",46.02412,14.48891
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,1,OŠ Bukovica - Bukovica 44,46.1689531,14.5153332
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,2,"KS Kromberk-Loke, Ul. Vinka Vodopivca 90",,
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,3,Kmetijsko gozdarski zavod  - Pri hrastu 18,,
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,4,"Goriška knjižnica Franceta Bevka,Trg E.Kardelja 4",,
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,5,"Mestna občina NG-sejna dvorana, Trg E. Kardelja 1",,
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,6,OŠ Kozara - Kidričeva ul. 35,45.952008,13.6468656
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,7,"OŠ Frana Erjavca, Kidričeva ul. 36",45.9521857,13.6456192
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,8,"OŠ Milojke Štrukelj, Delpinova ul. 7",45.9570466,13.6451002
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,9,"Zveza kulturnih društev, Ul. Gradnikove br. 25",,
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,10,"Mestna občina NG-Sejna dvorana, Trg E. Kardelja 1",,
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,11,OŠ Ledine - Cankarjeva ul. 23,45.9570466,13.6451002
