Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 1000 - KRANJ,VO 1011 - IDRIJA,55,"OŠ Zavratec, Zavratec 1",45.99,14.13194
VE 1000 - KRANJ,VO 1011 - IDRIJA,56,"OŠ Godovič, Godovič 35b",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,1,"Turistična pisarna na Logu v Trenti, Trenta 41",46.38333,13.75
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,2,"OŠ Soča, Soča 28",46.3427044,13.6682396
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,3,"Prostor KS, Kal-Koritnica 35",46.3375,13.58417
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,4,"OŠ Bovec, Trg golobarskih žrtev 17",46.338771,13.5528319
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,5,"Kulturni dom Bovec, Ledina 6",46.03333,15.28333
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,8,"Kulturni dom, Log pod Mangartom 54",46.40194,13.59694
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,9,"Stara mlekarna, Čezsoča 94",46.31119,13.56849
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,11,"OŠ Žaga, Žaga 29",46.30767,13.44989
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,12,"Prostor PGD Srpenica, Srpenica 40a",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,13,"Bivša mlekarna, Trnovo ob Soči 41",46.28003,13.55151
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,14,"Večnamenski objekt, Logje 4",46.23528,13.4375
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,15,"Gasilski dom, Breginj 92",46.26472,13.42778
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,16,"Večnamenski objekt, Sedlo 29",46.25472,13.44083
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,18,"Bivši bar ""Kuzma"", Borjana 19",46.25917,13.4775
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,19,"Prostor KS, Podbela bš",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,21,"Mlekarna, Potoki 6",46.43174,14.12959
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,22,"Večnamenski objekt, Staro selo 54",46.24467,13.53299
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,23,"Dom A. Manfrede Kobarid, Gregorčičeva ul. 20",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,24,"KD Kobarid, Stresova ul. 2",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,25,"Prostor ob šp. igrišču, Sužid bš",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,26,"Mlekarna, Svino 23",46.24083,13.56972
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,27,"Prostor KS, Idrsko 22a",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,28,"Bivša OŠ, Livek 11",46.20444,13.60222
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,30,"Garaža (Grosar), Perati 11",46.20384,13.59175
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,32,"Gasilski dom, Drežnica 15a",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,33,"Prostor KS, Koseč bš",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,34,"Mlekarna, Drežniške Ravne 4",46.27111,13.61083
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,35,"Mlekarna, Magozd 16",46.28423,13.56296
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,36,"OŠ Smast, Smast 13",46.23365,13.61464
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,37,"Družbeni dom, Ladra 43",46.23709,13.60595
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,38,"Prostor KS, Libušnje 7",46.22666,13.62584
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,39,"Garaža PGD Vrsno, Vrsno 37",46.22455,13.64455
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,40,"St. hiša (Manfreda), Krn 8",46.26541,13.68044
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,41,"Prostori KS, Kamno 29 a",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,42,"Prostor KS, Volarje 33",46.20991,13.67165
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,43,"Mlekarna, Gabrje 9",45.7825,15.27556
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,44,"Mlekarna, Dolje 7",46.19531,13.71291
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,45,"Prostor KS, Zatolmin 1",46.19516,13.72733
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,46,"GŠ Tolmin (vhod iz Preš. ul.), Prešernova ul. 4a",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,47,"Knjižnica Tolmin, Tumov drevored 6",46.1832459,13.7316908
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,48,"VDC Tolmin, Rutarjeva ul. 18",46.1843757,13.7378
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,49,"Rdeči križ Tolmin, Brunov drevored 23",46.1856675,13.7300565
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,50,"Mlekarna, Žabče 30",46.20851,13.76669
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,55,"Prostor LD, Poljubinj 62",46.18427,13.76611
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,57,"Kulturni dom, Ljubinj 12",46.19519,13.7907
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,58,"Stara OŠ Volče, Volče 25",46.1754,13.70785
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,59,"Družbeni prostor, Čiginj 45",46.16248,13.69851
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,61,"OŠ Most na Soči, Most na Soči 18a",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,63,"Garaža (Kragelj), Sela pri Volčah 6a",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,64,"Mlekarna, Modrejce 29 a",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,65,"Garaža (Kofol), Modrej 3",46.15925,13.75449
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,66,"Čakalnica na ŽP, Postaja 10",46.14038,13.75936
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,67,"Prostor KS, Idrija pri Bači 51",46.14,13.77972
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,69,"Bivši ""Bača bar"",  Bača pri Modreju 30",46.15381,13.77197
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,70,"Bivša OŠ, Kanalski Lom 17a",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,71,"Garaža - bivši obrat, Tolminski Lom 11b",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,72,"Dom C. Kosmača, Slap ob Idrijci 28 a",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,73,"Prostor KS, Dolenja Trebuša 70",46.09139,13.84028
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,75,"Izletniška kmetija Žerovc, Gorenja Trebuša 40b",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,76,"Dvorana - telovadnica, Šentviška Gora 19",46.12157,13.8669
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,77,"Mlekarna, Prapetno Brdo 35",46.10917,13.84722
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,78,"Prostor KS, Pečine 30",46.12367,13.8325
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,79,"Gasilski dom, Ponikve 26",45.86,14.65306
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,80,"Prostor PGD Kneža, Kneža 78",46.16944,13.835
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,81,"Tovarna Klavže- prostor KS, Klavže 21a",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,82,"Mlekarna, Logaršče 33",46.15125,13.80466
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,84,"Kotiček, Podmelec bš",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,86,"Dvorana KS, Grahovo ob Bači 47",46.15389,13.86194
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,87,"Prostor bivše trgovine, Koritnica 50",45.62045,14.33257
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,88,"Prostor KS, Rut 29",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,89,"Prostor KS, Hudajužna 22c",,
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,90,"Prostor KS, Stržišče 28",46.0239,15.36819
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,91,"Prostor LD, Podbrdo 39",46.21,13.96444
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,92,"Gasilski dom, Podbrdo 8",46.2150417,13.9757427
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,93,"Stanovanjska skupina, Petrovo Brdo 5",46.21667,14.0
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,94,"Mlekarna, Bača pri Podbrdu 12",46.22389,13.97111
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,97,"Dom krajanov (staro župnišče), Kred 36",46.25471,13.51722
VE 2000 - POSTOJNA,VO 2001 - TOLMIN,98,"Ap. hiša ""Cviter"", Log Čezsoški 8",46.31063,13.4901
VE 2000 - POSTOJNA,VO 2002 - PIRAN,1,"OŠ Lucija I, Fazan 1, 6320 Portorož",45.5143,13.5921
VE 2000 - POSTOJNA,VO 2002 - PIRAN,2,"OŠ Lucija II,  Fazan 1, 6320 Portorož",45.5143,13.5921
VE 2000 - POSTOJNA,VO 2002 - PIRAN,3,"Center starejših občanov Lucija I, Seča 197B, 6320",,
VE 2000 - POSTOJNA,VO 2002 - PIRAN,4,"Center starejših občanov Lucija II, Seča 197B,6320",,
VE 2000 - POSTOJNA,VO 2002 - PIRAN,5,"Avditorij Portorož, Senčna pot 8A, 6320 Portorož",45.5146173,13.5968043
VE 2000 - POSTOJNA,VO 2002 - PIRAN,6,"Dom krajanov Beli Križ, Belokriška c.56, 6320",,
VE 2000 - POSTOJNA,VO 2002 - PIRAN,7,"Glasbena šola Piran, Levstikova ul. 8, 6330 Piran",45.4767,13.6233
VE 2000 - POSTOJNA,VO 2002 - PIRAN,8,"Palača Apollonio vhod iz Župančičeve ul bš, Piran",45.52778,13.57056
VE 2000 - POSTOJNA,VO 2002 - PIRAN,9,"KS Strunjan, Strunjan 28, 6320 Portorož",45.5143,13.5921
VE 2000 - POSTOJNA,VO 2002 - PIRAN,10,"OŠ Sečovlje, Sečovlje 78, 6333 Sečovlje",45.4767,13.6233
VE 2000 - POSTOJNA,VO 2002 - PIRAN,11,"OŠ Sv. Peter, Sv. Peter 13, 6333 Sečovlje",45.4767,13.6233
VE 2000 - POSTOJNA,VO 2002 - PIRAN,12,"Dom Zmaga, Nova vas nad Dragonjo 50, 6333 Sečovlje",45.4767,13.6233
VE 2000 - POSTOJNA,VO 2002 - PIRAN,13,"KD B. Jakca, Padna 11, 6333 Sečovlje",45.4767,13.6233
VE 2000 - POSTOJNA,VO 2003 - IZOLA,1,"Dvorana Rdečega križa, Ul. ob starem zidovju 15a",,
VE 2000 - POSTOJNA,VO 2003 - IZOLA,2,"Palača Manzioli, Manziolijev trg 5",,
VE 2000 - POSTOJNA,VO 2003 - IZOLA,3,"Športna dvorana, Kraška  ul. 1a",,
VE 2000 - POSTOJNA,VO 2003 - IZOLA,4,"Kulturni dom, Ul.okt. revolucije 1",,
VE 2000 - POSTOJNA,VO 2003 - IZOLA,5,"Mestna knjižnica Izola, Ul.osvobodilne fronte 15",45.5319745,13.66178
VE 2000 - POSTOJNA,VO 2003 - IZOLA,6,"OŠ Livade, Livade 7",45.5299056,13.6591806
VE 2000 - POSTOJNA,VO 2003 - IZOLA,7,"OŠ Livade - prizidek šole, Livade 7",,
