Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 8000 - PTUJ,VO 8001 - LENDAVA,44,"Dobrovnik II, DOŠ Dobrovnik,Dobrovnik 266j",,
VE 8000 - PTUJ,VO 8001 - LENDAVA,45,"Benica, zadružni dom, Pince Marof 30",46.49009,16.5408
VE 8000 - PTUJ,VO 8001 - LENDAVA,46,"Črenšovci II,Kulturna dvorana, Ul. Prekm. čete 23",,
VE 8000 - PTUJ,VO 8001 - LENDAVA,47,"Turnišče II,OŠ Turnišče,Turnišče,Prešernova ul.2",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,1,"Šola Runeč, Runeč 26",46.46361,16.13
VE 8000 - PTUJ,VO 8002 - ORMOŽ,3,"Mlakar Franc, Pavlovski Vrh 1",46.44018,16.18236
VE 8000 - PTUJ,VO 8002 - ORMOŽ,4,"KS Ivanjkovci, Ivanjkovci 1",46.4730947,16.1443704
VE 8000 - PTUJ,VO 8002 - ORMOŽ,5,"Petek Nives, Cerovec Stanka Vraza 31",46.47781,16.16422
VE 8000 - PTUJ,VO 8002 - ORMOŽ,6,"GD Žerovinci, Žerovinci 7",46.48546,16.15388
VE 8000 - PTUJ,VO 8002 - ORMOŽ,7,"Trstenjak Marija, Lahonci 1",46.47975,16.1282
VE 8000 - PTUJ,VO 8002 - ORMOŽ,8,"Gorjak Zorica, Stanovno 47",46.46326,16.13669
VE 8000 - PTUJ,VO 8002 - ORMOŽ,9,"GD Trnovci, Trnovci 4",46.50222,16.04222
VE 8000 - PTUJ,VO 8002 - ORMOŽ,10,"GD Ključarovci, Spodnji Ključarovci 13",46.4511,16.11115
VE 8000 - PTUJ,VO 8002 - ORMOŽ,11,"GD Pršetinci, Pršetinci 24",46.49192,16.10664
VE 8000 - PTUJ,VO 8002 - ORMOŽ,12,"GD Koračice, Koračice 15",46.49073,16.08419
VE 8000 - PTUJ,VO 8002 - ORMOŽ,13,"DK Sveti Tomaž, Sveti Tomaž 44",46.48417,16.08361
VE 8000 - PTUJ,VO 8002 - ORMOŽ,14,"GD Savci, Savci 68",46.4729469,16.0467814
VE 8000 - PTUJ,VO 8002 - ORMOŽ,15,"GD Vitan, Vitan 4",46.4413,16.2377
VE 8000 - PTUJ,VO 8002 - ORMOŽ,16,"KS Kog, Kog 7",46.47167,16.25083
VE 8000 - PTUJ,VO 8002 - ORMOŽ,17,"Balažic Marijana, Gomila pri Kogu 25",46.47659,16.24173
VE 8000 - PTUJ,VO 8002 - ORMOŽ,18,"Janežič Avgust, Veliki Brebrovnik 41",46.44911,16.19337
VE 8000 - PTUJ,VO 8002 - ORMOŽ,19,"GVD Hermanci, Hermanci 55a",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,20,"DK Miklavž pri Ormožu, Miklavž pri Ormožu 35",46.46,16.21361
VE 8000 - PTUJ,VO 8002 - ORMOŽ,21,"GD Središče ob Dravi, Trg talcev 3",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,22,"OŠ Središče ob Dravi, Slovenska c. 22",46.3959458,16.2654693
VE 8000 - PTUJ,VO 8002 - ORMOŽ,23,"ČD Grabe, Grabe 31",46.39706,16.25569
VE 8000 - PTUJ,VO 8002 - ORMOŽ,24,"Brunarica RD Godeninci, Godeninci bš",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,25,"DK Obrež, Obrež 85",46.39972,16.23194
VE 8000 - PTUJ,VO 8002 - ORMOŽ,26,"Zajc Jože, Šalovci 12",46.825,16.29806
VE 8000 - PTUJ,VO 8002 - ORMOŽ,27,"VD Lešnica, Lešnica 20a",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,28,"Bogša Ivan, Litmerk 15b",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,29,"VD Dobrava, Dobrava 17b",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,30,"GD Hardek, Hardek 15",46.41464,16.15969
VE 8000 - PTUJ,VO 8002 - ORMOŽ,31,"VD Pavlovci, Pavlovci 15e",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,32,"Stara šola Hum, Hum pri Ormožu 1",46.41778,16.20056
VE 8000 - PTUJ,VO 8002 - ORMOŽ,33,"GD Loperšice, Loperšice 3",46.4,16.2
VE 8000 - PTUJ,VO 8002 - ORMOŽ,34,"VD Frankovci, Frankovci 26a",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,35,"VD Pušenci, Pušenci 27a",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,36,"DD Ormož, Ljutomerska c. 30",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,37,"DK Ormož, Skolibrova ul. 17",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,38,"Dom MZU Ormož, Ul. dr. Hrovata 8",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,39,"Leben Miran, Hajndl 1",46.41566,16.12555
VE 8000 - PTUJ,VO 8002 - ORMOŽ,40,"GD Velika Nedelja, Velika Nedelja 8a",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,41,"GD Senešci, Senešci 9",46.42747,16.09258
VE 8000 - PTUJ,VO 8002 - ORMOŽ,42,"Cimerman Janko, Šardinje 54a",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,43,"GD Trgovišče, Trgovišče 31",46.41611,16.09611
VE 8000 - PTUJ,VO 8002 - ORMOŽ,44,"Bombekova hiša, Velika Nedelja 10",46.41778,16.10972
VE 8000 - PTUJ,VO 8002 - ORMOŽ,45,"Vesenjak Mihaela, Vičanci 10",46.44593,16.08273
VE 8000 - PTUJ,VO 8002 - ORMOŽ,46,"GD Cvetkovci, Cvetkovci bš",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,47,"VD Osluševci, Osluševci 20",46.41306,16.05139
VE 8000 - PTUJ,VO 8002 - ORMOŽ,48,"KS Podgorci, Podgorci 23b",,
VE 8000 - PTUJ,VO 8002 - ORMOŽ,49,"GD Bresnica, Bresnica 19",46.4406,16.03371
VE 8000 - PTUJ,VO 8002 - ORMOŽ,50,"Megla Albin, Strjanci 19",46.44361,16.05572
VE 8000 - PTUJ,VO 8003 - LJUTOMER,1,"CEZANJEVCI - GASILSKI DOM, Cezanjevci 46a",,
VE 8000 - PTUJ,VO 8003 - LJUTOMER,2,"VOGRIČEVCI - GASILSKI DOM, Vogričevci 13a",,
VE 8000 - PTUJ,VO 8003 - LJUTOMER,3,"CVEN - GASILSKI DOM, Cven 49a",,
VE 8000 - PTUJ,VO 8003 - LJUTOMER,4,"MOTA - GASILSKI DOM, Mota 16b",,
VE 8000 - PTUJ,VO 8003 - LJUTOMER,5,"KRAPJE - GASILSKI DOM SP. KRAPJE, Krapje 43",46.56667,16.21667
VE 8000 - PTUJ,VO 8003 - LJUTOMER,6,"ŠALINCI - GASILSKI DOM, Šalinci 29",46.54833,16.17528
VE 8000 - PTUJ,VO 8003 - LJUTOMER,7,KULTURNI DOM Križevci pri Ljutomeru 11,46.56833,16.13861
VE 8000 - PTUJ,VO 8003 - LJUTOMER,8,"STARA NOVA VAS - GASILSKI DOM, Stara Nova vas 27a",,
VE 8000 - PTUJ,VO 8003 - LJUTOMER,9,"BUČEČOVCI - GASILSKI DOM, Bučečovci 19",46.58833,16.10667
VE 8000 - PTUJ,VO 8003 - LJUTOMER,10,"VUČJA VAS - GASILSKI DOM, Vučja vas 2",46.59944,16.1075
VE 8000 - PTUJ,VO 8003 - LJUTOMER,11,"TRGOVINA MS, Ključarovci pri Ljutomeru 19",46.55278,16.13778
VE 8000 - PTUJ,VO 8003 - LJUTOMER,12,"LUKAVCI - GASILSKI DOM, Lukavci 8",46.54333,16.15278
VE 8000 - PTUJ,VO 8003 - LJUTOMER,13,"LJUTOMER - DOM KULTURE, Prešernova ulica 20",46.5205709,16.1950391
VE 8000 - PTUJ,VO 8003 - LJUTOMER,14,"LJUTOMER-GIMNAZIJA F. MIKLOŠIČA, Prešernova ul. 34",,
VE 8000 - PTUJ,VO 8003 - LJUTOMER,15,"LJUTOMER - DOM UPOKOJENCEV, Ormoška cesta 33",45.88794,13.86961
VE 8000 - PTUJ,VO 8003 - LJUTOMER,16,"BABINCI/NORŠINCI-GASILSKI DOM, Babinci 20",46.54297,16.18863
VE 8000 - PTUJ,VO 8003 - LJUTOMER,17,"SP. KAMENŠČAK - GASILSKI DOM, Sp. Kamenščak 35f",,
VE 8000 - PTUJ,VO 8003 - LJUTOMER,18,"LOGAROVCI - BIVŠA KS, Logarovci 22",46.54722,16.10556
VE 8000 - PTUJ,VO 8003 - LJUTOMER,19,"MALA NEDELJA - KULTURNI DOM, Mala Nedelja 21",46.52889,16.05583
VE 8000 - PTUJ,VO 8003 - LJUTOMER,20,"MORAVCI V SL. GOR.-BIOTERME, Moravci v Sl. gor.34b",,
VE 8000 - PTUJ,VO 8003 - LJUTOMER,21,"RADOSLAVCI - GASILSKI DOM, Radoslavci 15c",,
VE 8000 - PTUJ,VO 8003 - LJUTOMER,22,"RADOMERJE - GASILSKI DOM, Radomerje 2",46.5026459,16.1853425
VE 8000 - PTUJ,VO 8003 - LJUTOMER,23,"ŠAFARSKO - DOM KULTURE, Šafarsko 42",46.52167,16.28111
VE 8000 - PTUJ,VO 8003 - LJUTOMER,24,"VEŠČICA - GOSTILNA MARINKA, Veščica 5",46.66667,16.13333
VE 8000 - PTUJ,VO 8003 - LJUTOMER,25,"STARA CESTA - GASILSKI DOM MEKOTNJAK, Mekotnjak 29",46.50095,16.15518
VE 8000 - PTUJ,VO 8003 - LJUTOMER,26,"STROČJA VAS - OSNOVNA ŠOLA, Stročja vas 101",46.5125,16.22389
VE 8000 - PTUJ,VO 8003 - LJUTOMER,27,"PRISTAVA - GASILSKI DOM, Pristava 30d",,
VE 8000 - PTUJ,VO 8003 - LJUTOMER,28,"PODGRADJE - GASILSKI DOM, Podgradje 17",46.50441,16.21251
VE 8000 - PTUJ,VO 8003 - LJUTOMER,29,"VERŽEJ-OBČINA VERŽEJ, Ul. bratstva in enotnosti 8",46.5803143,16.1647863
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,1,"Vaško-gasilski dom Cankova, Cankova 30a",,
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,2,"Vaško-gasilski dom Domajinci, Domajinci 19a",,
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,3,"Vaško-gasilski dom Gerlinci, Gerlinci 26",46.7614059,16.005998
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,4,"Vaško-gasilski dom Korovci, Korovci 25",46.718981,16.0191653
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,5,"Gasilsko-vaški dom Krašči, Krašči 69",46.75121,16.03682
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,6,"Vaško-gasilski dom Gornji Črnci, Gornji Črnci 11",46.7376111,16.0239389
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,7,"Gasilsko-vaški dom Skakovci, Skakovci 47",46.7068745,16.0493895
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,8,"Vaško-kulturni dom Topolovci, Topolovci b.š.",,
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,9,"Vaško-gasilski dom Tišina, Tišina 47",46.6531144,16.0853696
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,10,"Vaško-gasilski dom Borejci, Borejci 49",46.68278,16.10167
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,11,"Športno rekreacijski center Gradišče,Gradišče 62b",,
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,12,"Vaško-gasilski dom Murski Črnci, Murski Črnci 43",46.63889,16.11667
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,13,"Vaško-gasilski dom Petanjci, Petanjci 65",46.65333,16.06611
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,14,"Vaško-gasilski dom Rankovci, Rankovci 33",46.6724581,16.0844094
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,15,"Vaško-gasilski dom Tropovci, Kolesarska ulica 64",,
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,16,"Vaško-gasilski dom Vanča vas, Vanča vas 43b",,
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,17,"Vaško-gasilski dom Gederovci, Gederovci b.š.",,
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,18,"Vaško-gasilski dom Krajna, Krajna 25",46.69,16.05056
