Volilna enota,Volilni okraj,ID Volišča,Volišče
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,54,"Večnamenski objekt, Lokovec 205a"
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,55,"Center kulturne dediščine, Lokovec 82"
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,56,"Bivša OŠ, Lokve 30"
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,57,"Sedež KS, Osek 46f"
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,58,"Šola glasbe in umetnosti Ozlinka, Ozeljan 49b"
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,59,"Vrtec Prvačina, Prvačina 48a"
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,60,"Župnišče Ravnica, Ravnica 12"
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,61,"OŠ Renče, Trg 31"
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,62,"OŠ Renče, Trg 31"
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,63,"Kulturni dom, Šempas 29"
VE 2000 - POSTOJNA,VO 2009 - NOVA GORICA 1,64,"Sedež KS, Trnovo 37"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,1,OŠ Bukovica - Bukovica 44
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,2,"KS Kromberk-Loke, Ul. Vinka Vodopivca 90"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,3,Kmetijsko gozdarski zavod  - Pri hrastu 18
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,4,"Goriška knjižnica Franceta Bevka,Trg E.Kardelja 4"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,5,"Mestna občina NG-sejna dvorana, Trg E. Kardelja 1"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,6,OŠ Kozara - Kidričeva ul. 35
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,7,"OŠ Frana Erjavca, Kidričeva ul. 36"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,8,"OŠ Milojke Štrukelj, Delpinova ul. 7"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,9,"Zveza kulturnih društev, Ul. Gradnikove br. 25"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,10,"Mestna občina NG-Sejna dvorana, Trg E. Kardelja 1"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,11,OŠ Ledine - Cankarjeva ul. 23
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,12,VDC Nova Gorica - Sedejeva ul. 10
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,13,OŠ Ledine - Cankarjeva ul. 23
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,14,MIC - Cankarjeva ul. 8a
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,15,MIC - Cankarjeva ul. 8a
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,16,"Bivši maloobmejni prehod, Erjavčeva ul. 53"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,17,KS Nova Gorica - Erjavčeva ul. 4
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,18,Srednja ekonomska in trgovska šola- Erjavčeva 8
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,19,"Srednja ekonomska in trgovska šola, Erjavčeva 8"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,20,"MEGATERM, Cesta 25. junija 1g"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,21,"VDC - Želva, Ajševica 42, R. Dolina"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,22,"Univerza v Novi Gorici, Vipavska c. 13, R. Dolina"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,23,Kulturni dom Stara Gora - Stara Gora 14
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,24,"KS Solkan, Trg Jožeta Srebrniča 7"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,25,OŠ Solkan - Šolska ul. 25
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,26,"Vrtec Julke Pavletič, Ulica L.Slokarja 8"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,27,"OŠ Solkan, Šolska ul. 25"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,28,Center starejših Šempeter-C. prekomorskih br. 62a
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,29,"Občinska uprava-Coroninijev dvorec,Trg I. Roba 3a"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,30,"OŠ Ivana Roba, Ul. Andreja Gabrščka 1"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,31,"Ulica Ivana Suliča 12/a, Šempeter"
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,32,OŠ Vogrsko - Vogrsko 99
VE 2000 - POSTOJNA,VO 2010 - NOVA GORICA 2,33,"MC Vrtojba, Ulica 9. septembra 72"
