Volilna enota,Volilni okraj,ID Volišča,Volišče
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,70,"Vaško-gasilski dom Kančevci, Kančevci 8a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,71,"Vaško-gasilski dom Lončarovci,Lončarovci 39a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,72,"Vaško-gasilski dom Selo, Selo 32b"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,73,"Osnovna šola Fokovci, Fokovci 32"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,74,"Podružnična šola Krog, Trubarjeva ul. 77"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,75,"Gasilski dom Satahovci, Satahovci 26"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,76,"Vaško-gasilski dom Nemčavci, Nemčavci 39d"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,77,"Gasilski dom Markišavci, Markišavci 18a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,78,"Gasilski dom Mačkovci, Mačkovci 48a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,79,"Gasilski dom Dankovci, Dankovci 24"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,80,"Gasilski dom Kuštanovci, Kuštanovci 10a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,81,"Gasilski dom Moščanci, Moščanci 36a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,82,"Gasilski dom Otovci, Otovci 59"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,83,"Gasilski dom Pečarovci, Pečarovci 91a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,84,"Gasilski dom Poznanovci, Poznanovci 19a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,85,"Gasilski dom Prosečka vas, Prosečka vas 15"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,86,"Osnovna šola Puconci, Puconci 178"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,87,"Gasilski dom Bokrači, Bokrači 13a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,88,"Gasilski dom Dolina, Dolina 22a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,89,"Večnamenski objekt pri igrišču, Gorica b.š."
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,90,"Gasilski dom Šalamenci, Šalamenci 34a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,91,"Gasilski dom Vaneča, Vaneča 58b"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,92,"Gasilski dom Brezovci, Brezovci 50"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,93,"Gasilski dom Lemerje, Lemerje 56a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,94,"Gasilski dom Predanovci, Predanovci 43"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,95,"Gasilski dom Bodonci, Bodonci 77a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,96,"Gasilski dom Vadarci, Vadarci 41"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,97,"Gasilski dom Zenkovci, Zenkovci 51a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,98,"Gasilski dom Beznovci, Beznovci 8a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,99,"Gasilski dom Puževci, Puževci 25"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,100,"Gasilski dom Strukovci, Strukovci 26b"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,101,"Vaško-gasilski dom Rogašovci,Rogašovci 14b"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,102,"Vaško-gasilski dom Sveti Jurij, Sveti Jurij 11"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,103,"Vaško-gasilski dom Kramarovci, Kramarovci 14a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,104,"Vaško-gasilski dom Nuskova, Nuskova 1"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,105,"Vaški dom Ocinje, Ocinje 29"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,106,"Vaško-gasilski dom Serdica, Serdica 3"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,107,"Vaško-gasilski dom Sotina, Sotina 40"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,108,"Vaško-gasilski dom Pertoča, Pertoča 55"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,109,"Vaško-gasilski dom Fikšinci, Fikšinci 28"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,110,"Vaško-gasilski dom Ropoča, spodaj, Ropoča 5a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,111,"Vaško-gasilski dom Večeslavci,Večeslavci 46"
VE 8000 - PTUJ,VO 8005 - MURSKA SOBOTA 2,1,"Beltinci I, KD Beltinci, Ul. Štefana Kovača 1a"
VE 8000 - PTUJ,VO 8005 - MURSKA SOBOTA 2,2,"Beltinci II, KD Beltinci., Ul. Štefana Kovača 1a"
VE 8000 - PTUJ,VO 8005 - MURSKA SOBOTA 2,3,"Turistična hiša Žlica Bratonci, Bratonci 81a"
VE 8000 - PTUJ,VO 8005 - MURSKA SOBOTA 2,4,"Vaški dom Dokležovje, Glavna ulica 18"
VE 8000 - PTUJ,VO 8005 - MURSKA SOBOTA 2,5,ŠRC Gančani
VE 8000 - PTUJ,VO 8005 - MURSKA SOBOTA 2,6,"Vaški dom Ižakovci, Ižakovci 72a"
VE 8000 - PTUJ,VO 8005 - MURSKA SOBOTA 2,7,"Cimprana Iža Lipa, Lipa 78a"
VE 8000 - PTUJ,VO 8005 - MURSKA SOBOTA 2,8,"Gasilski dom Lipovci, Lipovci 138"
