Volilna enota,Volilni okraj,ID Volišča,Volišče
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,10,"OŠ Vita Kraigherja, Trg 9. maja 1"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,11,"Prostori MOL, Dunajska c. 101"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,12,"OŠ Vita Kraigherja, Trg 9. maja 1"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,13,"Prostori MOL, Dunajska c. 101"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,14,"OŠ Vita Kraigherja, Trg 9. maja 1"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,15,"OŠ Mirana Jarca, Ipavčeva ul. 1"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,16,"OŠ Savsko naselje, Matjaževa ul. 4"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,17,"OŠ Savsko naselje, Matjaževa ul. 4"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,18,"OŠ Savsko naselje, Matjaževa ul. 4"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,19,"OŠ Milana Šuštaršiča, Štembalova ul. 2a"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,20,"OŠ Milana Šuštaršiča, Štembalova ul. 2a"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,21,"Prostori MOL, Vojkova c. 73"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,22,"Objekt - okrepčevalnica, Šifrerjeva 3"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,23,"Objekt - okrepčevalnica, Šifrerjeva 3"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4009 - LJUBLJANA BEŽIGRAD 2,24,"Knjižnica Bežigrad, Einspielerjeva ulica 1"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,1,"OSNOVNA ŠOLA DOB I, Šolska ulica 7, Dob"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,2,"OSNOVNA ŠOLA DOB II, Šolska ulica 7, Dob"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,3,"Dom krajanov v Žejah, Žeje 10"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,4,"Osnovna šola Krtina, Krtina 41"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,5,"Gasilski dom Homec, Bolkova ul.46, Homec"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,6,"Osnovna šola Ihan, Šolska ul.5, Ihan"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,7,"Samostan Mala Loka, Mala Loka 8"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,8,"Slamnikarski muzej, Kajuhova cesta 5, Domžale"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,9,"RD BISTRICA DOMŽALE, Krakovska 18a, Domžale"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,10,"NOVI GASILSKI DOM ŠTUDA, Študljanska 103, Domžale "
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,11,"Kulturni dom Radomlje I, Prešernova cesta 43"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,12,"Kulturni dom Radomlje II, Prešernova cesta 43"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,13,"GD Rova, Žiška c.10, Rova"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,14,"Delavski dom Vir, Šaranovičeva c.19,Vir"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,15,"Vrtec Palček Vir, Dvoržakova ul.15, Vir "
