Volilna enota,Volilni okraj,ID Volišča,Volišče
VE 2000 - POSTOJNA,VO 2003 - IZOLA,8,"KS Jagodje - Dobrava, Jagodje 24a"
VE 2000 - POSTOJNA,VO 2003 - IZOLA,9,"Baredi - stara šola, Baredi 20"
VE 2000 - POSTOJNA,VO 2003 - IZOLA,10,"Šared - vaški dom, Šared 27k"
VE 2000 - POSTOJNA,VO 2003 - IZOLA,11,"Cetore - Zadružni dom, Cetore 17a"
VE 2000 - POSTOJNA,VO 2003 - IZOLA,12,"Malija - stara šola, Malija 62"
VE 2000 - POSTOJNA,VO 2003 - IZOLA,13,"Korte - ZDD - TD Šparžin, Korte 44"
VE 2000 - POSTOJNA,VO 2003 - IZOLA,14,"Medgeneracijski center Izola, Livade 7a"
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,1,Vrtec Semedela - Slavnik - Nova ulica 2/b
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,2,Vrtec Semedela - Slavnik - Nova ulica 2/b
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,3,Dom KS - Jurčičeva 2 
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,4,Dom KS - Jurčičeva 2
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,5,OŠ Dušan Bordon - Rozmanova 21a
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,6,OŠ Dušan Bordon - Rozmanova 21a
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,7,OŠ Anton Ukmar - Pot v gaj 2
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,8,OŠ Anton Ukmar - Pot v gaj 2
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,9,OŠ Anton Ukmar - Pot v gaj 2
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,10,Obalni dom upokojencev Koper - Krožna cesta 5
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,11,Sedež KS Žusterna - Dolga reber 5
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,12,Sedež KS  - Oljčna pot 4
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,13,"Vrtec Semedela - Prisoje, Oljčna pot 63 "
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,14,"Vrtec Semedela - Prisoje, Oljčna pot 63"
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,15,"Dnevni center Barčica, Prisoje 1 "
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,16,"Študentski dom, Prisoje 9"
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,17,"Sedež KS, Kraljeva 17"
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,18,"OŠ Anton Ukmar, Pot v gaj 2"
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,19,"OŠ Anton Ukmar, Pot v gaj 2 "
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,20,"SEPŠ, Martinčev trg 3"
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,21,"SEPŠ, Martinčev trg 3"
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,22,"SEPŠ, Martinčev trg 3"
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,23,"SEPŠ, Martinčev trg 3"
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,24,"SEPŠ, Martinčev trg 3"
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,25,"SEPŠ, Martinčev trg 3"
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,26,"OŠ Dušan Bordon, Rozmanova 21a "
VE 2000 - POSTOJNA,VO 2004 - KOPER 1,27,"Obalni dom upokojencev Koper, Krožna cesta 5"
VE 2000 - POSTOJNA,VO 2005 - KOPER 2,1,OŠV Ankaran
VE 2000 - POSTOJNA,VO 2005 - KOPER 2,2,OŠV Ankaran
VE 2000 - POSTOJNA,VO 2005 - KOPER 2,3,OŠV Ankaran
VE 2000 - POSTOJNA,VO 2005 - KOPER 2,4,Krajevna skupnost Bertoki
VE 2000 - POSTOJNA,VO 2005 - KOPER 2,5,OŠ Elvire Vatovec Prade
VE 2000 - POSTOJNA,VO 2005 - KOPER 2,6,Krajevna skupnost Boršt
VE 2000 - POSTOJNA,VO 2005 - KOPER 2,7,Krajevna skupnost Črni Kal 
VE 2000 - POSTOJNA,VO 2005 - KOPER 2,8,Vrtec Rižana
VE 2000 - POSTOJNA,VO 2005 - KOPER 2,9,Vaški dom Gabrovica 
VE 2000 - POSTOJNA,VO 2005 - KOPER 2,10,Dvorana Osp 
