Volilna enota,Volilni okraj,ID Volišča,Volišče
VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,14,"OŠ Sele Vrhe, Sele 1"
VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,15,"Klančnik Sele, Sele 21"
VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,16,"OŠ Podgorje, Podgorje 172"
VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,17,"OŠ Razbor, Zgornji Razbor 8"
VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,18,"Praprotnik Rihter, Spodnji Razbor 48"
VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,19,"OŠ Šmiklavž, Vodriž 8"
VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,20,"PGD Šmartno, Šmartno pri Slov. Gradcu 70"
VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,21,"PGD Turiška vas, Turiška vas 19B"
VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,22,"PGD Golavabuka, Tomaška vas 7"
VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,23,"PGD Legen, Legen 126"
VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,24,"Vornšek Raduše, Raduše 36"
VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,25,"Vrtec Slovenj Gradec, Maistrova ul. 2A"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,1,"Občina Črna na Koroškem, Center 101"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,2,"Koroška kmetijska zadruga, Rudarjevo 5a, Črna "
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,3,"Pri Plazniku V Bistri, Bistra 14, Črna na Koroškem"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,4,"OŠ Koprivna, Koprivna 10, Črna na Koroškem"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,5,"Prhanija-Ludranski Vrh, Ludranski vrh 13a, Črna "
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,6,"Helena-Pisarna Vaške Skupnosti, Podpeca 21, Črna"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,7,"TIC Topla, Podpeca 78, Črna na Koroškem"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,8,"""Pri Juvanu"" Javorje, Javorje 24, Črna na Koroškem"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,9,"Knjižnica Žerjav, Žerjav 21, Črna na Koroškem"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,10,"Pri Karničniku v Jazbini, Jazbina 13, Črna na K."
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,11,"Občina Mežica, Trg svobode 1, Mežica"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,12,"Narodni dom Mežica , Trg 4.aprila 4, Mežica"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,13,"Večnamenska dvorana Kotlje, Kotlje 7k, Kotlje"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,14,"Brdinje-Podvratnik, Brdinje 78, Ravne na Koroškem"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,15,"Oš Koroški jeklarji 1, Javornik 35, Ravne na K."
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,16,"Oš Koroški jeklarji 2, Javornik 35, Ravne na K."
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,17,"OŠ Prežihovega Voranca 1, Gozdarska pot 11, Ravne"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,18,"OŠ Prežihovega Voranca 2, Gozdarska pot 11, Ravne"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,19,"Občina Ravne na Koroškem 1, Gačnikova pot 5, Ravne"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,20,"Občina Ravne na Koroškem 2, Gačnikova pot 5, Ravne"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,21,"Čistilna naprava Ravne, Dobrije 9a, Ravne na Kor."
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,22,"Kmetija Ajnžik, Tolsti Vrh p. R. na K. - del 49"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,23,"""KMETIJA LIZI"",  Zelen breg 8, Ravne na Koroškem"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,24,"OŠ Strojna, Strojna 22, Ravne na Koroškem"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,25,"Dobja vas - MPIK1, Dobja vas 185, Ravne na Kor."
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,26,"Oš Prevalje 1, Polje 4, Prevalje"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,27,"Oš Prevalje 2, Polje 4, Prevalje"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,28,"Družbeni dom Prevalje 1, Trg 2a, Prevalje"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,29,"Družbeni dom Prevalje 2, Trg 2a, Prevalje"
VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,30,"Družbeni dom Prevalje 3, Trg 2a, Prevalje"
