Volilna enota,Volilni okraj,ID Volišča,Volišče
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4001 - KOČEVJE,42,Kuželj 24a - GD
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4001 - KOČEVJE,47,Osilnica 11b - Kulturno turis. center Peter Klepec
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,1,"GASILSKI DOM Retje, Retje 55a, Loški Potok"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,2,"Večnamenski objekt Hrib, Hrib 19a, Loški Potok"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,3,"Gostilna ""Pri Kapcu"", Travnik 74, Loški Potok"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,4,"Gasilski dom Mali Log, Mali Log 9"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,5,"Dom krajanov, Podpreska 3a, Draga"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,6,"Gasilski dom Trava, Trava 14, Draga"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,7,"Gasilski dom Novi Kot, Draga"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,8,"Glasbena šola, Kolodvorska ul. 10, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,9,"Športni center Ribnica, Majnikova 2, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,10,"ROKODELSKI CENTER (A) C. na Ugar 6, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,11,"OŠ Ribnica, Šolska ul. 2, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,12,"ROKODELSKI CENTER (B), C. na Ugar 6, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,14,"Gostilna pri Andoljšku,Hrovača 30, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,15,"Gasilski dom, Goriča vas 68a, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,16,"Gasilski dom, Nemška vas 22, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,17,"Gasilski dom, Otavice 5, Dolenja vas"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,18,"Gasilski dom, Lipovec 43, Dolenja vas"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,19,"GASILSKI DOM, Prigorica 38, Dolenja vas"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,20,"GASILSKI DOM, Lončarska ul. 66, Dolenja vas"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,21,"OŠ Dolenja vas, Šolska ul. 9, Dolenja vas"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,22,"Gasilski dom, Rakitnica 6a, Dolenja vas"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,23,"Gasilski dom, Grčarice 3, Dolenja vas"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,24,"Gasilski dom, Jurjevica 37 a, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,25,"Gostišče Makšar, Breže 18a,Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,27,"DOM DRUŠTVA VETER, Breg 17, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,28,"Gasilski dom, Dolenji Lazi 2a, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,29,"GOSTIŠČE VRBA, Žlebič 15a, 1310 Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,30,"OŠ Sušje, Sušje 2, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,31,"Gasilski dom, Sajevec, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,32,"Gasilski dom, Bukovica 12,Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,33,"Šola Velike Poljane, Velike Poljane 45, Ortnek"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,34,"GOSTILNA MATJAK, Ortnek 2, 1316 Ortnek"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,35,"Gasilski dom, Sveti Gregor 17, Ortnek"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,36,"A MI GO, d.o.o., Vinice 8, Sodražica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,37,"Gasilski dom, Zapotok 2, Ribnica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,38,"Pri JOŽETU LUŠINU, Lipovšica 1, Sodražica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,39,"Gasilski dom, Zamostec 8a, Sodražica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,40,"OŠ Sodražica, CNO 10, Sodražica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,41,"Gasilski dom, Trg 25. maja 5, Sodražica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,42,"Gasilski dom, Žimarice 76, Sodražica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,43,"Pri Mirku Oražmu, Globel 8, Sodražica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,44,"PRI MIHAELU ŠEGI, Podklanec 22, 1317 Sodražica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,45,"TŠD Gora, Petrinci 10a, Sodražica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,46,"Jakličev dom, Videm 34, Videm Dobrepolje"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,47,"Gasilski dom, Hočevje 19, Krka"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,48,"Vaški prostor, Predstruge 60, Videm Dobrepolje"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,49,"Gasilski dom, Kompolje 60, Videm Dobrepolje"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,50,"PRIZMA PONIKVE, Ponikve 76, Videm Dobrepolje"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,51,"OŠ Struge, Lipa 16, Struge"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,1,"DD Grosuplje I., Taborska c. 1"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,2,"DD Grosuplje II., Taborska c. 1"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,3,"OŠ Louisa Adamiča I, Tovarniška c. 14"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,4,"OŠ Brinje, Ljubljanska c. 40a"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,5,"DO Grosuplje, Ob Grosupeljščici 1b"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,6,"GD Mala Ilova Gora, Mala Ilova Gora 21"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,7,"GD Veliko Mlačevo, Veliko Mlačevo 6a"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,8,"GD Polica, Polica 41"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,9,"DD Račna, Velika Račna 24b"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,10,"ZDD SPODNJA SLIVNICA, Spodnja Slivnica 16"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,11,"KS Škocjan, Škocjan 20"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,12,"GD Ponova vas, Ponova vas 27"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,13,"OŠ Št. Jurij, Št. Jurij 14"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,14,"Podružnična šola Žalna, Žalna 1"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,15,"GD Luče, Luče 22a"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,16,"OŠ Šmarje-Sap I., Ljubljanska c. 49"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,17,"OŠ Šmarje-Sap II., Ljubljanska c. 49"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,18,"OŠ Šmarje-Sap III., Ljubljanska c. 49"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,61,"OŠ Louisa Adamiča II, Tovarniška c. 14"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4003 - GROSUPLJE,62,"OŠ Polica, Polica 200"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,1,"ZADRUŽNI HRAM I., C. 2. grupe odr. 17, Iv. Gorica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,2,"ZADRUŽNI HRAM II., C. 2.grupe odr. 17, Iv. Gorica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,3,"ZD IV. GORICA, C. 2.grupe odr. 16a, Iv. Gorica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,4,"KD MULJAVA, Muljava 20"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,5,"GD STIČNA I., Stična 144"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,6,"GD METNAJ, Metnaj 2"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,7,"MH VIŠNJA GORA, Mestni trg 21, Višnja Gora"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,8,"GD KRIŠKA VAS, Kriška vas 10"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,9,"GD VRH PRI VIŠNJI GORI, Vrh pri Višnji Gori 2"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,10,"KD ŠENTVID I., Šentvid pri Stični 70"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,11,"KD ŠENTVID II., Šentvid pri Stični 70"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,12,"GD DOB, Dob pri Šentvidu 8"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,13,"VO HRASTOV DOL, Hrastov Dol 2"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,14,"DK TEMENICA, Temenica 2a"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,15,"KD AMBRUS, Ambrus 56"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,16,"OŠ ZAGRADEC, Zagradec 33"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,17,"DC KRKA I., Krka 1d"
